Order_ID,Date,Item_Name,Category,Weight_kg,Volumetric_Weight_kg,L_cm,W_cm,H_cm,Fragility,Moisture_Sens,Shipping_Mode,Distance_km,Packaging_Used,Cost_USD,CO2_Emission_kg
92,23-03-2025,Smartphone,Electronics,0.25,0.02,13,6,1,8,TRUE,Air,1478,Recycled PET Box,1.7,0.924
93,02-03-2025,Perfume Bottle,Beauty,0.32,0.03,9,4,4,10,TRUE,Air,868,Mushroom Pkg (Mycelium),2.13,0.694
94,15-03-2025,Winter Jacket,Clothing,1.21,3.85,52,37,10,2,TRUE,Air,2125,Kraft Paper Mailer,1.94,20.453
95,03-10-2025,Office Chair,Furniture,11.43,33.87,63,56,48,5,FALSE,Road,1420,Wood Crate,14.55,24.048
96,06-07-2025,Smart Watch,Electronics,0.14,0,4,4,0,6,TRUE,Air,1343,Honeycomb Paper,1.26,0.47
97,13-07-2025,Perfume Bottle,Beauty,0.23,0.05,10,5,5,8,TRUE,Road,248,Mushroom Pkg (Mycelium),1.69,0.029
98,16-06-2025,Ceramic Vase,Home Decor,2.77,1.12,16,13,27,10,FALSE,Road,672,Mushroom Pkg (Mycelium),3.11,0.931
99,26-07-2025,Sneakers,Clothing,0.8,1.15,29,18,11,3,FALSE,Air,905,Kraft Paper Mailer,1.06,2.602
100,31-01-2025,Laptop,Electronics,2.46,0.12,28,21,1,9,TRUE,Air,1034,Mushroom Pkg (Mycelium),2.78,6.359
101,14-02-2025,Laptop,Electronics,1.8,0.11,31,18,1,9,TRUE,Air,2507,Recycled PET Box,2.52,11.282
102,07-02-2025,Laptop,Electronics,2.16,0.11,29,19,1,9,TRUE,Road,286,Mushroom Pkg (Mycelium),2.66,0.309
103,12-05-2025,Winter Jacket,Clothing,1.43,4.26,52,41,10,4,TRUE,Air,2997,Kraft Paper Mailer,2.5,31.918
104,07-09-2025,Sofa (Sectional),Furniture,49.35,304.1,209,97,75,5,FALSE,Road,1213,Wood Crate,122.64,184.437
105,23-01-2025,T-Shirt,Clothing,0.29,0.19,23,21,2,1,FALSE,Air,1755,Kraft Paper Mailer,0.32,1.272
106,10-02-2025,Glass Table,Furniture,15.51,5.51,102,54,5,9,FALSE,Road,179,Mushroom Pkg (Mycelium),8,1.388
107,03-04-2025,Ceramic Vase,Home Decor,1.09,1.3,14,15,31,10,FALSE,Road,564,Mushroom Pkg (Mycelium),2.52,0.367
108,19-10-2025,Perfume Bottle,Beauty,0.21,0.04,9,4,5,9,TRUE,Road,329,Mushroom Pkg (Mycelium),1.88,0.035
109,30-05-2025,Shampoo,Beauty,0.74,0.2,20,7,7,3,TRUE,Air,1590,PLA Bioplastic,0.9,2.941
110,13-06-2025,Laptop,Electronics,1.84,0.21,27,19,2,9,TRUE,Road,148,Mushroom Pkg (Mycelium),2.54,0.136
111,24-12-2025,Perfume Bottle,Beauty,0.47,0.03,9,4,4,10,TRUE,Road,644,Mushroom Pkg (Mycelium),2.19,0.151
112,15-10-2025,Smart Watch,Electronics,0.16,0,5,5,0,4,TRUE,Air,2951,Corrugated Cardboard,0.86,1.18
113,15-07-2025,Smart Watch,Electronics,0.13,0,5,4,0,4,TRUE,Air,1041,Corrugated Cardboard,0.85,0.338
114,21-06-2025,Winter Jacket,Clothing,1.63,4.47,52,43,10,3,TRUE,Air,2459,Bubble Wrap (LDPE),2.39,27.479
115,26-06-2025,Smart Watch,Electronics,0.18,0,4,5,1,4,TRUE,Air,1737,Corrugated Cardboard,0.87,0.782
116,14-02-2025,Sofa (Sectional),Furniture,75.43,249.63,206,83,73,8,FALSE,Road,383,Wood Crate,101.45,47.804
117,16-03-2025,Winter Jacket,Clothing,1.7,4.3,50,43,10,4,TRUE,Road,557,Kraft Paper Mailer,2.52,1.198
118,01-02-2025,Glass Table,Furniture,15.95,5.02,98,64,4,10,FALSE,Road,2102,Mushroom Pkg (Mycelium),8.38,16.763
119,02-07-2025,Office Chair,Furniture,11.58,31.8,59,55,49,4,FALSE,Road,1080,Wood Crate,13.52,17.172
120,03-03-2025,Ceramic Vase,Home Decor,2.9,1.38,16,16,27,10,FALSE,Road,691,Mushroom Pkg (Mycelium),3.16,1.002
121,07-09-2025,Laptop,Electronics,2.22,0.1,27,18,1,8,TRUE,Air,2423,Mushroom Pkg (Mycelium),2.49,13.448
122,13-11-2025,Laptop,Electronics,1.78,0.23,32,18,2,8,TRUE,Air,959,Mushroom Pkg (Mycelium),2.31,4.268
123,31-08-2025,Smart Watch,Electronics,0.17,0,5,5,0,5,TRUE,Air,2971,PLA Bioplastic,1.07,1.263
124,16-01-2025,Smartphone,Electronics,0.31,0.02,13,7,1,9,TRUE,Air,1684,Mushroom Pkg (Mycelium),1.92,1.305
125,30-06-2025,Sneakers,Clothing,1.15,1.23,28,20,11,3,FALSE,Air,2683,Kraft Paper Mailer,1.09,8.25
126,29-09-2025,T-Shirt,Clothing,0.29,0.18,24,19,2,1,FALSE,Air,2332,Kraft Paper Mailer,0.32,1.691
127,27-08-2025,Sneakers,Clothing,1.16,1.17,28,19,11,3,FALSE,Air,1258,Kraft Paper Mailer,1.07,3.68
128,02-10-2025,Smart Watch,Electronics,0.11,0,5,5,0,5,TRUE,Road,206,Honeycomb Paper,1.04,0.011
129,13-04-2025,T-Shirt,Clothing,0.2,0.18,22,21,2,1,FALSE,Road,578,Kraft Paper Mailer,0.28,0.058
130,23-12-2025,55-Inch TV,Electronics,15.93,7.37,110,67,5,9,TRUE,Road,1662,Mushroom Pkg (Mycelium),8.17,13.238
131,09-12-2025,Winter Jacket,Clothing,1.01,3.82,53,40,9,3,TRUE,Air,2156,Kraft Paper Mailer,2.13,20.59
132,18-06-2025,Ceramic Vase,Home Decor,1.54,0.95,13,13,28,9,FALSE,Road,486,Mushroom Pkg (Mycelium),2.42,0.374
133,16-07-2025,T-Shirt,Clothing,0.27,0.09,23,20,1,1,FALSE,Road,764,Kraft Paper Mailer,0.31,0.103
134,13-05-2025,Smart Watch,Electronics,0.2,0,4,5,0,5,TRUE,Air,968,Honeycomb Paper,1.08,0.484
135,20-11-2025,T-Shirt,Clothing,0.24,0.09,24,18,1,2,FALSE,Road,689,Kraft Paper Mailer,0.5,0.083
136,09-06-2025,Ceramic Vase,Home Decor,2.36,0.98,13,14,27,9,FALSE,Air,1138,Mushroom Pkg (Mycelium),2.74,6.714
137,26-06-2025,Sneakers,Clothing,0.83,1.46,29,21,12,4,FALSE,Air,1344,Kraft Paper Mailer,1.38,4.906
138,11-09-2025,55-Inch TV,Electronics,21.93,8.42,122,69,5,10,TRUE,Road,323,Mushroom Pkg (Mycelium),10.77,3.542
139,20-03-2025,Perfume Bottle,Beauty,0.41,0.05,10,5,5,8,TRUE,Air,2152,Mushroom Pkg (Mycelium),1.76,2.206
140,13-08-2025,Laptop,Electronics,1.72,0.23,30,19,2,8,TRUE,Road,153,Mushroom Pkg (Mycelium),2.29,0.132
141,12-05-2025,Winter Jacket,Clothing,1.38,3.7,49,42,9,2,TRUE,Air,1884,Kraft Paper Mailer,1.88,17.427
142,10-05-2025,Shampoo,Beauty,0.72,0.19,19,7,7,4,TRUE,Road,539,PLA Bioplastic,1.09,0.194
143,15-07-2025,Ceramic Vase,Home Decor,2.41,1.26,14,15,30,10,FALSE,Air,2387,Mushroom Pkg (Mycelium),2.96,14.382
144,08-06-2025,Sneakers,Clothing,1.14,1.25,29,18,12,5,FALSE,Air,2963,Kraft Paper Mailer,1.5,9.259
145,21-02-2025,Glass Table,Furniture,16.97,5.55,94,59,5,10,FALSE,Road,2374,Mushroom Pkg (Mycelium),8.79,20.143
146,28-09-2025,Office Chair,Furniture,10.44,42.03,61,65,53,6,FALSE,Road,269,Wood Crate,18.01,5.653
147,15-09-2025,55-Inch TV,Electronics,18.73,6.6,127,65,4,10,TRUE,Road,1357,Mushroom Pkg (Mycelium),9.49,12.708
148,25-08-2025,Perfume Bottle,Beauty,0.28,0.04,9,5,5,9,TRUE,Road,293,Mushroom Pkg (Mycelium),1.91,0.041
149,02-02-2025,Sneakers,Clothing,1.03,1.53,31,19,13,4,FALSE,Air,2107,Kraft Paper Mailer,1.41,8.059
150,24-12-2025,T-Shirt,Clothing,0.26,0.21,25,21,2,1,FALSE,Air,2185,Styrofoam (EPS),0.3,1.42
151,29-08-2025,T-Shirt,Clothing,0.25,0.21,26,20,2,2,FALSE,Air,2969,Kraft Paper Mailer,0.5,1.856
152,22-12-2025,T-Shirt,Clothing,0.15,0.21,25,21,2,2,FALSE,Air,1993,Kraft Paper Mailer,0.48,1.046
153,11-10-2025,Laptop,Electronics,1.77,0.12,31,19,1,9,TRUE,Air,2008,Mushroom Pkg (Mycelium),2.51,8.885
154,15-07-2025,Shampoo,Beauty,0.56,0.18,18,7,7,5,TRUE,Air,2275,Wood Crate,1.22,3.185
155,12-05-2025,Smart Watch,Electronics,0.15,0,5,4,1,6,TRUE,Road,494,Honeycomb Paper,1.26,0.037
156,21-10-2025,Winter Jacket,Clothing,1.67,3.58,51,39,9,3,TRUE,Air,2925,Kraft Paper Mailer,2.03,26.179
157,05-05-2025,Ceramic Vase,Home Decor,1.32,1.13,14,15,27,10,FALSE,Air,1716,Mushroom Pkg (Mycelium),2.53,5.663
158,21-01-2025,Glass Table,Furniture,17.12,4.7,105,56,4,10,FALSE,Road,1878,Mushroom Pkg (Mycelium),8.85,16.076
159,12-05-2025,Sneakers,Clothing,0.99,1.37,30,19,12,5,FALSE,Air,1056,Kraft Paper Mailer,1.55,3.617
160,28-11-2025,Sofa (Sectional),Furniture,63.86,238.46,184,90,72,6,FALSE,Road,974,Wood Crate,96.58,116.13
161,15-12-2025,55-Inch TV,Electronics,24.96,6.53,115,71,4,10,TRUE,Road,68,Mushroom Pkg (Mycelium),11.98,0.849
162,21-12-2025,Shampoo,Beauty,0.85,0.26,20,8,8,5,TRUE,Air,2935,PLA Bioplastic,1.34,6.237
163,03-06-2025,T-Shirt,Clothing,0.18,0.1,23,21,1,1,FALSE,Air,1436,Kraft Paper Mailer,0.27,0.646
164,17-03-2025,Sneakers,Clothing,0.99,1.13,27,19,11,3,FALSE,Air,2407,Kraft Paper Mailer,1.05,6.8
165,30-03-2025,Office Chair,Furniture,13.03,35.9,55,64,51,5,FALSE,Road,2965,Wood Crate,15.36,53.222
166,16-10-2025,Office Chair,Furniture,13.74,37.58,60,58,54,5,FALSE,Road,981,Wood Crate,16.03,18.433
167,08-07-2025,T-Shirt,Clothing,0.16,0.2,25,20,2,1,FALSE,Air,1205,Kraft Paper Mailer,0.28,0.603
168,22-03-2025,Sofa (Sectional),Furniture,40.51,269.36,200,91,74,8,FALSE,Road,398,Wood Crate,109.34,53.603
169,11-02-2025,55-Inch TV,Electronics,17.29,6.09,119,64,4,9,TRUE,Road,1960,Mushroom Pkg (Mycelium),8.72,16.944
170,21-06-2025,Laptop,Electronics,2.2,0.12,31,19,1,8,TRUE,Air,1293,Mushroom Pkg (Mycelium),2.48,7.112
171,21-07-2025,Perfume Bottle,Beauty,0.24,0.03,9,4,4,10,TRUE,Air,2672,Mushroom Pkg (Mycelium),2.1,1.603
172,11-09-2025,Smart Watch,Electronics,0.18,0,5,4,0,6,TRUE,Road,317,Styrofoam (EPS),1.27,0.029
173,25-03-2025,Smartphone,Electronics,0.25,0.02,14,6,1,7,TRUE,Air,1502,Honeycomb Paper,1.5,0.939
174,29-07-2025,Perfume Bottle,Beauty,0.32,0.04,9,5,4,8,TRUE,Air,869,Mushroom Pkg (Mycelium),1.73,0.695
175,26-05-2025,Winter Jacket,Clothing,1.34,4,54,37,10,4,TRUE,Air,2010,Wood Crate,2.4,20.1
176,03-07-2025,Sofa (Sectional),Furniture,47.16,270.12,181,91,82,5,FALSE,Road,2511,Wood Crate,109.05,339.136
177,06-04-2025,Perfume Bottle,Beauty,0.27,0.04,10,4,5,9,TRUE,Air,1292,Mushroom Pkg (Mycelium),1.91,0.872
178,01-06-2025,Glass Table,Furniture,18.38,4.54,93,61,4,10,FALSE,Road,1894,Mushroom Pkg (Mycelium),9.35,17.406
179,12-03-2025,Ceramic Vase,Home Decor,1.49,1.05,13,13,31,9,FALSE,Air,2278,Mushroom Pkg (Mycelium),2.4,8.486
180,24-10-2025,Shampoo,Beauty,0.51,0.24,21,8,7,3,TRUE,Air,1093,PLA Bioplastic,0.8,1.394
181,22-12-2025,Sneakers,Clothing,0.9,1.3,27,20,12,4,FALSE,Air,1434,Kraft Paper Mailer,1.32,4.66
182,22-07-2025,Smartphone,Electronics,0.27,0.02,15,6,1,9,TRUE,Air,2050,Mushroom Pkg (Mycelium),1.91,1.384
183,06-08-2025,Office Chair,Furniture,14.32,39.97,61,63,52,5,FALSE,Road,2302,Wood Crate,16.99,46.005
184,20-11-2025,Ceramic Vase,Home Decor,2.77,1.09,15,13,28,10,FALSE,Air,2322,Mushroom Pkg (Mycelium),3.11,16.08
185,22-08-2025,Glass Table,Furniture,18,4.61,96,60,4,9,FALSE,Road,1671,Mushroom Pkg (Mycelium),9,15.039
186,28-08-2025,Sneakers,Clothing,0.89,1.51,30,21,12,4,FALSE,Air,2611,Kraft Paper Mailer,1.4,9.857
187,15-03-2025,Perfume Bottle,Beauty,0.48,0.04,10,5,4,9,TRUE,Air,1212,Mushroom Pkg (Mycelium),1.99,1.454
188,01-01-2026,Winter Jacket,Clothing,1.67,4.16,52,40,10,2,TRUE,Air,1065,Kraft Paper Mailer,2.06,11.076
189,16-04-2025,Sofa (Sectional),Furniture,77.28,298.2,209,82,87,8,FALSE,Road,820,Wood Crate,120.88,122.262
190,14-05-2025,Smart Watch,Electronics,0.2,0,5,4,1,5,TRUE,Air,1364,Honeycomb Paper,1.08,0.682
191,17-10-2025,Winter Jacket,Clothing,1.52,4.26,52,41,10,3,TRUE,Air,2655,Recycled PET Box,2.3,28.276
192,18-10-2025,Sofa (Sectional),Furniture,42.17,308.46,212,97,75,5,FALSE,Road,1795,Wood Crate,124.38,276.843
193,25-12-2025,Winter Jacket,Clothing,1.71,4.21,49,43,10,4,TRUE,Air,1349,Kraft Paper Mailer,2.48,14.198
194,21-08-2025,Laptop,Electronics,1.88,0.25,30,21,2,8,TRUE,Air,1962,Mushroom Pkg (Mycelium),2.35,9.221
195,23-03-2025,Smartphone,Electronics,0.25,0,13,6,0,9,TRUE,Air,1007,Mushroom Pkg (Mycelium),1.9,0.629
196,22-12-2025,Sneakers,Clothing,0.87,1.51,30,21,12,4,FALSE,Air,2366,Kraft Paper Mailer,1.4,8.932
197,07-01-2025,Shampoo,Beauty,0.58,0.2,18,7,8,5,TRUE,Air,986,PLA Bioplastic,1.23,1.43
198,18-07-2025,Office Chair,Furniture,14.43,38.23,60,59,54,4,FALSE,Road,1811,Wood Crate,16.09,34.617
199,06-10-2025,Glass Table,Furniture,13.15,6.17,95,65,5,10,FALSE,Road,469,Mushroom Pkg (Mycelium),7.26,3.084
200,09-03-2025,Smartphone,Electronics,0.22,0,16,7,0,8,TRUE,Road,261,Mushroom Pkg (Mycelium),1.69,0.029
201,26-06-2025,Laptop,Electronics,1.71,0.11,31,18,1,7,TRUE,Air,943,Honeycomb Paper,2.08,4.031
