Order_ID,Date,Item_Name,Category,Weight_kg,Volumetric_Weight_kg,L_cm,W_cm,H_cm,Fragility,Moisture_Sens,Shipping_Mode,Distance_km,Packaging_Used,Cost_USD,CO2_Emission_kg,Product_Volume_m3,Material_Name,Material_Density,Cost_per_kg,Material_CO2_Factor
20,2025-03-12,Glass Table,Furniture,19.13,4.32,90,60,4.0,10,False,Road,2011,Mushroom Pkg (Mycelium),9.65,19.235,0.0216,Food-Grade Mushroom Mycelium,146,5.1,0.486
21,2025-04-14,Winter Jacket,Clothing,1.52,3.62,49,41,9.0,2,True,Air,1297,Kraft Paper Mailer,1.85,11.738,0.018081,Single-Ply Kraft Paper,742,0.91,0.742
22,2025-12-10,Winter Jacket,Clothing,1.36,3.94,48,41,10.0,2,True,Air,1866,Kraft Paper Mailer,1.98,18.38,0.01968,Single-Ply Kraft Paper,742,0.91,0.742
23,2025-12-03,Sofa (Sectional),Furniture,65.83,239.31,192,82,76.0,8,False,Road,1073,Wood Crate,97.32,128.39,1.196544,Lightweight Plywood,515,2.23,0.535
24,2025-12-07,Smart Watch,Electronics,0.16,0.0,5,4,1.7302913453299058,5,True,Road,163,Honeycomb Paper,1.06,0.013,3.460582690659812e-05,Single-Ply Kraft Paper,742,0.91,0.742
25,2025-09-20,Office Chair,Furniture,13.82,31.25,62,56,45.0,5,False,Road,2894,Wood Crate,13.5,45.219,0.15624,Lightweight Plywood,515,2.23,0.535
26,2025-10-01,Sofa (Sectional),Furniture,44.02,258.55,189,90,76.0,6,False,Road,796,Wood Crate,104.62,102.903,1.29276,Lightweight Plywood,515,2.23,0.535
27,2025-03-20,Sofa (Sectional),Furniture,57.3,300.9,207,92,79.0,6,False,Road,1389,Wood Crate,121.56,208.975,1.504476,Lightweight Plywood,515,2.23,0.535
28,2025-03-13,Smartphone,Electronics,0.26,0.02,15,6,1.0,9,True,Road,128,Mushroom Pkg (Mycelium),1.9,0.017,9e-05,Food-Grade Mushroom Mycelium,146,5.1,0.486
29,2025-05-30,Office Chair,Furniture,13.24,27.23,55,55,45.0,4,False,Road,710,Wood Crate,11.69,9.667,0.136125,Lightweight Plywood,515,2.23,0.535
30,2025-06-29,Sofa (Sectional),Furniture,66.31,279.41,217,87,74.0,6,False,Road,2745,Wood Crate,112.96,383.49,1.397046,Lightweight Plywood,515,2.23,0.535
31,2025-07-30,55-Inch TV,Electronics,17.19,7.3,120,76,4.0,10,True,Road,653,Mushroom Pkg (Mycelium),8.88,5.613,0.03648,Food-Grade Mushroom Mycelium,146,5.1,0.486
32,2025-08-04,55-Inch TV,Electronics,19.6,5.64,112,63,4.0,10,True,Road,984,Recycled PET Box,9.84,9.643,0.028224,Lightweight PET Plastic,1082,0.97,1.941
33,2025-08-14,55-Inch TV,Electronics,16.77,8.21,108,76,5.0,9,True,Road,2872,Mushroom Pkg (Mycelium),8.51,24.082,0.04104,Food-Grade Mushroom Mycelium,146,5.1,0.486
34,2025-07-23,Winter Jacket,Clothing,1.9,3.42,50,38,9.0,3,True,Road,484,Kraft Paper Mailer,1.97,0.828,0.0171,Single-Ply Kraft Paper,742,0.91,0.742
35,2025-07-31,Ceramic Vase,Home Decor,1.79,1.44,15,15,32.0,10,False,Road,284,Mushroom Pkg (Mycelium),2.72,0.254,0.0072,Food-Grade Mushroom Mycelium,146,5.1,0.486
36,2025-08-13,Smartphone,Electronics,0.27,0.02,14,7,1.0,8,True,Air,1771,Mushroom Pkg (Mycelium),1.71,1.195,9.8e-05,Food-Grade Mushroom Mycelium,146,5.1,0.486
37,2025-11-07,Laptop,Electronics,2.19,0.24,32,19,2.0,7,True,Air,935,PLA Bioplastic,2.28,5.119,0.001216,Lightweight PET Plastic,1082,0.97,1.941
38,2025-08-14,Winter Jacket,Clothing,1.25,4.13,53,39,10.0,2,True,Road,157,Kraft Paper Mailer,2.05,0.324,0.02067,Single-Ply Kraft Paper,742,0.91,0.742
39,2025-07-10,T-Shirt,Clothing,0.28,0.19,26,18,2.0,1,False,Road,119,Recycled PET Box,0.31,0.017,0.000936,Lightweight PET Plastic,1082,0.97,1.941
40,2025-12-06,Smartphone,Electronics,0.24,0.0,15,6,1.7302913453299058,9,True,Air,1772,Mushroom Pkg (Mycelium),1.9,1.063,0.00015572622107969152,Food-Grade Mushroom Mycelium,146,5.1,0.486
41,2025-12-01,Ceramic Vase,Home Decor,1.74,1.25,14,14,32.0,10,False,Air,2524,Mushroom Pkg (Mycelium),2.7,10.979,0.006272,Food-Grade Mushroom Mycelium,146,5.1,0.486
42,2025-01-17,Ceramic Vase,Home Decor,2.79,1.09,15,13,28.0,10,False,Air,2544,Mushroom Pkg (Mycelium),3.12,17.744,0.00546,Food-Grade Mushroom Mycelium,146,5.1,0.486
43,2025-09-27,Ceramic Vase,Home Decor,1.51,1.35,15,15,30.0,9,False,Road,583,Mushroom Pkg (Mycelium),2.4,0.44,0.00675,Food-Grade Mushroom Mycelium,146,5.1,0.486
44,2025-08-08,Ceramic Vase,Home Decor,2.87,1.35,15,15,30.0,9,False,Air,2886,Mushroom Pkg (Mycelium),2.95,20.707,0.00675,Food-Grade Mushroom Mycelium,146,5.1,0.486
45,2025-01-29,Sneakers,Clothing,0.87,1.61,32,21,12.0,5,False,Air,1835,Kraft Paper Mailer,1.64,7.386,0.008064,Single-Ply Kraft Paper,742,0.91,0.742
46,2025-06-12,Ceramic Vase,Home Decor,1.63,1.34,15,14,32.0,10,False,Air,1422,Mushroom Pkg (Mycelium),2.65,5.795,0.00672,Food-Grade Mushroom Mycelium,146,5.1,0.486
47,2025-01-29,Winter Jacket,Clothing,1.29,3.47,47,41,9.0,4,True,Road,412,Bubble Wrap (LDPE),2.19,0.715,0.017343,Standard Bubble Wrap (LDPE),890,2.13,2.807
48,2025-05-03,Sneakers,Clothing,1.05,1.19,30,18,11.0,5,False,Air,1629,Kraft Paper Mailer,1.48,4.846,0.00594,Single-Ply Kraft Paper,742,0.91,0.742
49,2025-04-24,Winter Jacket,Clothing,1.36,4.21,49,43,10.0,4,True,Air,1004,Kraft Paper Mailer,2.48,10.567,0.02107,Single-Ply Kraft Paper,742,0.91,0.742
50,2025-06-12,Office Chair,Furniture,13.93,28.43,54,56,47.0,4,False,Road,131,Wood Crate,12.17,1.862,0.142128,Lightweight Plywood,515,2.23,0.535
51,2025-03-03,Sneakers,Clothing,1.15,1.46,29,21,12.0,3,False,Air,1017,Kraft Paper Mailer,1.18,3.712,0.007308,Single-Ply Kraft Paper,742,0.91,0.742
52,2025-09-11,55-Inch TV,Electronics,17.12,8.32,128,65,5.0,10,True,Road,2035,Mushroom Pkg (Mycelium),8.85,17.42,0.0416,Food-Grade Mushroom Mycelium,146,5.1,0.486
53,2025-05-19,Perfume Bottle,Beauty,0.47,0.04,9,5,4.0,8,True,Road,454,Mushroom Pkg (Mycelium),1.79,0.107,0.00018,Food-Grade Mushroom Mycelium,146,5.1,0.486
54,2025-08-08,Sofa (Sectional),Furniture,42.93,243.1,183,82,81.0,6,False,Road,1264,Wood Crate,98.44,153.639,1.215486,Lightweight Plywood,515,2.23,0.535
55,2025-03-31,T-Shirt,Clothing,0.23,0.08,22,18,1.0,2,False,Air,1526,Kraft Paper Mailer,0.49,0.877,0.000396,Single-Ply Kraft Paper,742,0.91,0.742
56,2025-07-04,Sneakers,Clothing,0.87,1.01,28,18,10.0,3,False,Road,604,Kraft Paper Mailer,1.0,0.305,0.00504,Single-Ply Kraft Paper,742,0.91,0.742
57,2025-08-23,Winter Jacket,Clothing,1.47,3.76,51,41,9.0,2,True,Air,1727,Kraft Paper Mailer,1.9,16.234,0.018819,Single-Ply Kraft Paper,742,0.91,0.742
58,2025-04-22,Sofa (Sectional),Furniture,77.46,253.97,185,88,78.0,5,False,Road,1545,Wood Crate,102.59,196.192,1.26984,Lightweight Plywood,515,2.23,0.535
59,2025-04-24,Perfume Bottle,Beauty,0.43,0.03,9,4,4.0,9,True,Air,1759,Mushroom Pkg (Mycelium),1.97,1.891,0.000144,Food-Grade Mushroom Mycelium,146,5.1,0.486
60,2025-10-13,Perfume Bottle,Beauty,0.24,0.04,10,4,5.0,10,True,Road,505,Mushroom Pkg (Mycelium),2.1,0.061,0.0002,Food-Grade Mushroom Mycelium,146,5.1,0.486
61,2025-07-11,Glass Table,Furniture,17.29,6.17,98,63,5.0,9,False,Road,284,Mushroom Pkg (Mycelium),8.72,2.455,0.03087,Food-Grade Mushroom Mycelium,146,5.1,0.486
62,2025-10-02,Smart Watch,Electronics,0.1,0.0,4,4,1.0,5,True,Air,2408,Honeycomb Paper,1.04,0.602,1.6e-05,Single-Ply Kraft Paper,742,0.91,0.742
63,2025-03-24,Sneakers,Clothing,0.99,1.38,32,18,12.0,4,False,Road,685,Kraft Paper Mailer,1.35,0.473,0.006912,Single-Ply Kraft Paper,742,0.91,0.742
64,2025-04-22,55-Inch TV,Electronics,18.04,6.99,118,74,4.0,9,True,Road,981,Mushroom Pkg (Mycelium),9.02,8.849,0.034928,Food-Grade Mushroom Mycelium,146,5.1,0.486
65,2025-10-20,Laptop,Electronics,2.27,0.1,27,18,1.0,7,True,Air,1375,Honeycomb Paper,2.31,7.803,0.000486,Single-Ply Kraft Paper,742,0.91,0.742
66,2025-08-30,Smart Watch,Electronics,0.13,0.0,4,5,1.7302913453299058,4,True,Air,2654,Corrugated Cardboard,0.85,0.863,3.460582690659812e-05,Industrial-Grade Corrugated Cardboard,688,0.92,1.031
67,2025-11-29,Perfume Bottle,Beauty,0.47,0.05,10,5,5.0,8,True,Air,1251,Styrofoam (EPS),1.79,1.47,0.00025,UV-Stabilized Polyurethane Foam,29,2.31,3.497
68,2025-05-11,Ceramic Vase,Home Decor,1.51,1.35,15,15,30.0,9,False,Road,108,Mushroom Pkg (Mycelium),2.4,0.082,0.00675,Food-Grade Mushroom Mycelium,146,5.1,0.486
69,2025-12-06,Ceramic Vase,Home Decor,1.57,1.16,13,14,32.0,9,False,Air,1967,Mushroom Pkg (Mycelium),2.43,7.72,0.005824,Food-Grade Mushroom Mycelium,146,5.1,0.486
70,2025-04-20,Laptop,Electronics,2.36,0.25,31,20,2.0,8,True,Air,1663,Mushroom Pkg (Mycelium),2.54,9.812,0.00124,Food-Grade Mushroom Mycelium,146,5.1,0.486
71,2025-07-09,Shampoo,Beauty,0.85,0.2,20,7,7.0,4,True,Air,944,PLA Bioplastic,1.14,2.006,0.00098,Lightweight PET Plastic,1082,0.97,1.941
72,2025-02-05,Smart Watch,Electronics,0.12,0.0,4,5,1.7302913453299058,4,True,Air,1422,Mushroom Pkg (Mycelium),0.85,0.427,3.460582690659812e-05,Food-Grade Mushroom Mycelium,146,5.1,0.486
73,2025-12-12,Winter Jacket,Clothing,1.06,4.02,49,41,10.0,2,True,Road,765,Kraft Paper Mailer,2.01,1.538,0.02009,Single-Ply Kraft Paper,742,0.91,0.742
74,2025-12-20,Perfume Bottle,Beauty,0.36,0.04,9,5,5.0,9,True,Air,1851,Mushroom Pkg (Mycelium),1.94,1.666,0.000225,Food-Grade Mushroom Mycelium,146,5.1,0.486
75,2025-08-09,55-Inch TV,Electronics,23.21,6.5,116,70,4.0,10,True,Road,2663,Mushroom Pkg (Mycelium),11.28,30.904,0.03248,Food-Grade Mushroom Mycelium,146,5.1,0.486
76,2025-04-08,Sneakers,Clothing,0.84,1.23,27,19,12.0,3,False,Road,255,Kraft Paper Mailer,1.09,0.157,0.006156,Single-Ply Kraft Paper,742,0.91,0.742
77,2025-09-13,Laptop,Electronics,2.01,0.23,29,20,2.0,7,True,Road,151,Honeycomb Paper,2.2,0.152,0.00116,Single-Ply Kraft Paper,742,0.91,0.742
78,2025-11-26,Laptop,Electronics,2.07,0.22,28,20,2.0,8,True,Air,1000,Mushroom Pkg (Mycelium),2.43,5.175,0.00112,Food-Grade Mushroom Mycelium,146,5.1,0.486
79,2025-06-08,T-Shirt,Clothing,0.21,0.21,27,19,2.0,2,False,Air,2971,Kraft Paper Mailer,0.48,1.56,0.001026,Single-Ply Kraft Paper,742,0.91,0.742
80,2025-08-29,Winter Jacket,Clothing,1.98,4.04,47,43,10.0,3,True,Air,2231,Kraft Paper Mailer,2.22,22.533,0.02021,Single-Ply Kraft Paper,742,0.91,0.742
81,2025-08-27,55-Inch TV,Electronics,20.3,6.54,112,73,4.0,10,True,Road,2632,Mushroom Pkg (Mycelium),10.12,26.715,0.032704,Food-Grade Mushroom Mycelium,146,5.1,0.486
82,2025-12-12,Laptop,Electronics,2.34,0.19,27,18,2.0,7,True,Road,432,Honeycomb Paper,2.34,0.505,0.000972,Single-Ply Kraft Paper,742,0.91,0.742
83,2025-01-28,55-Inch TV,Electronics,20.75,8.18,109,75,5.0,9,True,Road,2146,Mushroom Pkg (Mycelium),10.1,22.265,0.040875,Food-Grade Mushroom Mycelium,146,5.1,0.486
84,2025-04-27,Laptop,Electronics,1.66,0.23,30,19,2.0,9,True,Road,234,Mushroom Pkg (Mycelium),2.46,0.194,0.00114,Food-Grade Mushroom Mycelium,146,5.1,0.486
85,2025-12-24,T-Shirt,Clothing,0.25,0.17,22,19,2.0,2,False,Air,2703,Kraft Paper Mailer,0.5,1.689,0.000836,Single-Ply Kraft Paper,742,0.91,0.742
86,2025-12-24,Sofa (Sectional),Furniture,58.74,299.97,218,86,80.0,6,False,Road,1423,Wood Crate,121.19,213.429,1.49984,Lightweight Plywood,515,2.23,0.535
87,2025-09-23,Sneakers,Clothing,1.08,1.66,32,20,13.0,3,False,Air,2151,Kraft Paper Mailer,1.26,8.927,0.00832,Single-Ply Kraft Paper,742,0.91,0.742
88,2025-12-29,Smartphone,Electronics,0.24,0.02,14,6,1.0,9,True,Road,126,Mushroom Pkg (Mycelium),1.9,0.015,8.4e-05,Food-Grade Mushroom Mycelium,146,5.1,0.486
89,2025-12-30,55-Inch TV,Electronics,19.13,6.3,125,63,4.0,9,True,Road,1962,Mushroom Pkg (Mycelium),9.45,18.767,0.0315,Food-Grade Mushroom Mycelium,146,5.1,0.486
90,2025-09-11,Office Chair,Furniture,14.67,32.88,55,61,49.0,4,False,Road,1393,Wood Crate,13.95,22.901,0.164395,Lightweight Plywood,515,2.23,0.535
91,2025-01-10,Shampoo,Beauty,0.91,0.21,19,8,7.0,3,True,Air,1430,PLA Bioplastic,0.96,3.253,0.001064,Lightweight PET Plastic,1082,0.97,1.941
92,2025-03-23,Smartphone,Electronics,0.25,0.02,13,6,1.0,8,True,Air,1478,Recycled PET Box,1.7,0.924,7.8e-05,Lightweight PET Plastic,1082,0.97,1.941
93,2025-03-02,Perfume Bottle,Beauty,0.32,0.03,9,4,4.0,10,True,Air,868,Mushroom Pkg (Mycelium),2.13,0.694,0.000144,Food-Grade Mushroom Mycelium,146,5.1,0.486
94,2025-03-15,Winter Jacket,Clothing,1.21,3.85,52,37,10.0,2,True,Air,2125,Kraft Paper Mailer,1.94,20.453,0.01924,Single-Ply Kraft Paper,742,0.91,0.742
95,2025-10-03,Office Chair,Furniture,11.43,33.87,63,56,48.0,5,False,Road,1420,Wood Crate,14.55,24.048,0.169344,Lightweight Plywood,515,2.23,0.535
96,2025-07-06,Smart Watch,Electronics,0.14,0.0,4,4,1.7302913453299058,6,True,Air,1343,Honeycomb Paper,1.26,0.47,2.7684661525278493e-05,Single-Ply Kraft Paper,742,0.91,0.742
97,2025-07-13,Perfume Bottle,Beauty,0.23,0.05,10,5,5.0,8,True,Road,248,Mushroom Pkg (Mycelium),1.69,0.029,0.00025,Food-Grade Mushroom Mycelium,146,5.1,0.486
98,2025-06-16,Ceramic Vase,Home Decor,2.77,1.12,16,13,27.0,10,False,Road,672,Mushroom Pkg (Mycelium),3.11,0.931,0.005616,Food-Grade Mushroom Mycelium,146,5.1,0.486
99,2025-07-26,Sneakers,Clothing,0.8,1.15,29,18,11.0,3,False,Air,905,Kraft Paper Mailer,1.06,2.602,0.005742,Single-Ply Kraft Paper,742,0.91,0.742
100,2025-01-31,Laptop,Electronics,2.46,0.12,28,21,1.0,9,True,Air,1034,Mushroom Pkg (Mycelium),2.78,6.359,0.000588,Food-Grade Mushroom Mycelium,146,5.1,0.486
101,2025-02-14,Laptop,Electronics,1.8,0.11,31,18,1.0,9,True,Air,2507,Recycled PET Box,2.52,11.282,0.000558,Lightweight PET Plastic,1082,0.97,1.941
102,2025-02-07,Laptop,Electronics,2.16,0.11,29,19,1.0,9,True,Road,286,Mushroom Pkg (Mycelium),2.66,0.309,0.000551,Food-Grade Mushroom Mycelium,146,5.1,0.486
103,2025-05-12,Winter Jacket,Clothing,1.43,4.26,52,41,10.0,4,True,Air,2997,Kraft Paper Mailer,2.5,31.918,0.02132,Single-Ply Kraft Paper,742,0.91,0.742
104,2025-09-07,Sofa (Sectional),Furniture,49.35,304.1,209,97,75.0,5,False,Road,1213,Wood Crate,122.64,184.437,1.520475,Lightweight Plywood,515,2.23,0.535
105,2025-01-23,T-Shirt,Clothing,0.29,0.19,23,21,2.0,1,False,Air,1755,Kraft Paper Mailer,0.32,1.272,0.000966,Single-Ply Kraft Paper,742,0.91,0.742
106,2025-02-10,Glass Table,Furniture,15.51,5.51,102,54,5.0,9,False,Road,179,Mushroom Pkg (Mycelium),8.0,1.388,0.02754,Food-Grade Mushroom Mycelium,146,5.1,0.486
107,2025-04-03,Ceramic Vase,Home Decor,1.09,1.3,14,15,31.0,10,False,Road,564,Mushroom Pkg (Mycelium),2.52,0.367,0.00651,Food-Grade Mushroom Mycelium,146,5.1,0.486
108,2025-10-19,Perfume Bottle,Beauty,0.21,0.04,9,4,5.0,9,True,Road,329,Mushroom Pkg (Mycelium),1.88,0.035,0.00018,Food-Grade Mushroom Mycelium,146,5.1,0.486
109,2025-05-30,Shampoo,Beauty,0.74,0.2,20,7,7.0,3,True,Air,1590,PLA Bioplastic,0.9,2.941,0.00098,Lightweight PET Plastic,1082,0.97,1.941
110,2025-06-13,Laptop,Electronics,1.84,0.21,27,19,2.0,9,True,Road,148,Mushroom Pkg (Mycelium),2.54,0.136,0.001026,Food-Grade Mushroom Mycelium,146,5.1,0.486
111,2025-12-24,Perfume Bottle,Beauty,0.47,0.03,9,4,4.0,10,True,Road,644,Mushroom Pkg (Mycelium),2.19,0.151,0.000144,Food-Grade Mushroom Mycelium,146,5.1,0.486
112,2025-10-15,Smart Watch,Electronics,0.16,0.0,5,5,1.7302913453299058,4,True,Air,2951,Corrugated Cardboard,0.86,1.18,4.325728363324764e-05,Industrial-Grade Corrugated Cardboard,688,0.92,1.031
113,2025-07-15,Smart Watch,Electronics,0.13,0.0,5,4,1.7302913453299058,4,True,Air,1041,Corrugated Cardboard,0.85,0.338,3.460582690659812e-05,Industrial-Grade Corrugated Cardboard,688,0.92,1.031
114,2025-06-21,Winter Jacket,Clothing,1.63,4.47,52,43,10.0,3,True,Air,2459,Bubble Wrap (LDPE),2.39,27.479,0.02236,Standard Bubble Wrap (LDPE),890,2.13,2.807
115,2025-06-26,Smart Watch,Electronics,0.18,0.0,4,5,1.0,4,True,Air,1737,Corrugated Cardboard,0.87,0.782,2e-05,Industrial-Grade Corrugated Cardboard,688,0.92,1.031
116,2025-02-14,Sofa (Sectional),Furniture,75.43,249.63,206,83,73.0,8,False,Road,383,Wood Crate,101.45,47.804,1.248154,Lightweight Plywood,515,2.23,0.535
117,2025-03-16,Winter Jacket,Clothing,1.7,4.3,50,43,10.0,4,True,Road,557,Kraft Paper Mailer,2.52,1.198,0.0215,Single-Ply Kraft Paper,742,0.91,0.742
118,2025-02-01,Glass Table,Furniture,15.95,5.02,98,64,4.0,10,False,Road,2102,Mushroom Pkg (Mycelium),8.38,16.763,0.025088,Food-Grade Mushroom Mycelium,146,5.1,0.486
119,2025-07-02,Office Chair,Furniture,11.58,31.8,59,55,49.0,4,False,Road,1080,Wood Crate,13.52,17.172,0.159005,Lightweight Plywood,515,2.23,0.535
120,2025-03-03,Ceramic Vase,Home Decor,2.9,1.38,16,16,27.0,10,False,Road,691,Mushroom Pkg (Mycelium),3.16,1.002,0.006912,Food-Grade Mushroom Mycelium,146,5.1,0.486
121,2025-09-07,Laptop,Electronics,2.22,0.1,27,18,1.0,8,True,Air,2423,Mushroom Pkg (Mycelium),2.49,13.448,0.000486,Food-Grade Mushroom Mycelium,146,5.1,0.486
122,2025-11-13,Laptop,Electronics,1.78,0.23,32,18,2.0,8,True,Air,959,Mushroom Pkg (Mycelium),2.31,4.268,0.001152,Food-Grade Mushroom Mycelium,146,5.1,0.486
123,2025-08-31,Smart Watch,Electronics,0.17,0.0,5,5,1.7302913453299058,5,True,Air,2971,PLA Bioplastic,1.07,1.263,4.325728363324764e-05,Lightweight PET Plastic,1082,0.97,1.941
124,2025-01-16,Smartphone,Electronics,0.31,0.02,13,7,1.0,9,True,Air,1684,Mushroom Pkg (Mycelium),1.92,1.305,9.1e-05,Food-Grade Mushroom Mycelium,146,5.1,0.486
125,2025-06-30,Sneakers,Clothing,1.15,1.23,28,20,11.0,3,False,Air,2683,Kraft Paper Mailer,1.09,8.25,0.00616,Single-Ply Kraft Paper,742,0.91,0.742
126,2025-09-29,T-Shirt,Clothing,0.29,0.18,24,19,2.0,1,False,Air,2332,Kraft Paper Mailer,0.32,1.691,0.000912,Single-Ply Kraft Paper,742,0.91,0.742
127,2025-08-27,Sneakers,Clothing,1.16,1.17,28,19,11.0,3,False,Air,1258,Kraft Paper Mailer,1.07,3.68,0.005852,Single-Ply Kraft Paper,742,0.91,0.742
128,2025-10-02,Smart Watch,Electronics,0.11,0.0,5,5,1.7302913453299058,5,True,Road,206,Honeycomb Paper,1.04,0.011,4.325728363324764e-05,Single-Ply Kraft Paper,742,0.91,0.742
129,2025-04-13,T-Shirt,Clothing,0.2,0.18,22,21,2.0,1,False,Road,578,Kraft Paper Mailer,0.28,0.058,0.000924,Single-Ply Kraft Paper,742,0.91,0.742
130,2025-12-23,55-Inch TV,Electronics,15.93,7.37,110,67,5.0,9,True,Road,1662,Mushroom Pkg (Mycelium),8.17,13.238,0.03685,Food-Grade Mushroom Mycelium,146,5.1,0.486
131,2025-12-09,Winter Jacket,Clothing,1.01,3.82,53,40,9.0,3,True,Air,2156,Kraft Paper Mailer,2.13,20.59,0.01908,Single-Ply Kraft Paper,742,0.91,0.742
132,2025-06-18,Ceramic Vase,Home Decor,1.54,0.95,13,13,28.0,9,False,Road,486,Mushroom Pkg (Mycelium),2.42,0.374,0.004732,Food-Grade Mushroom Mycelium,146,5.1,0.486
133,2025-07-16,T-Shirt,Clothing,0.27,0.09,23,20,1.0,1,False,Road,764,Kraft Paper Mailer,0.31,0.103,0.00046,Single-Ply Kraft Paper,742,0.91,0.742
134,2025-05-13,Smart Watch,Electronics,0.2,0.0,4,5,1.7302913453299058,5,True,Air,968,Honeycomb Paper,1.08,0.484,3.460582690659812e-05,Single-Ply Kraft Paper,742,0.91,0.742
135,2025-11-20,T-Shirt,Clothing,0.24,0.09,24,18,1.0,2,False,Road,689,Kraft Paper Mailer,0.5,0.083,0.000432,Single-Ply Kraft Paper,742,0.91,0.742
136,2025-06-09,Ceramic Vase,Home Decor,2.36,0.98,13,14,27.0,9,False,Air,1138,Mushroom Pkg (Mycelium),2.74,6.714,0.004914,Food-Grade Mushroom Mycelium,146,5.1,0.486
137,2025-06-26,Sneakers,Clothing,0.83,1.46,29,21,12.0,4,False,Air,1344,Kraft Paper Mailer,1.38,4.906,0.007308,Single-Ply Kraft Paper,742,0.91,0.742
138,2025-09-11,55-Inch TV,Electronics,21.93,8.42,122,69,5.0,10,True,Road,323,Mushroom Pkg (Mycelium),10.77,3.542,0.04209,Food-Grade Mushroom Mycelium,146,5.1,0.486
139,2025-03-20,Perfume Bottle,Beauty,0.41,0.05,10,5,5.0,8,True,Air,2152,Mushroom Pkg (Mycelium),1.76,2.206,0.00025,Food-Grade Mushroom Mycelium,146,5.1,0.486
