Material_ID,Material_Name,Category,Density_kg_m3,Tensile_Strength_MPa,CO2_Emission_kg,Cost_per_kg,Biodegradable
41,Lightweight ABS Plastic,Plastic,829,31.9,2.781,1.79,No
42,Commercial-Grade Molded Pulp,Paper,293,1.95,0.683,1.02,Yes
43,Industrial-Grade PVC Film,Plastic,1415,53.43,2.721,1.96,No
44,Laminated Seaweed Film,Eco,1166,18.17,0.262,5.65,Yes
45,Industrial-Grade HDPE Container,Plastic,1052,30.21,2.105,1.44,No
46,Standard Recycled Denim,Eco,286,4.76,0.572,1.52,Yes
47,Standard Tin Plate,Metal,7547,192.29,7.692,1.73,No
48,Woven HDPE Container,Plastic,1016,31.59,2.032,1.64,No
49,Commercial-Grade Jute Burlap,Eco,1245,28.73,0.479,1.21,Yes
50,Double-Wall Polyurethane Foam,Plastic,46,0.92,4.306,2.79,No
51,Perforated Cork Sheet,Wood,218,4.04,0.303,4.45,Yes
52,Recycled Plywood,Wood,640,35.44,0.354,2.21,Yes
53,Medical-Grade Bubble Wrap (LDPE),Plastic,908,11.85,3.436,6.52,No
54,Single-Ply Teflon Coating,Plastic,2074,18.33,7.542,6.7,No
55,Heavy-Duty Steel Strap,Metal,10304,569.05,2.439,1.71,No
56,Food-Grade Jute Burlap,Eco,1303,30.07,0.501,1.8,Yes
57,Heavy-Duty Hardboard,Wood,1214,43.59,0.872,2.62,Yes
58,Industrial-Grade Corrugated Cardboard,Paper,688,7.5,1.031,0.92,Yes
59,Lightweight Corrugated Cardboard,Paper,498,4.98,0.84,0.75,Yes
60,Waterproof Styrofoam (EPS),Plastic,28,0.4,3.651,1.81,No
61,Anti-Static Polyurethane Foam,Plastic,30,0.49,3.254,2.35,No
62,Medical-Grade Steel Strap,Metal,7562,465.34,2.327,3.49,No
63,Medical-Grade Glass Jar,Glass,2590,62.17,0.995,4.66,No
64,Waterproof Bagasse (Sugarcane),Eco,130,19.73,0.325,1.78,Yes
65,Industrial-Grade Hemp Composite,Eco,1160,57.53,1.055,3.06,Yes
66,Recycled Bagasse (Sugarcane),Eco,118,17.68,0.177,1.33,Yes
67,Fire-Retardant Polycarbonate,Plastic,1281,69.37,4.793,4.08,No
68,Single-Ply Pine Wood Crate,Wood,467,25.43,0.467,1.66,Yes
69,Anti-Static Bubble Wrap (LDPE),Plastic,912,9.91,3.162,3.05,No
70,Commercial-Grade Plywood,Wood,673,41.44,0.622,2.72,Yes
71,Reinforced PET Plastic,Plastic,1584,78.93,2.315,1.37,No
72,Insulated Steel Strap,Metal,4084,251.3,2.513,2.01,No
73,Heavy-Duty PVC Film,Plastic,1693,63.11,3.005,2.52,No
74,Anti-Static PET Plastic,Plastic,1415,56.41,2.482,1.58,No
75,Anti-Static Tin Plate,Metal,8207,209.1,9.201,2.63,No
76,Waterproof Tissue Paper,Paper,281,1.02,0.899,1.84,Yes
77,Waterproof Cork Sheet,Wood,271,5.14,0.339,4.93,Yes
78,UV-Stabilized Kraft Paper,Paper,801,55.06,0.961,1.54,Yes
79,Medical-Grade Borosilicate Glass,Glass,2190,70.72,1.297,8.84,No
80,Laminated PET Plastic,Plastic,1444,62.8,2.721,1.47,No
81,Lightweight Polypropylene (PP),Plastic,729,28.19,1.903,1.27,No
82,Woven Hardboard,Wood,942,37.12,0.733,2.23,Yes
83,UV-Stabilized Bamboo Sheet,Wood,723,51.12,0.744,3.04,Yes
84,Perforated Wax Paper,Paper,824,12.21,1.12,1.34,Yes
85,Reinforced Polycarbonate,Plastic,1475,99.84,4.28,3.73,No
86,Medical-Grade Corrugated Cardboard,Paper,603,7.24,1.086,2.41,Yes
87,Waterproof Pine Wood Crate,Wood,542,34.46,0.542,2.36,Yes
88,Double-Wall PVC Film,Plastic,2034,84.51,3.652,3,No
89,Lightweight Seaweed Film,Eco,819,11.7,0.175,3.51,Yes
90,Perforated Corrugated Cardboard,Paper,565,5.02,0.942,0.92,Yes
91,Lightweight Molded Pulp,Paper,242,1.61,0.636,0.91,Yes
92,Medical-Grade Bagasse (Sugarcane),Eco,118,23.66,0.355,4.44,Yes
93,Fire-Retardant Mushroom Mycelium,Eco,171,0.91,0.672,5.43,Yes
94,Reinforced Sheep Wool,Eco,1506,14.48,0.531,4.01,Yes
95,Laminated HDPE Container,Plastic,1002,28.75,2.367,1.74,No
96,Waterproof Nylon Fabric,Plastic,1328,62.97,5.772,3.78,No
97,Standard Teflon Coating,Plastic,2169,24.65,7.889,7.89,No
98,Laminated PLA Bioplastic,Eco,1408,74.31,2.415,4.05,Yes
99,Single-Ply Corrugated Cardboard,Paper,539,4.19,0.808,0.64,Yes
100,Woven Recycled Denim,Eco,346,6.82,0.692,2.18,Yes
101,Commercial-Grade Mushroom Mycelium,Eco,149,0.8,0.497,3.65,Yes
102,Lightweight Recycled Denim,Eco,243,4.04,0.546,1.46,Yes
103,Woven Aluminum Foil,Metal,3009,59.27,13.374,5.27,No
104,Waterproof Seaweed Film,Eco,1167,15.15,0.222,4.85,Yes
105,Woven Styrofoam (EPS),Plastic,27,0.52,3.6,1.93,No
106,Double-Wall HDPE Container,Plastic,1482,46.81,2.767,2.16,No
107,Medical-Grade Hardboard,Wood,925,36.99,0.863,5.55,Yes
108,Insulated Cotton Canvas,Eco,725,23.19,1.74,3.4,Yes
109,Heavy-Duty Mushroom Mycelium,Eco,188,1.08,0.579,4.73,Yes
110,Reinforced Tin Plate,Metal,9193,292.78,8.588,2.28,No
111,Commercial-Grade HDPE Container,Plastic,915,24.08,1.83,1.31,No
112,Standard Bamboo Sheet,Wood,703,45.21,0.603,2.11,Yes
113,Lightweight Wax Paper,Paper,731,12.19,1.005,1.1,Yes
114,Woven Corrugated Cardboard,Paper,653,7.71,0.979,1.03,Yes
115,Standard Kraft Paper,Paper,826,51.65,0.826,1.14,Yes
116,Fire-Retardant PLA Bioplastic,Eco,1354,65.5,2.322,4.17,Yes
117,Lightweight Tissue Paper,Paper,199,0.8,0.718,1.35,Yes
118,Industrial-Grade Wax Paper,Paper,973,17.68,1.189,1.3,Yes
119,Perforated Polypropylene (PP),Plastic,826,28.4,2.13,1.56,No
120,Insulated Jute Burlap,Eco,627,17.36,0.579,1.85,Yes
121,Commercial-Grade ABS Plastic,Plastic,1045,40.2,3.115,2.11,No
122,Laminated Bamboo Sheet,Wood,803,56.31,0.813,3.07,Yes
123,Lightweight Bagasse (Sugarcane),Eco,94,15.72,0.265,1.33,Yes
124,Medical-Grade Tin Plate,Metal,7722,236.1,9.444,5.31,No
125,Fire-Retardant Recycled Denim,Eco,325,5.41,0.768,2.36,Yes
126,Commercial-Grade Pine Wood Crate,Wood,509,35.62,0.509,2.14,Yes
127,Recycled Hemp Composite,Eco,1138,46.55,0.621,2.7,Yes
128,Reinforced HDPE Container,Plastic,1130,37.16,2.071,1.67,No
129,Standard Jute Burlap,Eco,1301,30.02,0.5,1.2,Yes
130,Laminated Aluminum Foil,Metal,2838,51.6,14.907,5.35,No
131,Double-Wall Styrofoam (EPS),Plastic,36,0.69,4.446,2.31,No
132,Double-Wall Wax Paper,Paper,1407,28.13,1.605,2,Yes
133,Waterproof Balsa Wood,Wood,184,10.46,0.46,4.39,Yes
134,Standard Polyurethane Foam,Plastic,29,0.48,2.902,1.64,No
135,Heavy-Duty Sheep Wool,Eco,1676,13.88,0.595,4.44,Yes
136,Reinforced Acrylic Sheet,Plastic,1448,107.38,3.937,3.32,No
137,Heavy-Duty Seaweed Film,Eco,1420,21.84,0.25,5.82,Yes
138,Heavy-Duty Cotton Canvas,Eco,1863,53.49,1.719,2.94,Yes
139,Lightweight Aluminum Foil,Metal,2144,35.73,10.718,3.57,No
140,Single-Ply Tin Plate,Metal,6972,138.16,7.105,1.42,No
141,Medical-Grade Kraft Paper,Paper,831,62.31,0.997,3.43,Yes
142,UV-Stabilized Cornstarch Foam,Eco,42,0.57,1.498,2.91,Yes
143,Insulated Recycled Denim,Eco,149,2.98,0.714,2.54,Yes
144,Woven Hemp Composite,Eco,1192,64.03,1.084,3.71,Yes
145,Reinforced Seaweed Film,Eco,1264,22.56,0.221,5.21,Yes
146,UV-Stabilized PVC Film,Plastic,1289,49.07,2.974,2.5,No
147,UV-Stabilized PET Plastic,Plastic,1443,63.27,2.761,1.61,No
148,Laminated Teflon Coating,Plastic,2467,30.58,10.602,11.42,No
149,Industrial-Grade Polyurethane Foam,Plastic,32,0.58,3.182,1.8,No
150,Insulated Sheep Wool,Eco,634,5.85,0.585,4.99,Yes
151,Waterproof Plywood,Wood,727,40.68,0.671,3.05,Yes
152,Heavy-Duty Teflon Coating,Plastic,2924,35.78,9.815,11.45,No
153,Woven Bagasse (Sugarcane),Eco,136,26.82,0.34,2.01,Yes
154,Single-Ply Hardboard,Wood,784,20.33,0.61,1.39,Yes
155,Heavy-Duty Hemp Composite,Eco,1443,70.61,1.211,4.1,Yes
156,Lightweight PVC Film,Plastic,1070,37.03,2.314,1.67,No
157,Heavy-Duty Palm Leaf,Eco,618,19.98,0.457,1.6,Yes
158,Double-Wall Polycarbonate,Plastic,1741,113.19,5.147,4.33,No
159,Insulated Molded Pulp,Paper,152,1.22,0.853,1.62,Yes
160,Lightweight HDPE Container,Plastic,732,19.26,1.646,1.13,No
161,Fire-Retardant Bubble Wrap (LDPE),Plastic,1030,11.19,3.835,3.36,No
162,Heavy-Duty Styrofoam (EPS),Plastic,33,0.58,4.07,2.16,No
163,Reinforced Plywood,Wood,751,57.76,0.635,3.13,Yes
164,Double-Wall Molded Pulp,Paper,452,3.61,0.984,1.61,Yes
165,UV-Stabilized Aluminum Foil,Metal,2832,51.91,15.102,5.87,No
166,Insulated Bubble Wrap (LDPE),Plastic,472,6.16,3.57,3.61,No
167,Waterproof Polycarbonate,Plastic,1254,61.76,3.972,3.19,No
168,Fire-Retardant Tin Plate,Metal,9049,230.54,10.898,2.83,No
169,Fire-Retardant Hardboard,Wood,952,31.72,0.875,2.6,Yes
170,Waterproof Tin Plate,Metal,8682,201.08,8.847,2.17,No
171,Single-Ply HDPE Container,Plastic,865,17.71,1.73,1.05,No
172,UV-Stabilized Plywood,Wood,670,45.37,0.742,3.61,Yes
173,Commercial-Grade PVC Film,Plastic,1255,43.45,2.414,1.83,No
174,Waterproof Jute Burlap,Eco,1458,30.59,0.561,1.47,Yes
175,UV-Stabilized Jute Burlap,Eco,1283,32.58,0.592,1.66,Yes
176,Double-Wall Corrugated Cardboard,Paper,924,11.09,1.294,1.31,Yes
177,Laminated Cotton Canvas,Eco,1672,48.64,1.976,3.12,Yes
178,Commercial-Grade Bubble Wrap (LDPE),Plastic,889,9.67,2.803,2.23,No
179,Recycled Sheep Wool,Eco,1249,8.65,0.288,2.77,Yes
180,Recycled Steel Strap,Metal,7882,363.79,1.213,1.09,No
181,Waterproof Bubble Wrap (LDPE),Plastic,1061,10.48,3.343,2.77,No
182,UV-Stabilized Teflon Coating,Plastic,2168,27.1,9.462,11.04,No
183,Food-Grade Sheep Wool,Eco,1304,10.03,0.501,4.81,Yes
184,Woven Sheep Wool,Eco,1447,13.16,0.557,4.21,Yes
185,Recycled Borosilicate Glass,Glass,2209,53.5,0.654,2.68,No
186,Fire-Retardant PVC Film,Plastic,1499,51.89,3.407,2.83,No
187,Heavy-Duty Cornstarch Foam,Eco,52,0.7,1.448,2.81,Yes
188,Fire-Retardant Kraft Paper,Paper,894,55.86,1.056,1.68,Yes
189,Industrial-Grade Polypropylene (PP),Plastic,980,41.36,2.275,1.52,No
190,Food-Grade Bamboo Sheet,Wood,698,44.87,0.598,3.14,Yes
191,UV-Stabilized Tissue Paper,Paper,245,1.08,0.942,2.06,Yes
192,UV-Stabilized Steel Strap,Metal,7715,435.23,2.374,1.66,No
193,Woven PVC Film,Plastic,1373,56.16,2.64,2.25,No
194,Perforated Hardboard,Wood,812,24.07,0.702,1.99,Yes
195,Fire-Retardant Cork Sheet,Wood,270,5.62,0.398,6.13,Yes
196,Waterproof Cornstarch Foam,Eco,45,0.51,1.357,2.47,Yes
197,Commercial-Grade PLA Bioplastic,Eco,1228,59.4,1.782,2.91,Yes
198,Industrial-Grade Pine Wood Crate,Wood,567,43.32,0.567,2.27,Yes
199,Food-Grade Polyurethane Foam,Plastic,31,0.52,3.137,2.67,No
200,Anti-Static Pine Wood Crate,Wood,509,35.65,0.56,2.85,Yes
201,Single-Ply Bagasse (Sugarcane),Eco,108,13.95,0.269,1.2,Yes
202,Industrial-Grade Mushroom Mycelium,Eco,167,0.97,0.555,3.89,Yes
203,Waterproof Aluminum Foil,Metal,2832,42.9,12.585,4.58,No
204,Anti-Static Balsa Wood,Wood,157,9.8,0.431,4.8,Yes
205,Industrial-Grade Aluminum Foil,Metal,2977,54.13,13.232,4.41,No
206,Heavy-Duty Nylon Fabric,Plastic,1562,87.76,6.269,4.39,No
207,Reinforced Balsa Wood,Wood,183,14.27,0.418,4.33,Yes
208,Medical-Grade Teflon Coating,Plastic,2150,29.32,9.383,23.46,No
209,Laminated Styrofoam (EPS),Plastic,28,0.49,4.382,2.14,No
210,Laminated Cork Sheet,Wood,256,5.81,0.378,5.43,Yes
211,Perforated Acrylic Sheet,Plastic,1060,55.91,3.494,2.75,No
212,Industrial-Grade PET Plastic,Plastic,1592,69.23,2.539,1.27,No
213,Insulated Cork Sheet,Wood,115,2.87,0.345,6.13,Yes
214,Medical-Grade Seaweed Film,Eco,1089,18.66,0.249,12.44,Yes
215,Heavy-Duty Acrylic Sheet,Plastic,1589,101.54,4.352,3.63,No
216,Perforated Recycled Denim,Eco,258,3.82,0.573,1.68,Yes
217,Fire-Retardant Styrofoam (EPS),Plastic,27,0.43,4.211,2.21,No
218,Heavy-Duty Bubble Wrap (LDPE),Plastic,1225,14.34,3.565,3.15,No
219,Waterproof Borosilicate Glass,Glass,2532,61.93,1.249,3.72,No
220,Laminated Nylon Fabric,Plastic,1316,74.88,6.76,4.37,No
221,Standard Cotton Canvas,Eco,1469,39.16,1.469,2.15,Yes
222,Medical-Grade Aluminum Foil,Metal,2830,56.61,15.096,12.58,No
223,Recycled Balsa Wood,Wood,156,8.76,0.234,3.06,Yes
224,Heavy-Duty ABS Plastic,Plastic,1302,53.92,3.582,2.7,No
225,Industrial-Grade Seaweed Film,Eco,1126,17.55,0.215,4.29,Yes
226,Laminated Bubble Wrap (LDPE),Plastic,1003,11.89,3.736,3.05,No
227,Single-Ply Wax Paper,Paper,786,10.18,0.96,0.93,Yes
228,Laminated Molded Pulp,Paper,319,2.32,0.88,1.35,Yes
229,Food-Grade PLA Bioplastic,Eco,1196,57.88,1.736,4.05,Yes
230,Food-Grade Polypropylene (PP),Plastic,933,36.07,2.164,2.16,No
231,Single-Ply Plywood,Wood,602,28.83,0.556,2.06,Yes
232,Anti-Static Sheep Wool,Eco,1360,10.46,0.575,4.69,Yes
233,Double-Wall Palm Leaf,Eco,721,25.95,0.538,1.85,Yes
234,Industrial-Grade Bamboo Sheet,Wood,786,55.11,0.674,2.36,Yes
235,Industrial-Grade Sheep Wool,Eco,1459,12.25,0.561,3.59,Yes
236,Insulated Polypropylene (PP),Plastic,465,21.58,2.59,2.3,No
237,Reinforced Jute Burlap,Eco,1589,45.83,0.56,1.59,Yes
238,Lightweight Styrofoam (EPS),Plastic,19,0.31,2.859,1.3,No
239,Double-Wall Steel Strap,Metal,11721,721.29,2.805,1.92,No
240,Food-Grade Corrugated Cardboard,Paper,579,5.79,0.869,1.16,Yes
241,Woven Polypropylene (PP),Plastic,1007,46.01,2.336,1.84,No
242,Fire-Retardant Bamboo Sheet,Wood,770,49.53,0.78,3.15,Yes
243,Waterproof PLA Bioplastic,Eco,1331,58.56,1.932,3.28,Yes
244,Recycled Polyurethane Foam,Plastic,30,0.45,1.786,1.52,No
245,Standard Glass Jar,Glass,2449,48.99,0.784,1.47,No
246,UV-Stabilized Tin Plate,Metal,8236,230.81,10.072,2.64,No
247,Insulated Palm Leaf,Eco,239,8.61,0.459,1.84,Yes
248,Standard Corrugated Cardboard,Paper,591,5.91,0.886,0.79,Yes
249,Recycled Bubble Wrap (LDPE),Plastic,928,9.08,1.756,2,No
250,Insulated Aluminum Foil,Metal,1343,26.86,14.326,6.37,No
251,Perforated Cornstarch Foam,Eco,36,0.4,1.206,2.21,Yes
252,Heavy-Duty Recycled Denim,Eco,374,6.71,0.69,2.15,Yes
253,Lightweight Mushroom Mycelium,Eco,124,0.66,0.465,3.26,Yes
254,Anti-Static Polypropylene (PP),Plastic,925,35.77,2.361,2,No
255,Commercial-Grade Seaweed Film,Eco,1057,15.1,0.201,4.23,Yes
256,Single-Ply Nylon Fabric,Plastic,1082,43.91,4.705,2.51,No
257,Food-Grade Bubble Wrap (LDPE),Plastic,888,9.65,2.798,3.18,No
258,Reinforced Nylon Fabric,Plastic,1447,94.35,5.766,4.09,No
259,Anti-Static Wax Paper,Paper,883,14.72,1.188,1.65,Yes
260,Fire-Retardant Polypropylene (PP),Plastic,993,38.42,2.724,2.1,No
261,Anti-Static Bagasse (Sugarcane),Eco,119,19.87,0.328,2.09,Yes
262,Industrial-Grade PLA Bioplastic,Eco,1385,73.08,2.01,3.13,Yes
263,Insulated Styrofoam (EPS),Plastic,13,0.25,4.103,2.49,No
264,Heavy-Duty Bagasse (Sugarcane),Eco,156,27.97,0.36,2.1,Yes
265,Double-Wall Glass Jar,Glass,3716,89.19,1.11,2.38,No
266,Reinforced Recycled Denim,Eco,364,7.59,0.668,2.1,Yes
267,Single-Ply Palm Leaf,Eco,453,10.56,0.362,0.97,Yes
268,Standard Steel Strap,Metal,7967,408.56,2.043,1.23,No
269,Single-Ply Balsa Wood,Wood,139,6.76,0.348,2.7,Yes
270,Woven Molded Pulp,Paper,319,2.51,0.744,1.26,Yes
271,Insulated Tin Plate,Metal,3761,114.99,9.199,2.76,No
272,Reinforced Cornstarch Foam,Eco,49,0.76,1.341,2.64,Yes
273,UV-Stabilized PLA Bioplastic,Eco,1179,62.75,2.054,3.73,Yes
274,UV-Stabilized Mushroom Mycelium,Eco,154,0.9,0.617,5.04,Yes
275,Food-Grade Pine Wood Crate,Wood,521,36.48,0.521,3.13,Yes
276,Commercial-Grade Cotton Canvas,Eco,1466,39.09,1.466,2.26,Yes
277,Anti-Static Seaweed Film,Eco,1005,14.35,0.211,5.36,Yes
278,Insulated Bamboo Sheet,Wood,351,27.07,0.722,3.37,Yes
279,Double-Wall Acrylic Sheet,Plastic,1843,131.21,5.103,4.17,No
280,Waterproof HDPE Container,Plastic,1050,25.13,2.101,1.57,No
281,Insulated Bagasse (Sugarcane),Eco,62,12.46,0.374,2.49,Yes
282,Fire-Retardant Palm Leaf,Eco,575,17.24,0.543,1.88,Yes
283,Commercial-Grade Corrugated Cardboard,Paper,581,5.81,0.871,0.81,Yes
284,Industrial-Grade Cork Sheet,Wood,255,5.78,0.318,4.24,Yes
285,Perforated Polyurethane Foam,Plastic,26,0.39,2.923,1.82,No
286,Waterproof Hemp Composite,Eco,1218,50.31,1.107,3.5,Yes
287,UV-Stabilized Seaweed Film,Eco,1010,15.87,0.231,5.39,Yes
288,Perforated Kraft Paper,Paper,700,38.88,0.778,1.18,Yes
289,Laminated Steel Strap,Metal,8861,495.75,2.685,1.74,No
290,Medical-Grade Tissue Paper,Paper,250,1.2,0.959,4.49,Yes
291,Woven Jute Burlap,Eco,1443,39.34,0.555,1.57,Yes
292,Reinforced Styrofoam (EPS),Plastic,29,0.58,3.504,1.88,No
293,Fire-Retardant Steel Strap,Metal,8490,435.4,2.573,1.78,No
294,Fire-Retardant Teflon Coating,Plastic,2410,27.39,10.359,11.95,No
295,Laminated Acrylic Sheet,Plastic,1341,86.78,4.701,3.62,No
296,Fire-Retardant Aluminum Foil,Metal,2859,47.65,15.016,5.78,No
297,Recycled Corrugated Cardboard,Paper,610,5.49,0.549,0.73,Yes
298,Insulated ABS Plastic,Plastic,496,22.87,3.545,3.05,No
299,Laminated Tissue Paper,Paper,274,1.2,1.038,2.1,Yes
300,Waterproof Kraft Paper,Paper,889,50.53,0.889,1.33,Yes
301,Industrial-Grade Balsa Wood,Wood,182,12.41,0.455,3.98,Yes
302,Waterproof ABS Plastic,Plastic,1153,40.3,3.435,2.42,No
303,Medical-Grade ABS Plastic,Plastic,1022,47.19,3.657,5.9,No
304,Food-Grade Palm Leaf,Eco,499,14.96,0.399,1.8,Yes
305,Laminated Polyurethane Foam,Plastic,32,0.58,3.779,2.31,No
306,Heavy-Duty Bamboo Sheet,Wood,868,60.09,0.687,2.8,Yes
307,Food-Grade Hemp Composite,Eco,1116,50.74,1.015,4.41,Yes
308,Anti-Static Hardboard,Wood,937,31.22,0.801,2.62,Yes
309,Heavy-Duty PET Plastic,Plastic,1767,75.86,2.601,1.52,No
310,Food-Grade Hardboard,Wood,883,29.42,0.686,2.65,Yes
311,Double-Wall Teflon Coating,Plastic,3309,45.12,11.231,12.84,No
312,Double-Wall Bubble Wrap (LDPE),Plastic,1399,18.25,4.116,3.57,No
313,Double-Wall Hardboard,Wood,1315,52.62,0.955,2.81,Yes
314,Commercial-Grade Hardboard,Wood,928,30.92,0.722,1.95,Yes
315,Industrial-Grade Teflon Coating,Plastic,2513,31.15,9.138,9.14,No
316,Recycled Cotton Canvas,Eco,1525,36.6,0.915,2.01,Yes
317,Commercial-Grade Aluminum Foil,Metal,2826,47.09,12.558,4.4,No
318,Commercial-Grade Kraft Paper,Paper,805,50.31,0.805,1.16,Yes
319,Food-Grade PVC Film,Plastic,1267,43.85,2.436,2.63,No
320,Recycled PVC Film,Plastic,1279,39.86,1.476,1.59,No
321,Industrial-Grade Hardboard,Wood,1006,36.58,0.782,2.01,Yes
322,Laminated ABS Plastic,Plastic,1173,49.2,4.131,2.87,No
323,Double-Wall Mushroom Mycelium,Eco,232,1.48,0.722,5.77,Yes
324,Waterproof Sheep Wool,Eco,1386,9.69,0.533,3.72,Yes
325,Medical-Grade Balsa Wood,Wood,156,11.7,0.468,10.24,Yes
326,Fire-Retardant Cornstarch Foam,Eco,44,0.55,1.565,3.01,Yes
327,Anti-Static PLA Bioplastic,Eco,1228,59.44,1.961,3.88,Yes
328,Fire-Retardant Bagasse (Sugarcane),Eco,129,21.45,0.38,2.19,Yes
329,Reinforced Hardboard,Wood,1101,45.89,0.785,2.39,Yes
330,Fire-Retardant ABS Plastic,Plastic,1107,42.58,3.9,2.9,No
331,Perforated Steel Strap,Metal,7197,328.07,2.05,1.35,No
332,Standard Wax Paper,Paper,918,15.3,1.122,1.22,Yes
333,Standard Styrofoam (EPS),Plastic,24,0.39,3.207,1.46,No
334,Reinforced Corrugated Cardboard,Paper,705,8.82,0.97,1.02,Yes
335,Reinforced ABS Plastic,Plastic,1225,58.91,3.348,2.55,No
336,Commercial-Grade Teflon Coating,Plastic,2112,24,7.681,8.06,No
337,Insulated Borosilicate Glass,Glass,1150,37.14,1.362,4.95,No
338,Heavy-Duty PLA Bioplastic,Eco,1690,88.07,2.265,4.11,Yes
339,Single-Ply Bamboo Sheet,Wood,636,31.82,0.545,1.7,Yes
340,Commercial-Grade Wax Paper,Paper,890,14.84,1.088,1.25,Yes
341,Laminated Hardboard,Wood,972,35.35,0.894,2.47,Yes
342,Anti-Static Tissue Paper,Paper,253,1.01,0.891,2.13,Yes
343,Fire-Retardant Corrugated Cardboard,Paper,658,6.58,1.167,1.2,Yes
344,Reinforced Wax Paper,Paper,1120,23.34,1.255,1.62,Yes
345,Lightweight Borosilicate Glass,Glass,1739,46.8,0.965,2.63,No
346,Industrial-Grade Polycarbonate,Plastic,1321,78.03,4.182,3.08,No
347,Standard Acrylic Sheet,Plastic,1172,69.51,3.475,2.48,No
348,Anti-Static Mushroom Mycelium,Eco,151,0.81,0.554,4.93,Yes
349,Woven Wax Paper,Paper,981,19.32,1.199,1.55,Yes
350,Industrial-Grade Tissue Paper,Paper,280,1.22,0.897,1.68,Yes
351,Anti-Static Nylon Fabric,Plastic,1095,57.11,5.235,4,No
352,Anti-Static Steel Strap,Metal,7792,399.61,2.198,1.68,No
353,Waterproof Glass Jar,Glass,2670,48.54,0.854,1.75,No
354,Single-Ply Tissue Paper,Paper,233,0.72,0.745,1.24,Yes
355,Single-Ply Molded Pulp,Paper,280,1.45,0.653,0.83,Yes
356,Recycled Molded Pulp,Paper,285,1.71,0.399,0.86,Yes
357,Medical-Grade Acrylic Sheet,Plastic,1185,84.38,4.219,7.53,No
358,Insulated Glass Jar,Glass,1206,28.94,0.926,2.31,No
359,Double-Wall Nylon Fabric,Plastic,1789,112.01,7.26,4.98,No
360,Industrial-Grade Nylon Fabric,Plastic,1229,69.97,5.345,3.21,No
361,Double-Wall Jute Burlap,Eco,1917,53.09,0.688,1.89,Yes
