Record_ID,Main_Category,Subcategory,Packaging_Format,Primary_Material,Closure_Type,Barrier_Level,Product_Weight_kg,Packaging_Weight_kg,Pack_to_Product_Ratio,Shelf_Life_Days,Recyclability_Percentage,CO2_Emission_Packaging_kgCO2e,Biodegradability_Score_0_1,Breakage_Risk_0_1,Recycling_Label,Logistics_Region,End_of_Life_Score_0_1,Overall_Sustainability_Score_0_1
17,Cosmetics,Nail Polish,Tube,Bioplastic,Zipper,Medium,0.05,0.012,0.239,123,90,0.0118,0.729,0.096,Check Locally,Urban Metro,0.518,0.82
18,Apparel & Fashion,T-Shirt,Can,Paperboard,Screw Cap,Medium,0.198,0.0308,0.155,137,94,0.0413,0.974,0.082,Not Recycled,Urban Metro,0.128,0.835
19,Household Care,Floor Cleaner,Pouch,Corrugated Board,Heat Seal,Low,0.82,0.0575,0.07,126,99,0.0752,0.958,0.045,Widely Recycled,Tier-1 City,0.798,0.933
20,Pet Care,Pet Food,Blister Pack,Paperboard,Zipper,Medium,2.014,0.2422,0.12,150,89,0.2837,0.993,0.082,Widely Recycled,Urban Metro,0.83,0.86
21,Apparel & Fashion,Shoes,Carton,Paperboard,Zipper,Low,0.98,0.1367,0.14,66,71,0.1911,0.833,0.044,Not Recycled,Tier-2 City,0.212,0.704
22,Baby Products,Baby Wipes,Blister Pack,Corrugated Board,Zipper,High,0.405,0.0286,0.071,234,73,0.0203,0.728,0.023,Compostable,Tier-2 City,0.842,0.823
23,Apparel & Fashion,Jeans,Blister Pack,Rigid Plastic,Pump,Medium,0.922,0.0813,0.088,157,76,0.3021,0.078,0.012,Check Locally,Rural,0.663,0.525
24,Electronics,Small Appliance,Can,Flexible Plastic,Pump,High,3.031,0.7271,0.24,246,54,1.7961,0.193,0.074,Compostable,Tier-1 City,0.946,0.097
25,Pet Care,Pet Shampoo,Pouch,Flexible Plastic,Heat Seal,Low,0.371,0.0498,0.134,96,70,0.0776,0.244,0.049,Not Recycled,Tier-1 City,0.451,0.594
26,Electronics,Mobile Phone,Blister Pack,Aluminium,Zipper,High,0.433,0.1349,0.311,227,99,0.1072,0.286,0.024,Check Locally,Urban Metro,0.672,0.704
27,Baby Products,Diapers,Box,Paperboard,Pump,Medium,0.951,0.0957,0.101,326,78,0.0402,0.716,0.144,Widely Recycled,Urban Metro,0.985,0.848
28,Electronics,Headphones,Carton,Paperboard,Snap Fit,Medium,0.309,0.0377,0.122,143,76,0.0541,0.934,0.026,Check Locally,Urban Metro,0.62,0.848
29,Cosmetics,Mascara,Tube,Bioplastic,Flip Top,Medium,0.05,0.0049,0.097,241,72,0.0055,0.722,0.125,Widely Recycled,Tier-1 City,0.77,0.812
30,Pet Care,Pet Food,Bottle,Rigid Plastic,Flip Top,High,1.801,0.1696,0.094,351,66,0.4912,0.127,0.137,Check Locally,Urban Metro,0.587,0.446
31,Apparel & Fashion,Jacket,Can,Composite (Plastic+Paper),Snap Fit,Low,1.013,0.122,0.12,124,44,0.3287,0.025,0.084,Return to Store,Urban Metro,0.488,0.392
32,Cosmetics,Nail Polish,Sachet,Glass,None,High,0.05,0.0172,0.344,223,85,0.0181,0.448,0.187,Return to Store,Urban Metro,0.212,0.675
33,Pet Care,Pet Shampoo,Can,Bioplastic,Pump,Medium,0.428,0.0625,0.146,133,76,0.0387,0.808,0.046,Not Recycled,Tier-1 City,0.224,0.757
34,Electronics,Mobile Phone,Box,Corrugated Board,Screw Cap,High,0.501,0.0849,0.169,166,72,0.1148,0.865,0.033,Not Recycled,Tier-1 City,0.494,0.781
35,Cosmetics,Foundation,Tray,Composite (Plastic+Paper),Snap Fit,High,0.05,0.0043,0.086,276,28,0.0066,0.023,0.107,Return to Store,Rural,0.322,0.423
36,Cosmetics,Lipstick,Blister Pack,Glass,None,High,0.05,0.0088,0.176,174,98,0.009,0.214,0.185,Widely Recycled,Urban Metro,0.849,0.736
37,Healthcare OTC,Cold & Flu,Box,Paperboard,Snap Fit,High,0.065,0.0107,0.164,375,82,0.0049,0.709,0.116,Not Recycled,Tier-2 City,0.461,0.786
38,Personal Care,Soap,Pouch,Glass,Heat Seal,Medium,0.096,0.0243,0.253,212,93,0.0188,0.411,0.241,Return to Store,Tier-1 City,0.203,0.682
39,Pet Care,Pet Food,Pouch,Flexible Plastic,Zipper,Medium,2.337,0.2823,0.121,115,24,0.5145,0.038,0.031,Compostable,Tier-1 City,0.9,0.354
40,Personal Care,Skin Cream,Carton,Paperboard,Flip Top,Medium,0.074,0.0054,0.073,144,72,0.0024,0.838,0.039,Widely Recycled,Urban Metro,0.796,0.852
41,Apparel & Fashion,T-Shirt,Tray,Corrugated Board,Heat Seal,Medium,0.236,0.0119,0.05,132,96,0.0048,0.879,0.148,Check Locally,Tier-1 City,0.647,0.9
42,Baby Products,Baby Lotion,Can,Tinplate,Screw Cap,Ultra High,0.326,0.0822,0.252,288,61,0.0999,0.324,0.02,Not Recycled,Urban Metro,0.326,0.571
43,Food & Beverage,Ready-to-Eat,Carton,Paperboard,Flip Top,High,0.361,0.05,0.138,324,93,0.0449,0.726,0.085,Check Locally,Tier-1 City,0.626,0.832
44,Apparel & Fashion,T-Shirt,Blister Pack,Tinplate,None,Low,0.197,0.0492,0.25,107,49,0.141,0.104,0.025,Compostable,Urban Metro,0.942,0.555
45,Pet Care,Cat Litter,Tray,Composite (Plastic+Paper),Flip Top,Low,5.598,0.4529,0.081,94,78,1.235,0.217,0.125,Check Locally,Tier-1 City,0.512,0.268
46,Cosmetics,Foundation,Carton,Composite (Plastic+Paper),Heat Seal,Medium,0.055,0.0093,0.17,143,62,0.0319,0.026,0.081,Check Locally,Tier-1 City,0.421,0.517
47,Personal Care,Soap,Blister Pack,Flexible Plastic,Heat Seal,Low,0.115,0.0142,0.123,72,60,0.0483,0.179,0.076,Not Recycled,Urban Metro,0.44,0.557
48,Personal Care,Skin Cream,Can,Flexible Plastic,Snap Fit,High,0.086,0.0192,0.223,364,28,0.0668,0.06,0.033,Widely Recycled,Urban Metro,0.89,0.503
49,Electronics,Mobile Phone,Carton,Composite (Plastic+Paper),Heat Seal,Low,0.433,0.0806,0.186,98,52,0.2093,0.173,0.06,Check Locally,Tier-1 City,0.763,0.535
50,Household Care,Floor Cleaner,Box,Composite (Plastic+Paper),None,Medium,0.778,0.0807,0.104,231,67,0.2461,0.16,0.135,Return to Store,Tier-2 City,0.383,0.501
51,Baby Products,Diapers,Tub,Flexible Plastic,Screw Cap,High,1.246,0.1215,0.097,267,52,0.2973,0.137,0.095,Check Locally,Tier-1 City,0.564,0.467
52,Personal Care,Toothpaste,Box,Corrugated Board,Zipper,Medium,0.133,0.0098,0.074,123,97,0.0098,0.82,0.075,Not Recycled,Rural,0.156,0.81
53,Personal Care,Shampoo,Bottle,Glass,Flip Top,Low,0.174,0.058,0.334,96,93,0.019,0.426,0.144,Widely Recycled,Urban Metro,0.952,0.799
54,Baby Products,Diapers,Blister Pack,Aluminium,Screw Cap,Ultra High,1.008,0.2705,0.268,335,81,0.0989,0.268,0.01,Widely Recycled,Tier-1 City,0.959,0.699
55,Healthcare OTC,Cold & Flu,Tube,Flexible Plastic,Snap Fit,High,0.051,0.0044,0.086,316,74,0.0093,0.173,0.033,Return to Store,Urban Metro,0.332,0.586
56,Healthcare OTC,Cold & Flu,Pouch,Corrugated Board,Heat Seal,High,0.05,0.0061,0.122,295,95,0.0058,0.755,0.052,Not Recycled,Urban Metro,0.459,0.833
57,Food & Beverage,Confectionery,Can,Rigid Plastic,Screw Cap,High,0.096,0.0163,0.169,360,46,0.0407,0.168,0.032,Widely Recycled,Urban Metro,0.926,0.593
58,Apparel & Fashion,Jeans,Box,Paperboard,Zipper,Medium,0.798,0.0427,0.054,237,76,0.0247,0.902,0.013,Widely Recycled,Tier-1 City,0.966,0.9
59,Pet Care,Pet Shampoo,Box,Corrugated Board,Flip Top,Low,0.475,0.0832,0.175,102,98,0.039,0.822,0.055,Widely Recycled,Urban Metro,0.762,0.895
60,Household Care,Air Freshener,Box,Corrugated Board,Zipper,Medium,0.326,0.0323,0.099,143,87,0.0201,0.887,0.067,Check Locally,Rural,0.488,0.853
61,Apparel & Fashion,Jeans,Can,Bioplastic,Screw Cap,Low,0.698,0.0774,0.111,100,84,0.0709,0.923,0.108,Widely Recycled,Urban Metro,0.95,0.909
62,Electronics,Laptop,Carton,Corrugated Board,Snap Fit,High,1.511,0.1844,0.122,303,89,0.239,0.762,0.012,Widely Recycled,Urban Metro,0.92,0.819
63,Personal Care,Deodorant,Tray,Corrugated Board,Pump,Medium,0.146,0.0146,0.1,216,85,0.0052,0.75,0.113,Widely Recycled,Tier-2 City,0.72,0.845
64,Pet Care,Cat Litter,Tub,Bioplastic,Pump,Medium,5.406,0.797,0.147,185,98,0.3682,0.845,0.048,Check Locally,Urban Metro,0.599,0.779
65,Personal Care,Shampoo,Carton,Paperboard,Snap Fit,Medium,0.205,0.0235,0.114,164,90,0.0193,0.774,0.125,Widely Recycled,Rural,0.702,0.858
66,Household Care,Laundry Detergent,Bottle,Flexible Plastic,Flip Top,Low,1.033,0.0978,0.095,148,77,0.3322,0.192,0.116,Not Recycled,Rural,0.461,0.521
67,Apparel & Fashion,T-Shirt,Carton,Corrugated Board,Pump,Low,0.203,0.0184,0.091,168,73,0.0217,0.758,0.026,Return to Store,Tier-1 City,0.445,0.772
68,Baby Products,Baby Food,Pouch,Corrugated Board,None,High,0.254,0.0203,0.08,242,73,0.008,0.909,0.058,Widely Recycled,Urban Metro,0.862,0.884
69,Healthcare OTC,Pain Relief,Pouch,Tinplate,None,High,0.05,0.0121,0.242,329,89,0.0121,0.193,0.047,Widely Recycled,Urban Metro,0.727,0.687
70,Cosmetics,Nail Polish,Tray,Composite (Plastic+Paper),Zipper,Medium,0.05,0.0069,0.137,170,51,0.0228,0.001,0.075,Compostable,Tier-2 City,0.877,0.553
71,Food & Beverage,Confectionery,Tray,Paperboard,Zipper,Medium,0.084,0.0146,0.173,210,93,0.0059,0.825,0.133,Not Recycled,Rural,0.496,0.854
72,Baby Products,Baby Wipes,Tub,Glass,Screw Cap,High,0.371,0.1174,0.316,305,73,0.0418,0.292,0.243,Widely Recycled,Rural,0.965,0.704
73,Household Care,Air Freshener,Carton,Composite (Plastic+Paper),Heat Seal,Medium,0.485,0.0962,0.198,154,29,0.3406,0.067,0.041,Widely Recycled,Rural,0.958,0.435
74,Stationery,Printer Ink,Box,Paperboard,Pump,Low,0.261,0.0352,0.135,100,86,0.0143,0.823,0.062,Not Recycled,Tier-1 City,0.132,0.779
75,Cosmetics,Lipstick,Bottle,Rigid Plastic,Pump,Low,0.05,0.011,0.22,74,40,0.0352,0.17,0.047,Compostable,Urban Metro,0.747,0.555
76,Stationery,Notebook,Tray,Composite (Plastic+Paper),Pump,High,0.344,0.0791,0.23,305,77,0.2108,0.264,0.011,Widely Recycled,Rural,0.7,0.615
77,Personal Care,Skin Cream,Tube,Rigid Plastic,Zipper,Low,0.082,0.0154,0.187,91,35,0.0476,0.162,0.119,Widely Recycled,Urban Metro,0.83,0.548
78,Personal Care,Deodorant,Blister Pack,Aluminium,Pump,Low,0.162,0.0549,0.339,71,74,0.0672,0.454,0.012,Compostable,Rural,0.903,0.739
79,Electronics,Headphones,Box,Composite (Plastic+Paper),Pump,Medium,0.351,0.0432,0.123,159,20,0.0819,0.141,0.142,Check Locally,Urban Metro,0.718,0.475
80,Electronics,Small Appliance,Pouch,Aluminium,None,Medium,2.424,0.8245,0.34,219,74,0.6751,0.572,0.036,Widely Recycled,Rural,0.823,0.579
81,Healthcare OTC,Digestive Aid,Pouch,Rigid Plastic,None,High,0.05,0.0113,0.227,356,48,0.0445,0.056,0.132,Check Locally,Tier-1 City,0.407,0.485
82,Cosmetics,Nail Polish,Carton,Corrugated Board,Snap Fit,Medium,0.05,0.0041,0.082,247,86,0.0023,0.748,0.101,Widely Recycled,Tier-2 City,0.793,0.86
83,Food & Beverage,Confectionery,Pouch,Flexible Plastic,None,High,0.137,0.0178,0.13,240,61,0.0648,0.234,0.016,Widely Recycled,Urban Metro,0.996,0.654
84,Healthcare OTC,Cold & Flu,Tub,Glass,Flip Top,High,0.05,0.011,0.22,272,70,0.0043,0.298,0.176,Compostable,Urban Metro,0.75,0.678
85,Food & Beverage,Dairy,Box,Paperboard,Heat Seal,Ultra High,0.636,0.1038,0.163,291,91,0.131,0.802,0.124,Not Recycled,Tier-1 City,0.339,0.781
86,Healthcare OTC,Cold & Flu,Box,Corrugated Board,Zipper,Medium,0.063,0.008,0.127,159,89,0.007,0.885,0.056,Widely Recycled,Urban Metro,0.937,0.928
87,Baby Products,Baby Wipes,Box,Corrugated Board,Snap Fit,Medium,0.344,0.0618,0.18,213,99,0.0667,0.76,0.105,Check Locally,Urban Metro,0.736,0.866
88,Food & Beverage,Ready-to-Eat,Blister Pack,Bioplastic,None,Ultra High,0.252,0.0361,0.143,215,99,0.0126,0.96,0.091,Widely Recycled,Urban Metro,0.882,0.966
89,Personal Care,Deodorant,Sachet,Bioplastic,Heat Seal,Medium,0.168,0.0195,0.116,188,88,0.0206,0.92,0.028,Widely Recycled,Urban Metro,0.991,0.94
90,Baby Products,Diapers,Blister Pack,Composite (Plastic+Paper),Pump,Medium,1.082,0.1684,0.156,163,50,0.4038,0.178,0.033,Widely Recycled,Urban Metro,0.957,0.503
91,Cosmetics,Mascara,Bottle,Glass,Screw Cap,High,0.05,0.0098,0.197,236,96,0.0082,0.265,0.194,Check Locally,Tier-1 City,0.779,0.735
92,Stationery,Printer Ink,Sachet,Rigid Plastic,None,Low,0.189,0.0322,0.171,126,66,0.1051,0.134,0.131,Widely Recycled,Urban Metro,0.717,0.583
93,Cosmetics,Nail Polish,Carton,Composite (Plastic+Paper),Flip Top,Low,0.05,0.0048,0.095,73,26,0.0141,0.206,0.066,Return to Store,Urban Metro,0.481,0.495
94,Personal Care,Skin Cream,Tray,Composite (Plastic+Paper),None,Medium,0.055,0.0093,0.17,193,27,0.017,0.043,0.142,Not Recycled,Rural,0.138,0.397
95,Pet Care,Pet Food,Sachet,Flexible Plastic,Zipper,High,2.242,0.5522,0.246,196,42,0.8526,0.073,0.126,Widely Recycled,Rural,0.907,0.308
96,Food & Beverage,Snacks,Box,Corrugated Board,Screw Cap,Ultra High,0.187,0.0119,0.064,201,89,0.0179,0.714,0.147,Return to Store,Tier-2 City,0.136,0.754
97,Stationery,Marker,Tub,Flexible Plastic,Flip Top,Medium,0.05,0.0109,0.217,124,65,0.038,0.131,0.124,Not Recycled,Urban Metro,0.352,0.545
98,Apparel & Fashion,Shoes,Blister Pack,Composite (Plastic+Paper),Flip Top,Low,1.16,0.1804,0.156,157,20,0.5353,0.051,0.1,Check Locally,Urban Metro,0.745,0.319
99,Personal Care,Deodorant,Blister Pack,Composite (Plastic+Paper),Flip Top,High,0.119,0.0212,0.179,171,52,0.064,0.229,0.124,Not Recycled,Tier-1 City,0.429,0.544
100,Baby Products,Baby Wipes,Blister Pack,Composite (Plastic+Paper),Snap Fit,Ultra High,0.329,0.0373,0.114,361,48,0.0741,0.05,0.096,Widely Recycled,Urban Metro,0.941,0.556
101,Household Care,Air Freshener,Carton,Corrugated Board,Heat Seal,Medium,0.419,0.0658,0.157,177,85,0.0295,0.958,0.122,Not Recycled,Urban Metro,0.327,0.842
102,Apparel & Fashion,Jacket,Tub,Flexible Plastic,Screw Cap,Medium,0.93,0.0813,0.087,241,57,0.3153,0.18,0.125,Not Recycled,Tier-1 City,0.17,0.43
103,Stationery,Notebook,Carton,Paperboard,None,High,0.445,0.0381,0.086,227,94,0.0308,0.9,0.023,Widely Recycled,Tier-1 City,0.746,0.909
104,Food & Beverage,Dairy,Pouch,Steel,None,High,0.592,0.1535,0.259,367,43,0.2735,0.397,0.05,Not Recycled,Tier-1 City,0.271,0.488
105,Baby Products,Diapers,Bottle,Glass,Flip Top,Medium,1.085,0.2223,0.205,253,72,0.0895,0.547,0.135,Check Locally,Urban Metro,0.608,0.709
106,Personal Care,Deodorant,Blister Pack,Steel,Zipper,Low,0.164,0.047,0.286,43,43,0.0899,0.195,0.025,Check Locally,Tier-2 City,0.586,0.529
107,Pet Care,Pet Shampoo,Carton,Paperboard,None,High,0.479,0.0345,0.072,311,82,0.0279,0.947,0.01,Return to Store,Tier-1 City,0.253,0.819
108,Baby Products,Baby Wipes,Box,Paperboard,Screw Cap,Medium,0.452,0.0369,0.082,214,90,0.0152,0.777,0.12,Not Recycled,Tier-1 City,0.164,0.779
109,Electronics,Mobile Phone,Tube,Flexible Plastic,Flip Top,Low,0.308,0.0371,0.121,54,50,0.1323,0.084,0.142,Check Locally,Rural,0.599,0.502
110,Healthcare OTC,Vitamins,Blister Pack,Rigid Plastic,None,High,0.202,0.0293,0.145,264,72,0.1075,0.242,0.121,Compostable,Urban Metro,0.707,0.628
111,Personal Care,Toothpaste,Pouch,Flexible Plastic,Heat Seal,High,0.174,0.0179,0.103,298,71,0.0681,0.146,0.095,Widely Recycled,Tier-1 City,0.82,0.626
112,Stationery,Notebook,Blister Pack,Steel,Zipper,Low,0.403,0.1384,0.343,105,55,0.2248,0.353,0.014,Widely Recycled,Urban Metro,0.881,0.61
113,Baby Products,Baby Food,Box,Corrugated Board,Pump,High,0.224,0.0402,0.179,266,71,0.0456,0.995,0.043,Widely Recycled,Tier-2 City,0.78,0.881
114,Baby Products,Baby Wipes,Bottle,Bioplastic,Pump,High,0.356,0.0418,0.118,225,75,0.0455,0.954,0.111,Check Locally,Urban Metro,0.547,0.843
115,Healthcare OTC,Cold & Flu,Tube,Flexible Plastic,Snap Fit,Ultra High,0.05,0.0107,0.214,207,54,0.0343,0.057,0.097,Widely Recycled,Urban Metro,0.993,0.593
116,Personal Care,Skin Cream,Tub,Rigid Plastic,Flip Top,Medium,0.056,0.0126,0.224,272,25,0.0343,0.045,0.055,Check Locally,Urban Metro,0.558,0.452
117,Healthcare OTC,Cold & Flu,Blister Pack,Rigid Plastic,Snap Fit,Ultra High,0.059,0.009,0.154,202,35,0.0326,0.012,0.136,Compostable,Tier-1 City,0.816,0.504
118,Healthcare OTC,Vitamins,Bottle,Glass,Screw Cap,High,0.23,0.0394,0.171,262,99,0.0328,0.124,0.207,Compostable,Urban Metro,0.711,0.683
119,Electronics,Mobile Phone,Can,Aluminium,Flip Top,Low,0.472,0.1332,0.282,70,75,0.0678,0.149,0.041,Widely Recycled,Urban Metro,0.99,0.662
120,Pet Care,Pet Food,Tray,Corrugated Board,Pump,Low,1.937,0.3385,0.175,86,84,0.4654,0.797,0.028,Return to Store,Tier-1 City,0.333,0.66
121,Personal Care,Toothpaste,Carton,Corrugated Board,Snap Fit,Medium,0.137,0.0145,0.106,122,83,0.015,0.983,0.044,Not Recycled,Tier-1 City,0.105,0.814
122,Cosmetics,Mascara,Carton,Composite (Plastic+Paper),Zipper,High,0.05,0.0086,0.172,302,58,0.0177,0.294,0.115,Not Recycled,Tier-2 City,0.171,0.554
123,Healthcare OTC,Cold & Flu,Tray,Paperboard,None,Ultra High,0.05,0.007,0.139,288,72,0.0101,0.847,0.031,Not Recycled,Tier-1 City,0.336,0.783
124,Pet Care,Cat Litter,Sachet,Rigid Plastic,Zipper,Medium,5.122,1.1735,0.229,141,46,2.2322,0.167,0.124,Compostable,Urban Metro,0.758,0.0
125,Apparel & Fashion,Jeans,Tray,Corrugated Board,Zipper,Medium,0.574,0.0553,0.096,200,93,0.0533,0.702,0.117,Compostable,Urban Metro,0.925,0.867
126,Cosmetics,Lipstick,Tub,Bioplastic,Pump,Medium,0.05,0.0083,0.165,234,73,0.0063,0.893,0.119,Widely Recycled,Tier-2 City,0.701,0.855
127,Baby Products,Diapers,Carton,Paperboard,None,High,0.783,0.1282,0.164,170,85,0.1497,0.731,0.042,Check Locally,Tier-1 City,0.671,0.788
128,Personal Care,Toothpaste,Box,Corrugated Board,Snap Fit,Medium,0.16,0.0236,0.147,143,99,0.013,0.948,0.083,Widely Recycled,Urban Metro,0.83,0.954
129,Personal Care,Deodorant,Bottle,Bioplastic,Flip Top,Medium,0.167,0.0219,0.131,219,75,0.0233,0.849,0.035,Return to Store,Tier-2 City,0.396,0.795
130,Apparel & Fashion,Jacket,Blister Pack,Tinplate,Snap Fit,Low,0.919,0.1928,0.21,36,86,0.2927,0.315,0.044,Check Locally,Tier-1 City,0.775,0.639
131,Electronics,Laptop,Carton,Composite (Plastic+Paper),Zipper,Low,1.918,0.4542,0.237,60,48,0.6965,0.085,0.016,Widely Recycled,Urban Metro,0.972,0.383
132,Pet Care,Pet Shampoo,Sachet,Rigid Plastic,Heat Seal,Medium,0.368,0.0334,0.091,179,74,0.0617,0.16,0.068,Compostable,Urban Metro,0.899,0.65
133,Electronics,Small Appliance,Tube,Flexible Plastic,Screw Cap,Low,2.297,0.4691,0.204,74,78,1.0045,0.196,0.038,Check Locally,Rural,0.643,0.351
134,Stationery,Notebook,Tray,Paperboard,Flip Top,Low,0.356,0.0572,0.161,65,86,0.053,0.734,0.13,Check Locally,Tier-2 City,0.62,0.814
135,Personal Care,Soap,Bottle,Rigid Plastic,Pump,Medium,0.093,0.014,0.15,270,59,0.0401,0.019,0.082,Check Locally,Urban Metro,0.715,0.548
136,Baby Products,Diapers,Tub,Glass,Flip Top,High,1.018,0.1945,0.191,367,96,0.2636,0.535,0.157,Check Locally,Tier-1 City,0.438,0.688
137,Household Care,Air Freshener,Bottle,Bioplastic,Screw Cap,Low,0.418,0.0918,0.22,67,81,0.113,0.989,0.039,Check Locally,Tier-1 City,0.719,0.874
138,Pet Care,Pet Shampoo,Carton,Corrugated Board,Screw Cap,Medium,0.361,0.0583,0.161,226,97,0.0369,0.995,0.03,Widely Recycled,Urban Metro,0.92,0.968
139,Cosmetics,Nail Polish,Sachet,Bioplastic,Heat Seal,High,0.05,0.0083,0.166,284,99,0.0066,0.995,0.104,Widely Recycled,Rural,0.828,0.968
140,Baby Products,Baby Wipes,Blister Pack,Rigid Plastic,None,High,0.369,0.0905,0.245,194,40,0.2028,0.275,0.026,Widely Recycled,Tier-1 City,0.946,0.564
141,Stationery,Notebook,Can,Glass,Pump,Medium,0.404,0.0804,0.199,226,73,0.0325,0.46,0.234,Check Locally,Tier-2 City,0.66,0.711
142,Healthcare OTC,Pain Relief,Blister Pack,Glass,Heat Seal,Ultra High,0.05,0.0075,0.151,229,90,0.0038,0.428,0.092,Widely Recycled,Rural,0.765,0.768
143,Cosmetics,Mascara,Tray,Corrugated Board,Zipper,Medium,0.05,0.004,0.08,189,94,0.0015,0.97,0.101,Not Recycled,Tier-1 City,0.144,0.848
144,Pet Care,Pet Shampoo,Sachet,Rigid Plastic,Heat Seal,Low,0.27,0.0663,0.246,115,26,0.1696,0.013,0.114,Widely Recycled,Rural,0.788,0.438
145,Household Care,Floor Cleaner,Carton,Paperboard,Screw Cap,Medium,1.133,0.0981,0.087,156,96,0.0427,0.911,0.086,Widely Recycled,Urban Metro,0.841,0.927
146,Stationery,Pen,Blister Pack,Composite (Plastic+Paper),Screw Cap,Low,0.05,0.009,0.181,116,73,0.0178,0.024,0.044,Widely Recycled,Tier-1 City,0.78,0.603
147,Personal Care,Skin Cream,Blister Pack,Aluminium,Snap Fit,Low,0.079,0.0236,0.298,44,85,0.008,0.534,0.048,Not Recycled,Urban Metro,0.464,0.742
148,Stationery,Marker,Carton,Corrugated Board,Zipper,Low,0.05,0.0063,0.127,129,91,0.0037,0.854,0.025,Not Recycled,Rural,0.205,0.813
149,Pet Care,Pet Shampoo,Tube,Glass,Screw Cap,High,0.363,0.0728,0.201,281,80,0.0632,0.123,0.127,Check Locally,Tier-1 City,0.649,0.617
150,Household Care,Air Freshener,Tub,Rigid Plastic,Screw Cap,Low,0.47,0.0415,0.088,93,69,0.1499,0.085,0.075,Widely Recycled,Urban Metro,0.713,0.563
151,Stationery,Notebook,Can,Composite (Plastic+Paper),Pump,Low,0.408,0.0937,0.23,129,54,0.1474,0.203,0.016,Widely Recycled,Urban Metro,0.818,0.576
152,Household Care,Air Freshener,Can,Steel,Zipper,High,0.45,0.0943,0.209,200,73,0.2743,0.461,0.01,Widely Recycled,Urban Metro,0.881,0.671
153,Personal Care,Soap,Pouch,Rigid Plastic,Zipper,Medium,0.068,0.0068,0.101,147,45,0.023,0.021,0.021,Return to Store,Tier-2 City,0.371,0.468
154,Personal Care,Toothpaste,Carton,Composite (Plastic+Paper),Zipper,Medium,0.155,0.0353,0.229,214,63,0.0637,0.271,0.019,Widely Recycled,Urban Metro,0.827,0.645
155,Household Care,Floor Cleaner,Bottle,Bioplastic,Screw Cap,Low,0.706,0.144,0.204,111,89,0.1893,0.908,0.07,Widely Recycled,Urban Metro,0.937,0.88
