product_id,category,weight_kg,fragility,shipping_mode,product_name,industry_type,cost_sensitivity,environmental_priority
73,Clothing,1.06,2,Road,Product_73,Clothing,3,3
74,Beauty,0.36,5,Air,Product_74,Beauty,3,3
75,Electronics,23.21,5,Road,Product_75,Electronics,3,3
76,Clothing,0.84,3,Road,Product_76,Clothing,3,3
77,Electronics,2.01,5,Road,Product_77,Electronics,3,3
78,Electronics,2.07,5,Air,Product_78,Electronics,3,3
79,Clothing,0.21,2,Air,Product_79,Clothing,3,3
80,Clothing,1.98,3,Air,Product_80,Clothing,3,3
81,Electronics,20.3,5,Road,Product_81,Electronics,3,3
82,Electronics,2.34,5,Road,Product_82,Electronics,3,3
83,Electronics,20.75,5,Road,Product_83,Electronics,3,3
84,Electronics,1.66,5,Road,Product_84,Electronics,3,3
85,Clothing,0.25,2,Air,Product_85,Clothing,3,3
86,Furniture,58.74,5,Road,Product_86,Furniture,3,3
87,Clothing,1.08,3,Air,Product_87,Clothing,3,3
88,Electronics,0.24,5,Road,Product_88,Electronics,3,3
89,Electronics,19.13,5,Road,Product_89,Electronics,3,3
90,Furniture,14.67,4,Road,Product_90,Furniture,3,3
91,Beauty,0.91,3,Air,Product_91,Beauty,3,3
92,Electronics,0.25,5,Air,Product_92,Electronics,3,3
93,Beauty,0.32,5,Air,Product_93,Beauty,3,3
94,Clothing,1.21,2,Air,Product_94,Clothing,3,3
95,Furniture,11.43,5,Road,Product_95,Furniture,3,3
96,Electronics,0.14,5,Air,Product_96,Electronics,3,3
97,Beauty,0.23,5,Road,Product_97,Beauty,3,3
98,Home Decor,2.77,5,Road,Product_98,Home Decor,3,3
99,Clothing,0.8,3,Air,Product_99,Clothing,3,3
100,Electronics,2.46,5,Air,Product_100,Electronics,3,3
101,Electronics,1.8,5,Air,Product_101,Electronics,3,3
102,Electronics,2.16,5,Road,Product_102,Electronics,3,3
103,Clothing,1.43,4,Air,Product_103,Clothing,3,3
104,Furniture,49.35,5,Road,Product_104,Furniture,3,3
105,Clothing,0.29,1,Air,Product_105,Clothing,3,3
106,Furniture,15.51,5,Road,Product_106,Furniture,3,3
107,Home Decor,1.09,5,Road,Product_107,Home Decor,3,3
108,Beauty,0.21,5,Road,Product_108,Beauty,3,3
109,Beauty,0.74,3,Air,Product_109,Beauty,3,3
110,Electronics,1.84,5,Road,Product_110,Electronics,3,3
111,Beauty,0.47,5,Road,Product_111,Beauty,3,3
112,Electronics,0.16,4,Air,Product_112,Electronics,3,3
113,Electronics,0.13,4,Air,Product_113,Electronics,3,3
114,Clothing,1.63,3,Air,Product_114,Clothing,3,3
115,Electronics,0.18,4,Air,Product_115,Electronics,3,3
116,Furniture,75.43,5,Road,Product_116,Furniture,3,3
117,Clothing,1.7,4,Road,Product_117,Clothing,3,3
118,Furniture,15.95,5,Road,Product_118,Furniture,3,3
119,Furniture,11.58,4,Road,Product_119,Furniture,3,3
120,Home Decor,2.9,5,Road,Product_120,Home Decor,3,3
121,Electronics,2.22,5,Air,Product_121,Electronics,3,3
122,Electronics,1.78,5,Air,Product_122,Electronics,3,3
123,Electronics,0.17,5,Air,Product_123,Electronics,3,3
124,Electronics,0.31,5,Air,Product_124,Electronics,3,3
125,Clothing,1.15,3,Air,Product_125,Clothing,3,3
126,Clothing,0.29,1,Air,Product_126,Clothing,3,3
127,Clothing,1.16,3,Air,Product_127,Clothing,3,3
128,Electronics,0.11,5,Road,Product_128,Electronics,3,3
129,Clothing,0.2,1,Road,Product_129,Clothing,3,3
130,Electronics,15.93,5,Road,Product_130,Electronics,3,3
131,Clothing,1.01,3,Air,Product_131,Clothing,3,3
132,Home Decor,1.54,5,Road,Product_132,Home Decor,3,3
133,Clothing,0.27,1,Road,Product_133,Clothing,3,3
134,Electronics,0.2,5,Air,Product_134,Electronics,3,3
135,Clothing,0.24,2,Road,Product_135,Clothing,3,3
136,Home Decor,2.36,5,Air,Product_136,Home Decor,3,3
137,Clothing,0.83,4,Air,Product_137,Clothing,3,3
138,Electronics,21.93,5,Road,Product_138,Electronics,3,3
139,Beauty,0.41,5,Air,Product_139,Beauty,3,3
140,Electronics,1.72,5,Road,Product_140,Electronics,3,3
141,Clothing,1.38,2,Air,Product_141,Clothing,3,3
142,Beauty,0.72,4,Road,Product_142,Beauty,3,3
143,Home Decor,2.41,5,Air,Product_143,Home Decor,3,3
144,Clothing,1.14,5,Air,Product_144,Clothing,3,3
145,Furniture,16.97,5,Road,Product_145,Furniture,3,3
146,Furniture,10.44,5,Road,Product_146,Furniture,3,3
147,Electronics,18.73,5,Road,Product_147,Electronics,3,3
148,Beauty,0.28,5,Road,Product_148,Beauty,3,3
149,Clothing,1.03,4,Air,Product_149,Clothing,3,3
150,Clothing,0.26,1,Air,Product_150,Clothing,3,3
151,Clothing,0.25,2,Air,Product_151,Clothing,3,3
152,Clothing,0.15,2,Air,Product_152,Clothing,3,3
153,Electronics,1.77,5,Air,Product_153,Electronics,3,3
154,Beauty,0.56,5,Air,Product_154,Beauty,3,3
155,Electronics,0.15,5,Road,Product_155,Electronics,3,3
156,Clothing,1.67,3,Air,Product_156,Clothing,3,3
157,Home Decor,1.32,5,Air,Product_157,Home Decor,3,3
158,Furniture,17.12,5,Road,Product_158,Furniture,3,3
159,Clothing,0.99,5,Air,Product_159,Clothing,3,3
160,Furniture,63.86,5,Road,Product_160,Furniture,3,3
161,Electronics,24.96,5,Road,Product_161,Electronics,3,3
162,Beauty,0.85,5,Air,Product_162,Beauty,3,3
163,Clothing,0.18,1,Air,Product_163,Clothing,3,3
164,Clothing,0.99,3,Air,Product_164,Clothing,3,3
165,Furniture,13.03,5,Road,Product_165,Furniture,3,3
166,Furniture,13.74,5,Road,Product_166,Furniture,3,3
167,Clothing,0.16,1,Air,Product_167,Clothing,3,3
168,Furniture,40.51,5,Road,Product_168,Furniture,3,3
169,Electronics,17.29,5,Road,Product_169,Electronics,3,3
170,Electronics,2.2,5,Air,Product_170,Electronics,3,3
171,Beauty,0.24,5,Air,Product_171,Beauty,3,3
172,Electronics,0.18,5,Road,Product_172,Electronics,3,3
173,Electronics,0.25,5,Air,Product_173,Electronics,3,3
174,Beauty,0.32,5,Air,Product_174,Beauty,3,3
175,Clothing,1.34,4,Air,Product_175,Clothing,3,3
176,Furniture,47.16,5,Road,Product_176,Furniture,3,3
177,Beauty,0.27,5,Air,Product_177,Beauty,3,3
178,Furniture,18.38,5,Road,Product_178,Furniture,3,3
179,Home Decor,1.49,5,Air,Product_179,Home Decor,3,3
180,Beauty,0.51,3,Air,Product_180,Beauty,3,3
181,Clothing,0.9,4,Air,Product_181,Clothing,3,3
182,Electronics,0.27,5,Air,Product_182,Electronics,3,3
183,Furniture,14.32,5,Road,Product_183,Furniture,3,3
184,Home Decor,2.77,5,Air,Product_184,Home Decor,3,3
185,Furniture,18.0,5,Road,Product_185,Furniture,3,3
186,Clothing,0.89,4,Air,Product_186,Clothing,3,3
187,Beauty,0.48,5,Air,Product_187,Beauty,3,3
188,Clothing,1.67,2,Air,Product_188,Clothing,3,3
189,Furniture,77.28,5,Road,Product_189,Furniture,3,3
190,Electronics,0.2,5,Air,Product_190,Electronics,3,3
191,Clothing,1.52,3,Air,Product_191,Clothing,3,3
192,Furniture,42.17,5,Road,Product_192,Furniture,3,3
193,Clothing,1.71,4,Air,Product_193,Clothing,3,3
194,Electronics,1.88,5,Air,Product_194,Electronics,3,3
195,Electronics,0.25,5,Air,Product_195,Electronics,3,3
196,Clothing,0.87,4,Air,Product_196,Clothing,3,3
197,Beauty,0.58,5,Air,Product_197,Beauty,3,3
198,Furniture,14.43,4,Road,Product_198,Furniture,3,3
199,Furniture,13.15,5,Road,Product_199,Furniture,3,3
200,Electronics,0.22,5,Road,Product_200,Electronics,3,3
201,Electronics,1.71,5,Air,Product_201,Electronics,3,3
202,Beauty,0.24,5,Air,Product_202,Beauty,3,3
203,Beauty,0.6,4,Air,Product_203,Beauty,3,3
204,Clothing,1.04,3,Air,Product_204,Clothing,3,3
205,Beauty,0.91,4,Air,Product_205,Beauty,3,3
206,Furniture,13.99,4,Road,Product_206,Furniture,3,3
207,Electronics,21.68,5,Road,Product_207,Electronics,3,3
208,Electronics,2.06,5,Air,Product_208,Electronics,3,3
209,Beauty,0.39,5,Road,Product_209,Beauty,3,3
210,Clothing,1.85,2,Air,Product_210,Clothing,3,3
211,Furniture,11.43,5,Road,Product_211,Furniture,3,3
212,Home Decor,2.87,5,Air,Product_212,Home Decor,3,3
213,Electronics,0.29,5,Road,Product_213,Electronics,3,3
214,Clothing,1.23,4,Air,Product_214,Clothing,3,3
215,Furniture,10.03,4,Road,Product_215,Furniture,3,3
216,Beauty,0.51,3,Air,Product_216,Beauty,3,3
217,Electronics,0.21,5,Air,Product_217,Electronics,3,3
218,Home Decor,2.6,5,Air,Product_218,Home Decor,3,3
219,Electronics,0.2,5,Air,Product_219,Electronics,3,3
220,Beauty,0.79,3,Air,Product_220,Beauty,3,3
221,Electronics,16.26,5,Road,Product_221,Electronics,3,3
222,Clothing,1.18,5,Air,Product_222,Clothing,3,3
223,Beauty,0.32,5,Air,Product_223,Beauty,3,3
224,Beauty,0.34,5,Air,Product_224,Beauty,3,3
225,Electronics,1.59,5,Air,Product_225,Electronics,3,3
226,Electronics,15.43,5,Road,Product_226,Electronics,3,3
227,Beauty,0.43,5,Air,Product_227,Beauty,3,3
228,Clothing,1.17,3,Air,Product_228,Clothing,3,3
229,Electronics,2.22,5,Road,Product_229,Electronics,3,3
230,Clothing,1.29,3,Air,Product_230,Clothing,3,3
231,Furniture,19.33,5,Road,Product_231,Furniture,3,3
232,Clothing,1.88,2,Road,Product_232,Clothing,3,3
233,Electronics,0.34,5,Air,Product_233,Electronics,3,3
234,Beauty,0.85,5,Air,Product_234,Beauty,3,3
235,Furniture,12.88,4,Road,Product_235,Furniture,3,3
236,Electronics,1.79,5,Air,Product_236,Electronics,3,3
237,Furniture,14.26,5,Road,Product_237,Furniture,3,3
238,Electronics,0.17,5,Air,Product_238,Electronics,3,3
239,Electronics,0.13,4,Road,Product_239,Electronics,3,3
240,Clothing,1.07,3,Air,Product_240,Clothing,3,3
241,Electronics,0.17,5,Road,Product_241,Electronics,3,3
242,Clothing,0.27,2,Air,Product_242,Clothing,3,3
243,Furniture,53.09,5,Road,Product_243,Furniture,3,3
244,Electronics,2.01,5,Air,Product_244,Electronics,3,3
245,Furniture,52.27,5,Road,Product_245,Furniture,3,3
246,Furniture,14.1,5,Road,Product_246,Furniture,3,3
247,Furniture,13.04,4,Road,Product_247,Furniture,3,3
248,Furniture,44.99,5,Road,Product_248,Furniture,3,3
249,Electronics,19.86,5,Road,Product_249,Electronics,3,3
250,Furniture,12.98,5,Road,Product_250,Furniture,3,3
251,Furniture,11.51,5,Road,Product_251,Furniture,3,3
252,Clothing,0.19,1,Air,Product_252,Clothing,3,3
253,Electronics,19.13,5,Road,Product_253,Electronics,3,3
254,Electronics,0.25,5,Air,Product_254,Electronics,3,3
255,Home Decor,1.83,5,Road,Product_255,Home Decor,3,3
256,Beauty,0.7,5,Air,Product_256,Beauty,3,3
257,Home Decor,2.21,5,Air,Product_257,Home Decor,3,3
258,Electronics,0.12,5,Air,Product_258,Electronics,3,3
259,Furniture,10.72,4,Road,Product_259,Furniture,3,3
260,Electronics,0.11,5,Road,Product_260,Electronics,3,3
261,Electronics,0.13,4,Air,Product_261,Electronics,3,3
262,Clothing,1.03,4,Air,Product_262,Clothing,3,3
263,Clothing,1.3,2,Air,Product_263,Clothing,3,3
264,Electronics,23.27,5,Road,Product_264,Electronics,3,3
265,Beauty,0.54,5,Air,Product_265,Beauty,3,3
266,Beauty,0.55,5,Road,Product_266,Beauty,3,3
267,Beauty,0.57,3,Air,Product_267,Beauty,3,3
268,Clothing,0.27,2,Air,Product_268,Clothing,3,3
269,Clothing,1.01,3,Air,Product_269,Clothing,3,3
270,Beauty,0.29,5,Air,Product_270,Beauty,3,3
271,Clothing,0.24,1,Air,Product_271,Clothing,3,3
272,Electronics,23.46,5,Road,Product_272,Electronics,3,3
273,Clothing,1.19,3,Air,Product_273,Clothing,3,3
274,Furniture,10.81,5,Road,Product_274,Furniture,3,3
275,Furniture,72.46,5,Road,Product_275,Furniture,3,3
276,Furniture,19.26,5,Road,Product_276,Furniture,3,3
277,Home Decor,2.78,5,Air,Product_277,Home Decor,3,3
278,Furniture,12.1,5,Road,Product_278,Furniture,3,3
279,Beauty,0.44,5,Air,Product_279,Beauty,3,3
280,Electronics,22.02,5,Road,Product_280,Electronics,3,3
281,Electronics,18.65,5,Road,Product_281,Electronics,3,3
282,Electronics,1.54,5,Road,Product_282,Electronics,3,3
283,Furniture,17.0,5,Road,Product_283,Furniture,3,3
284,Electronics,2.04,5,Air,Product_284,Electronics,3,3
285,Clothing,0.16,1,Air,Product_285,Clothing,3,3
286,Clothing,0.2,1,Road,Product_286,Clothing,3,3
287,Electronics,0.39,5,Air,Product_287,Electronics,3,3
288,Clothing,0.22,1,Air,Product_288,Clothing,3,3
289,Clothing,0.84,4,Air,Product_289,Clothing,3,3
290,Clothing,1.0,5,Air,Product_290,Clothing,3,3
291,Clothing,1.17,4,Air,Product_291,Clothing,3,3
292,Clothing,0.94,3,Air,Product_292,Clothing,3,3
293,Furniture,59.78,5,Road,Product_293,Furniture,3,3
294,Home Decor,2.96,5,Air,Product_294,Home Decor,3,3
295,Furniture,47.32,5,Road,Product_295,Furniture,3,3
296,Electronics,0.17,5,Road,Product_296,Electronics,3,3
297,Home Decor,2.89,5,Air,Product_297,Home Decor,3,3
298,Furniture,14.93,4,Road,Product_298,Furniture,3,3
299,Clothing,0.19,2,Air,Product_299,Clothing,3,3
300,Furniture,74.68,5,Road,Product_300,Furniture,3,3
301,Beauty,0.59,5,Air,Product_301,Beauty,3,3
302,Electronics,21.54,5,Road,Product_302,Electronics,3,3
303,Electronics,0.26,5,Road,Product_303,Electronics,3,3
304,Clothing,1.33,4,Air,Product_304,Clothing,3,3
305,Home Decor,2.49,5,Air,Product_305,Home Decor,3,3
306,Beauty,0.52,5,Air,Product_306,Beauty,3,3
307,Clothing,0.21,2,Air,Product_307,Clothing,3,3
308,Furniture,75.12,5,Road,Product_308,Furniture,3,3
309,Electronics,17.22,5,Road,Product_309,Electronics,3,3
310,Beauty,0.79,4,Air,Product_310,Beauty,3,3
311,Beauty,0.57,4,Road,Product_311,Beauty,3,3
312,Electronics,0.2,4,Air,Product_312,Electronics,3,3
313,Beauty,0.57,4,Air,Product_313,Beauty,3,3
314,Beauty,0.85,3,Air,Product_314,Beauty,3,3
315,Electronics,1.79,5,Road,Product_315,Electronics,3,3
316,Furniture,12.78,5,Road,Product_316,Furniture,3,3
317,Furniture,14.91,5,Road,Product_317,Furniture,3,3
318,Home Decor,2.67,5,Air,Product_318,Home Decor,3,3
319,Furniture,16.11,5,Road,Product_319,Furniture,3,3
320,Clothing,1.0,3,Air,Product_320,Clothing,3,3
321,Home Decor,2.01,5,Air,Product_321,Home Decor,3,3
322,Home Decor,2.48,5,Air,Product_322,Home Decor,3,3
323,Beauty,0.79,4,Air,Product_323,Beauty,3,3
324,Furniture,53.96,5,Road,Product_324,Furniture,3,3
325,Beauty,0.33,5,Air,Product_325,Beauty,3,3
326,Furniture,12.08,4,Road,Product_326,Furniture,3,3
327,Electronics,1.91,5,Air,Product_327,Electronics,3,3
328,Clothing,1.7,4,Road,Product_328,Clothing,3,3
329,Beauty,0.54,5,Air,Product_329,Beauty,3,3
330,Furniture,62.04,5,Road,Product_330,Furniture,3,3
331,Clothing,1.37,2,Road,Product_331,Clothing,3,3
332,Furniture,18.59,5,Road,Product_332,Furniture,3,3
333,Clothing,0.17,1,Air,Product_333,Clothing,3,3
334,Electronics,2.34,5,Air,Product_334,Electronics,3,3
335,Beauty,0.74,5,Air,Product_335,Beauty,3,3
336,Electronics,0.16,5,Air,Product_336,Electronics,3,3
337,Home Decor,2.16,5,Road,Product_337,Home Decor,3,3
338,Clothing,1.92,3,Air,Product_338,Clothing,3,3
339,Clothing,0.86,4,Air,Product_339,Clothing,3,3
340,Beauty,0.48,5,Road,Product_340,Beauty,3,3
341,Beauty,0.95,5,Air,Product_341,Beauty,3,3
342,Electronics,0.36,5,Road,Product_342,Electronics,3,3
343,Clothing,0.19,2,Road,Product_343,Clothing,3,3
344,Beauty,0.21,5,Road,Product_344,Beauty,3,3
345,Furniture,68.44,5,Road,Product_345,Furniture,3,3
346,Furniture,16.47,5,Road,Product_346,Furniture,3,3
347,Home Decor,1.57,5,Air,Product_347,Home Decor,3,3
348,Electronics,0.1,4,Road,Product_348,Electronics,3,3
349,Beauty,0.59,5,Air,Product_349,Beauty,3,3
350,Beauty,0.41,5,Road,Product_350,Beauty,3,3
351,Electronics,0.11,5,Air,Product_351,Electronics,3,3
352,Furniture,18.68,5,Road,Product_352,Furniture,3,3
353,Furniture,13.32,5,Road,Product_353,Furniture,3,3
354,Clothing,0.28,1,Road,Product_354,Clothing,3,3
355,Electronics,15.23,5,Road,Product_355,Electronics,3,3
356,Beauty,0.49,5,Air,Product_356,Beauty,3,3
357,Beauty,0.48,5,Air,Product_357,Beauty,3,3
358,Clothing,1.01,3,Air,Product_358,Clothing,3,3
359,Furniture,15.49,5,Road,Product_359,Furniture,3,3
360,Clothing,0.9,3,Air,Product_360,Clothing,3,3
361,Furniture,43.46,5,Road,Product_361,Furniture,3,3
362,Clothing,0.22,1,Road,Product_362,Clothing,3,3
363,Furniture,15.07,5,Road,Product_363,Furniture,3,3
364,Home Decor,1.99,5,Road,Product_364,Home Decor,3,3
365,Electronics,0.3,5,Air,Product_365,Electronics,3,3
366,Furniture,13.67,5,Road,Product_366,Furniture,3,3
367,Furniture,10.61,5,Road,Product_367,Furniture,3,3
368,Clothing,1.8,3,Air,Product_368,Clothing,3,3
369,Clothing,0.92,5,Air,Product_369,Clothing,3,3
370,Electronics,19.5,5,Road,Product_370,Electronics,3,3
371,Furniture,17.52,5,Road,Product_371,Furniture,3,3
372,Home Decor,1.23,5,Road,Product_372,Home Decor,3,3
373,Beauty,0.39,5,Air,Product_373,Beauty,3,3
374,Electronics,19.58,5,Road,Product_374,Electronics,3,3
375,Electronics,0.21,5,Air,Product_375,Electronics,3,3
376,Electronics,0.13,5,Air,Product_376,Electronics,3,3
377,Clothing,1.09,4,Air,Product_377,Clothing,3,3
378,Furniture,10.23,4,Road,Product_378,Furniture,3,3
379,Electronics,0.13,5,Air,Product_379,Electronics,3,3
380,Furniture,13.62,5,Road,Product_380,Furniture,3,3
381,Clothing,1.6,2,Air,Product_381,Clothing,3,3
382,Furniture,65.64,5,Road,Product_382,Furniture,3,3
383,Electronics,0.13,5,Air,Product_383,Electronics,3,3
384,Electronics,15.04,5,Road,Product_384,Electronics,3,3
385,Electronics,2.33,5,Air,Product_385,Electronics,3,3
386,Furniture,44.62,5,Road,Product_386,Furniture,3,3
387,Clothing,1.84,4,Air,Product_387,Clothing,3,3
388,Beauty,0.23,5,Air,Product_388,Beauty,3,3
389,Electronics,2.18,5,Air,Product_389,Electronics,3,3
390,Electronics,15.94,5,Road,Product_390,Electronics,3,3
391,Electronics,0.33,5,Road,Product_391,Electronics,3,3
392,Home Decor,2.96,5,Air,Product_392,Home Decor,3,3
393,Furniture,18.23,5,Road,Product_393,Furniture,3,3
394,Electronics,0.39,5,Road,Product_394,Electronics,3,3
395,Furniture,13.72,5,Road,Product_395,Furniture,3,3
396,Electronics,1.77,5,Road,Product_396,Electronics,3,3
397,Electronics,19.24,5,Road,Product_397,Electronics,3,3
398,Beauty,0.8,4,Road,Product_398,Beauty,3,3
399,Beauty,0.37,5,Air,Product_399,Beauty,3,3
400,Clothing,1.81,4,Air,Product_400,Clothing,3,3
401,Electronics,2.22,5,Road,Product_401,Electronics,3,3
402,Electronics,0.14,4,Air,Product_402,Electronics,3,3
403,Beauty,0.48,5,Road,Product_403,Beauty,3,3
404,Electronics,0.2,5,Air,Product_404,Electronics,3,3
405,Beauty,0.76,3,Road,Product_405,Beauty,3,3
406,Clothing,1.03,4,Air,Product_406,Clothing,3,3
407,Furniture,17.04,5,Road,Product_407,Furniture,3,3
408,Home Decor,2.21,5,Air,Product_408,Home Decor,3,3
409,Clothing,0.29,2,Air,Product_409,Clothing,3,3
410,Clothing,0.3,1,Air,Product_410,Clothing,3,3
411,Furniture,60.19,5,Road,Product_411,Furniture,3,3
412,Home Decor,2.02,5,Road,Product_412,Home Decor,3,3
413,Clothing,1.11,2,Road,Product_413,Clothing,3,3
414,Electronics,2.03,5,Air,Product_414,Electronics,3,3
415,Home Decor,2.66,5,Road,Product_415,Home Decor,3,3
416,Clothing,0.28,1,Road,Product_416,Clothing,3,3
417,Electronics,0.15,5,Air,Product_417,Electronics,3,3
418,Clothing,0.29,2,Road,Product_418,Clothing,3,3
419,Home Decor,1.37,5,Air,Product_419,Home Decor,3,3
420,Electronics,0.3,5,Road,Product_420,Electronics,3,3
421,Electronics,2.41,5,Air,Product_421,Electronics,3,3
422,Electronics,0.16,5,Air,Product_422,Electronics,3,3
423,Clothing,1.6,4,Air,Product_423,Clothing,3,3
424,Electronics,0.24,5,Air,Product_424,Electronics,3,3
425,Beauty,0.23,5,Air,Product_425,Beauty,3,3
426,Furniture,76.59,5,Road,Product_426,Furniture,3,3
427,Clothing,1.04,3,Air,Product_427,Clothing,3,3
428,Beauty,0.89,4,Air,Product_428,Beauty,3,3
429,Clothing,1.08,4,Air,Product_429,Clothing,3,3
430,Furniture,14.25,5,Road,Product_430,Furniture,3,3
431,Electronics,0.12,5,Air,Product_431,Electronics,3,3
432,Clothing,1.96,3,Air,Product_432,Clothing,3,3
433,Electronics,18.13,5,Road,Product_433,Electronics,3,3
434,Electronics,17.72,5,Road,Product_434,Electronics,3,3
435,Beauty,0.38,5,Road,Product_435,Beauty,3,3
436,Electronics,0.25,5,Air,Product_436,Electronics,3,3
437,Furniture,12.68,5,Road,Product_437,Furniture,3,3
438,Home Decor,1.7,5,Air,Product_438,Home Decor,3,3
439,Clothing,1.06,2,Air,Product_439,Clothing,3,3
440,Furniture,72.58,5,Road,Product_440,Furniture,3,3
441,Electronics,19.37,5,Road,Product_441,Electronics,3,3
442,Furniture,19.94,5,Road,Product_442,Furniture,3,3
443,Furniture,13.86,4,Road,Product_443,Furniture,3,3
444,Electronics,22.31,5,Road,Product_444,Electronics,3,3
445,Home Decor,1.87,5,Air,Product_445,Home Decor,3,3
446,Furniture,10.62,4,Road,Product_446,Furniture,3,3
447,Beauty,0.31,5,Air,Product_447,Beauty,3,3
448,Electronics,2.23,5,Air,Product_448,Electronics,3,3
449,Electronics,0.13,4,Air,Product_449,Electronics,3,3
450,Clothing,1.09,4,Air,Product_450,Clothing,3,3
451,Clothing,1.56,2,Air,Product_451,Clothing,3,3
452,Electronics,16.69,5,Road,Product_452,Electronics,3,3
453,Furniture,53.94,5,Road,Product_453,Furniture,3,3
454,Clothing,1.25,2,Road,Product_454,Clothing,3,3
455,Electronics,2.44,5,Road,Product_455,Electronics,3,3
456,Furniture,12.34,5,Road,Product_456,Furniture,3,3
457,Home Decor,1.1,5,Air,Product_457,Home Decor,3,3
458,Beauty,0.47,5,Air,Product_458,Beauty,3,3
459,Clothing,0.2,1,Road,Product_459,Clothing,3,3
460,Electronics,0.11,5,Road,Product_460,Electronics,3,3
