material_id,material_type,tensile_strength_mpa,weight_capacity_kg,density_g_cm3,biodegradability_score,biodegradation_time_days,co2_emission_score,recyclability_percentage,production_cost_per_kg
46,Polycaprolactone (PCL),65.43,23.58,1.15,84.51,46.59,88.74,67.51,543.93
47,Blended Starch,34.38,62.35,1.31,92.84,440.97,55.89,52.93,599.7
48,Cellulose Acetate,52.82,80.74,1.25,59.08,306.78,72.23,34.86,577.16
49,Polybutylene Adipate Terephthalate (PBAT),55.18,121.05,1.03,53.96,514.46,89.65,62.95,412.83
50,Polycaprolactone (PCL),23.15,74.97,1.18,96.88,280.63,95.64,82.74,1138.79
51,Recycled LDPE,92.62,106.9,1.21,59.52,77.42,81.78,92.64,1005.86
52,Jute Fiber Composite,75.4,78.18,1.11,90.96,292.94,56.6,71.8,450.54
53,Jute Fiber Composite,89.95,24.72,0.97,91.6,364.07,72.37,81.18,306.09
54,PHA (Polyhydroxyalkanoates),86.0,53.67,1.34,86.16,1064.35,57.6,56.76,572.61
55,Polybutylene Adipate Terephthalate (PBAT),59.71,81.18,1.34,58.73,337.95,88.48,65.74,615.31
56,PHA (Polyhydroxyalkanoates),88.39,120.78,1.31,84.2,130.84,57.11,81.61,207.09
57,Poly(3-hydroxybutyrate) (PHB),14.61,111.13,1.33,94.73,500.03,62.71,81.48,1087.15
58,Recycled PET (rPET),24.13,44.52,1.24,72.71,991.47,73.3,60.87,1051.28
59,Cellulose Acetate,10.78,43.65,1.11,72.14,706.26,75.39,68.97,1050.16
60,Polyhydroxyvalerate (PHV),35.58,41.65,0.96,73.54,486.76,72.82,94.82,1005.8
61,Maleic Anhydride Grafted (MAG) Polymers,41.19,117.82,1.31,56.41,1010.08,75.42,74.98,933.13
62,Polybutylene Adipate Terephthalate (PBAT),30.8,110.44,1.03,94.87,449.28,86.87,75.7,834.52
63,Starch-based Polymer,80.15,102.23,0.99,93.79,976.89,71.11,85.35,1160.29
64,Polyhydroxyvalerate (PHV),38.36,61.88,1.1,99.9,580.55,79.29,39.84,911.73
65,Nano-cellulose Composite,31.65,73.67,1.23,80.3,958.82,68.09,67.56,830.25
66,Recycled HDPE,54.82,69.44,1.18,88.18,796.3,70.4,97.24,988.83
67,Starch-based Polymer,19.26,47.17,1.17,62.13,730.75,82.31,56.59,446.27
68,Paper-based Composite,77.8,73.74,0.96,84.21,980.1,76.66,52.05,1167.15
69,Seaweed/Kelp-based Polymer,13.38,23.63,0.98,83.36,1090.43,87.32,72.88,219.16
70,Gelatin,94.15,34.33,0.91,95.31,987.35,79.87,47.04,848.4
71,Recycled HDPE,75.15,114.02,1.02,91.96,161.05,91.0,69.8,277.09
72,Cellulose Acetate,24.37,99.78,1.17,97.08,241.79,74.51,42.58,1053.31
73,PHA (Polyhydroxyalkanoates),7.27,65.06,0.96,93.77,1066.84,76.69,71.43,1167.64
74,Polycaprolactone (PCL),78.97,75.02,0.98,93.76,477.56,84.88,72.96,608.61
75,Chitosan,69.36,59.48,1.28,55.53,238.84,64.33,60.45,1057.16
76,PHA (Polyhydroxyalkanoates),71.32,98.63,1.04,92.68,174.37,71.88,58.03,535.72
77,Recycled PP,75.06,103.21,1.22,81.36,77.25,82.82,48.69,359.4
78,Polycaprolactone (PCL),13.34,101.01,1.38,70.57,398.0,55.52,54.5,476.65
79,Polybutylene Adipate Terephthalate (PBAT),38.51,96.71,1.32,55.18,33.19,74.21,65.89,501.84
80,Polybutylene Succinate (PBS),17.04,42.0,1.36,84.69,338.53,81.63,48.84,830.67
81,Polyhydroxyvalerate (PHV),83.19,56.1,1.34,68.09,679.87,98.51,85.23,996.15
82,Gelatin,61.96,70.02,0.94,74.72,95.04,94.37,80.21,405.22
83,Polybutylene Succinate (PBS),36.07,55.34,1.22,84.88,232.22,67.06,50.31,288.21
84,Cellulose Acetate,12.41,100.12,1.3,95.81,972.8,77.43,38.63,421.65
85,Polycaprolactone (PCL),34.31,55.19,1.08,91.71,313.18,56.78,32.01,496.54
86,Coconut Coir Composite,35.57,35.01,0.94,73.9,563.64,65.23,72.58,479.81
87,Starch-based Polymer,71.37,62.54,0.93,70.92,116.96,89.69,46.37,419.95
88,Maleic Anhydride Grafted (MAG) Polymers,63.22,123.88,1.07,63.89,679.29,59.85,32.86,666.0
89,Mycelium-based Material,85.32,44.26,1.3,70.19,555.2,66.0,56.42,1055.98
90,Polyhydroxyvalerate (PHV),48.59,85.05,1.25,57.77,698.54,97.44,97.42,300.35
91,PLA (Polylactic Acid),17.37,66.13,1.27,98.63,388.24,91.93,78.92,1062.03
92,Polycaprolactone (PCL),69.92,27.91,0.95,79.76,379.06,90.01,90.33,697.01
93,Recycled HDPE,74.13,71.92,0.99,58.57,749.5,93.8,41.84,860.47
94,Gelatin,56.47,94.55,1.25,69.26,437.05,88.53,36.98,1015.37
95,Cellulose Acetate,75.03,74.6,1.39,78.48,906.54,59.72,32.78,504.33
96,Alginate,50.5,112.5,0.99,77.81,696.31,77.86,96.99,1154.23
97,Blended Starch,53.06,50.92,1.09,54.19,647.26,74.55,52.41,283.74
98,Alginate,44.63,29.52,1.11,97.66,317.68,68.45,63.25,727.67
99,PLA (Polylactic Acid),9.03,119.3,1.34,65.58,318.33,92.4,58.83,454.8
100,Recycled HDPE,16.33,60.34,0.97,53.27,723.64,75.46,81.67,607.95
101,Mycelium-based Material,9.56,81.27,1.08,56.13,547.71,56.96,53.08,648.86
102,Maleic Anhydride Grafted (MAG) Polymers,63.12,104.04,1.11,80.06,641.48,66.79,68.41,1114.51
103,Seaweed/Kelp-based Polymer,34.61,54.65,0.94,59.04,754.81,64.67,99.7,641.58
104,Hemp Fiber Composite,51.8,96.03,1.25,54.48,500.84,94.85,62.2,897.95
105,Bagasse Fiber Composite,87.13,34.71,1.36,70.53,356.13,83.85,69.49,1151.76
106,Recycled PP,28.85,51.17,1.3,82.08,641.19,79.87,66.17,694.53
107,Thermoplastic Starch (TPS),43.11,35.69,0.97,57.81,615.52,77.4,86.62,608.31
108,Recycled PET (rPET),73.67,106.07,1.03,67.38,34.07,83.98,50.15,1172.97
109,Polybutylene Adipate Terephthalate (PBAT),27.04,43.92,1.15,72.34,562.87,88.77,43.59,1027.68
110,Polybutylene Succinate (PBS),13.6,96.16,0.96,60.07,849.18,79.59,83.28,1139.77
111,PLA (Polylactic Acid),32.43,120.01,1.18,76.54,675.3,97.17,60.26,597.23
112,Polycaprolactone (PCL),21.05,76.14,0.99,56.55,68.66,98.94,94.13,896.32
113,Seaweed/Kelp-based Polymer,89.09,77.43,1.35,54.71,1019.77,99.79,75.8,449.61
114,Seaweed/Kelp-based Polymer,78.32,69.09,1.12,77.19,869.05,84.86,70.38,1065.82
115,Polybutylene Succinate (PBS),62.86,54.82,0.98,64.28,282.25,96.91,36.79,1133.08
116,PHA (Polyhydroxyalkanoates),83.93,70.63,1.03,57.03,588.43,72.73,81.67,467.87
117,Cork Composite,77.93,84.06,0.91,72.64,152.21,93.57,78.65,304.93
118,Recycled HDPE,23.3,124.52,1.09,95.97,395.6,95.84,75.52,400.73
119,Starch-based Polymer,85.8,119.43,1.1,86.9,74.55,95.61,50.22,832.83
120,Hemp Fiber Composite,54.53,111.44,1.21,91.24,634.2,92.25,96.38,472.18
121,PHA (Polyhydroxyalkanoates),78.26,114.29,1.03,93.92,115.95,72.82,53.87,838.61
122,Polylactic Acid (PLA) Blends,86.11,69.81,1.34,98.7,986.21,61.48,42.35,550.19
123,Coconut Coir Composite,34.93,89.83,0.95,88.75,452.73,69.5,99.13,1116.84
124,Maleic Anhydride Grafted (MAG) Polymers,16.52,114.92,1.31,81.4,948.47,89.34,82.74,652.6
125,Cork Composite,26.96,61.9,1.08,69.86,551.4,64.87,60.21,697.62
126,Poly(3-hydroxybutyrate) (PHB),44.59,121.96,0.97,61.13,215.32,76.1,95.64,548.06
127,Coconut Coir Composite,79.2,64.31,1.1,85.12,307.96,80.1,38.2,273.04
128,Polycaprolactone (PCL),82.98,83.88,1.27,99.76,619.7,81.86,37.96,693.64
129,Cellulose Acetate,7.4,95.36,0.98,74.7,150.4,97.06,78.41,974.36
130,Recycled LDPE,52.0,120.78,0.92,86.87,221.16,84.5,44.1,1153.01
131,Polylactic Acid (PLA) Blends,43.73,46.24,1.0,76.02,1012.05,90.21,94.37,276.58
132,Natural Fiber Composite,26.44,99.19,1.25,73.02,223.75,80.85,89.14,997.4
133,Nano-cellulose Composite,17.39,75.4,1.06,71.99,612.92,92.38,52.83,467.06
134,Polyhydroxyvalerate (PHV),36.67,48.77,1.39,76.47,558.58,66.28,92.44,1022.82
135,Coconut Coir Composite,90.26,102.41,0.93,69.93,30.98,63.81,34.92,542.01
136,Seaweed/Kelp-based Polymer,35.39,78.72,1.32,88.07,720.01,96.63,69.31,314.43
137,Cork Composite,52.71,90.2,1.37,94.03,755.12,85.96,95.62,812.02
138,Gelatin,69.02,54.51,1.04,94.44,230.41,84.96,90.17,1093.9
139,Polylactic Acid (PLA) Blends,38.97,71.23,1.12,63.32,525.65,75.6,56.21,381.59
140,Starch-based Polymer,92.81,85.6,1.18,95.06,1008.79,71.45,44.44,221.81
141,Jute Fiber Composite,91.99,63.16,1.1,68.72,1088.26,79.65,46.32,1083.84
142,Maleic Anhydride Grafted (MAG) Polymers,29.07,41.36,1.01,67.19,979.61,59.72,66.99,897.83
143,Hemp Fiber Composite,50.8,121.95,1.08,87.02,106.5,75.03,72.58,1008.7
144,Seaweed/Kelp-based Polymer,33.42,74.42,1.24,66.97,1046.74,75.06,34.23,259.84
145,Alginate,32.0,97.9,1.09,55.02,1020.45,78.86,60.12,1090.46
146,Recycled PET (rPET),10.05,63.81,1.08,70.25,374.81,83.27,88.47,619.16
147,Recycled HDPE,60.74,57.91,1.03,86.77,448.31,98.05,62.21,1097.62
148,Seaweed/Kelp-based Polymer,51.28,63.4,1.39,68.03,455.84,84.07,43.5,264.92
149,Cellulose Acetate,11.34,63.62,1.36,82.4,878.06,94.67,96.93,1084.81
150,Recycled PET (rPET),31.45,77.87,1.29,83.86,1057.28,79.68,50.11,873.38
151,PLA (Polylactic Acid),87.19,77.79,1.36,87.35,338.23,82.91,86.29,754.27
152,Cork Composite,27.99,72.9,1.14,95.11,1080.73,57.4,45.18,261.78
153,Polylactic Acid (PLA) Blends,19.61,34.64,1.07,73.05,1084.6,60.3,60.78,888.42
154,Polybutylene Fumarate (PBF),50.11,72.79,1.27,60.41,553.59,80.75,65.35,797.77
155,Mycelium-based Material,94.04,38.27,1.24,67.65,901.08,72.32,66.04,926.29
156,Chitosan,28.21,33.73,1.36,73.03,472.95,90.79,67.12,916.72
157,Polycaprolactone (PCL),66.28,118.89,0.96,86.41,812.65,79.08,47.3,643.73
158,Recycled HDPE,74.21,84.29,1.28,53.12,584.11,94.61,67.08,404.68
159,Recycled LDPE,27.82,90.05,1.12,67.5,796.03,98.73,64.76,1118.97
160,Chitosan,71.25,62.84,1.29,89.54,129.27,60.96,46.19,1125.59
161,Jute Fiber Composite,39.34,116.39,1.14,84.37,177.4,72.28,99.2,411.93
162,Natural Fiber Composite,62.76,87.77,1.23,87.26,202.85,84.66,90.86,830.65
163,Jute Fiber Composite,62.87,101.63,1.24,91.06,998.0,68.19,92.36,402.87
164,Thermoplastic Starch (TPS),54.21,59.33,1.26,89.7,748.67,66.43,78.62,1061.22
165,Natural Fiber Composite,14.77,121.78,1.13,84.9,561.52,91.47,42.87,298.21
166,Polyhydroxyvalerate (PHV),80.73,107.04,1.21,73.38,112.91,99.1,70.63,1190.2
167,Nano-cellulose Composite,35.18,110.58,1.3,99.22,618.96,89.64,87.86,810.86
168,Thermoplastic Starch (TPS),23.29,38.59,1.13,79.53,216.84,78.18,34.63,222.91
169,Paper-based Composite,10.39,49.02,0.95,62.13,286.67,74.47,65.72,1081.9
170,Cork Composite,59.09,50.57,1.08,66.41,1061.42,78.92,58.94,884.46
171,Polyhydroxyvalerate (PHV),66.76,49.02,1.09,85.44,803.64,75.4,46.42,897.32
172,Starch-based Polymer,8.25,110.73,1.39,96.43,143.12,77.23,57.72,475.03
173,Poly(3-hydroxybutyrate) (PHB),52.12,23.78,1.22,60.99,869.28,63.52,98.88,536.8
174,Poly(3-hydroxybutyrate) (PHB),26.83,28.45,1.2,56.41,685.77,95.59,81.18,1114.42
175,Alginate,63.9,49.33,1.12,94.37,357.38,88.76,52.37,834.96
176,PLA (Polylactic Acid),22.22,41.51,0.93,95.98,475.67,85.39,73.16,216.95
177,Recycled LDPE,67.95,44.89,1.33,65.63,359.76,97.71,48.77,527.41
178,Polybutylene Adipate Terephthalate (PBAT),41.02,104.66,1.29,70.42,689.5,67.23,73.54,798.54
179,Mycelium-based Material,89.71,79.87,0.93,83.86,452.13,57.92,92.94,348.01
180,Recycled LDPE,18.95,21.02,1.1,68.17,428.26,92.04,69.87,298.29
181,Polyhydroxyvalerate (PHV),36.97,65.74,1.34,94.17,972.71,99.93,81.87,259.38
182,Bagasse Fiber Composite,16.83,63.48,1.11,57.61,144.46,80.69,62.83,830.58
183,PLA (Polylactic Acid),88.64,32.44,1.05,54.3,564.95,56.89,67.64,520.6
184,Mycelium-based Material,84.45,91.8,1.02,62.4,384.08,89.95,79.27,573.68
185,Recycled PP,29.62,94.54,1.02,66.09,50.02,57.58,87.24,260.04
186,Polybutylene Adipate Terephthalate (PBAT),65.21,96.53,1.01,57.86,283.37,78.93,76.84,938.02
187,PLA (Polylactic Acid),79.13,97.33,0.96,55.62,549.7,66.91,98.47,966.76
188,Recycled PP,55.93,20.42,1.06,88.39,711.41,96.11,87.75,1029.44
189,Recycled HDPE,53.67,121.13,1.3,60.3,891.96,74.87,84.85,851.66
190,Maleic Anhydride Grafted (MAG) Polymers,28.19,106.38,1.33,95.91,919.3,95.35,89.47,973.29
191,Maleic Anhydride Grafted (MAG) Polymers,15.02,115.86,0.93,69.98,761.5,67.9,51.12,777.23
192,Cork Composite,86.21,22.06,1.17,84.35,563.23,71.94,61.38,691.64
193,Polybutylene Fumarate (PBF),86.49,119.02,1.31,63.21,529.97,97.58,70.38,459.81
194,Seaweed/Kelp-based Polymer,62.83,105.92,1.04,63.92,967.08,63.42,63.44,253.38
195,Poly(3-hydroxybutyrate) (PHB),36.79,108.81,1.05,79.8,985.31,80.7,89.63,491.82
196,Recycled LDPE,37.7,30.26,1.21,79.13,216.93,71.99,33.84,883.63
197,Polyhydroxyvalerate (PHV),71.05,98.42,1.17,89.01,500.38,89.66,46.22,1126.83
198,Natural Fiber Composite,86.2,121.77,1.22,88.5,882.8,60.12,91.96,456.21
199,Recycled PET (rPET),85.31,92.06,1.02,84.36,718.64,74.22,36.02,869.85
200,Nano-cellulose Composite,75.82,80.66,0.93,73.83,398.85,86.21,47.44,678.24
201,Recycled LDPE,63.62,120.26,0.99,94.81,484.62,72.84,55.89,827.55
202,PLA (Polylactic Acid),14.23,67.18,0.96,82.07,1054.26,56.88,83.05,201.62
203,Starch-based Polymer,21.09,83.69,0.9,99.53,854.23,86.49,70.09,322.65
204,Maleic Anhydride Grafted (MAG) Polymers,86.33,70.71,1.1,91.42,679.97,77.25,96.91,417.02
205,Polybutylene Succinate (PBS),60.47,118.91,1.07,54.6,1078.97,54.72,47.5,1093.45
206,Maleic Anhydride Grafted (MAG) Polymers,7.59,28.44,1.37,67.73,861.59,82.26,91.3,240.53
207,Polylactic Acid (PLA) Blends,15.76,73.32,1.11,79.66,261.03,96.33,51.24,769.63
208,Poly(3-hydroxybutyrate) (PHB),65.52,92.95,1.35,86.77,293.13,59.28,48.69,1128.64
209,Recycled PP,7.23,104.03,1.25,78.64,849.24,81.25,65.89,852.07
210,Chitosan,21.02,81.97,1.37,89.84,104.84,87.57,36.84,684.4
211,Nano-cellulose Composite,55.36,116.38,1.05,65.93,1075.95,57.44,58.13,585.99
212,Polybutylene Fumarate (PBF),68.03,119.87,1.31,61.24,775.44,55.24,56.19,824.2
213,Starch-based Polymer,64.5,27.2,1.05,55.06,189.83,75.46,42.89,680.39
214,Coconut Coir Composite,26.63,62.9,1.0,79.73,1046.92,90.44,90.53,905.41
215,Jute Fiber Composite,69.83,22.89,1.11,85.21,1036.78,61.56,58.24,817.77
216,Poly(3-hydroxybutyrate) (PHB),27.78,55.19,0.96,67.99,49.41,92.52,98.77,767.41
217,Cellulose Acetate,35.59,77.1,1.38,81.65,395.47,84.27,93.18,1156.81
218,Nano-cellulose Composite,72.87,116.58,1.14,54.98,130.75,69.41,45.25,1035.69
219,Gelatin,64.29,109.8,0.97,57.22,178.98,77.82,66.35,808.86
220,Paper-based Composite,81.96,33.87,0.93,85.83,830.94,98.42,72.92,738.65
221,Recycled PET (rPET),65.0,30.23,1.4,69.98,255.77,64.11,87.69,923.94
222,Cork Composite,57.09,82.63,1.22,84.39,299.53,77.08,92.22,1003.92
223,Jute Fiber Composite,15.07,76.6,1.11,92.01,103.73,82.8,74.43,495.24
224,Nano-cellulose Composite,39.33,48.54,1.0,93.0,629.26,60.52,34.39,866.95
225,Cork Composite,30.26,115.38,1.07,60.68,489.91,56.19,64.73,335.15
226,Maleic Anhydride Grafted (MAG) Polymers,28.38,118.33,1.35,75.6,925.21,54.82,92.17,630.45
227,Polylactic Acid (PLA) Blends,92.92,62.92,1.16,87.36,1019.25,69.07,80.56,1138.44
228,Poly(3-hydroxybutyrate) (PHB),41.58,114.42,1.04,89.26,171.67,57.59,91.17,526.3
229,Hemp Fiber Composite,85.75,60.95,1.36,89.77,867.92,91.01,77.84,354.24
230,Thermoplastic Starch (TPS),62.65,98.21,1.32,63.34,63.47,99.88,34.99,346.15
231,Thermoplastic Starch (TPS),77.14,70.66,1.01,61.65,826.86,57.01,97.82,593.73
232,PLA (Polylactic Acid),51.28,33.35,1.13,80.53,337.32,74.02,94.43,425.18
233,Starch-based Polymer,57.85,118.39,1.28,87.7,815.78,55.38,40.61,626.92
234,PHA (Polyhydroxyalkanoates),50.38,68.36,0.96,67.66,942.65,60.34,39.66,918.89
235,Paper-based Composite,24.06,97.96,1.15,57.47,847.26,68.99,68.66,1088.16
236,Hemp Fiber Composite,70.74,59.18,1.08,86.55,245.16,72.23,83.48,310.17
237,Maleic Anhydride Grafted (MAG) Polymers,31.64,22.4,1.17,66.74,352.06,97.24,57.99,968.41
238,Poly(3-hydroxybutyrate) (PHB),8.93,31.03,1.15,60.4,423.13,72.33,41.27,303.48
239,Polycaprolactone (PCL),63.92,72.81,1.01,59.52,324.54,76.93,66.72,579.43
240,Hemp Fiber Composite,22.46,93.26,1.23,67.46,512.74,65.45,54.95,1196.55
241,Hemp Fiber Composite,90.04,55.75,0.94,80.65,604.84,54.21,55.92,268.68
242,Polybutylene Fumarate (PBF),91.23,93.85,1.04,69.52,173.41,95.39,75.86,222.88
243,Mycelium-based Material,87.77,94.18,1.04,53.48,49.67,57.94,92.22,533.65
244,Nano-cellulose Composite,39.55,94.74,1.34,57.1,454.72,98.36,69.98,1151.12
245,Thermoplastic Starch (TPS),8.15,72.42,1.4,66.3,981.79,60.19,78.76,220.04
246,Hemp Fiber Composite,88.96,117.01,1.0,83.84,903.2,81.9,76.88,422.71
247,Polybutylene Succinate (PBS),44.69,72.06,1.19,57.18,1000.07,99.97,69.48,803.16
248,Chitosan,92.36,67.95,1.32,79.13,652.4,60.54,53.13,433.75
249,Alginate,92.09,41.46,1.01,58.19,800.78,73.62,57.69,253.81
250,Polybutylene Adipate Terephthalate (PBAT),82.3,52.9,1.37,62.55,723.26,89.94,53.47,252.44
251,Coconut Coir Composite,32.85,24.88,1.16,60.68,540.96,55.67,94.39,759.16
252,Cork Composite,40.87,87.3,1.39,55.69,279.86,85.79,88.21,761.89
253,Thermoplastic Starch (TPS),82.13,46.65,1.3,84.39,127.28,57.88,71.4,906.47
254,Alginate,34.84,52.53,1.17,74.51,841.74,65.03,94.03,331.74
255,Coconut Coir Composite,21.79,101.8,1.09,91.98,951.26,61.53,92.28,699.85
256,Cork Composite,56.07,54.96,1.3,57.2,344.3,95.76,95.08,800.95
257,Maleic Anhydride Grafted (MAG) Polymers,89.66,45.98,1.2,59.37,838.56,62.46,47.08,422.38
258,Coconut Coir Composite,68.4,38.26,1.15,67.06,946.95,56.05,80.79,747.34
259,Recycled PET (rPET),57.25,102.23,0.97,88.88,1033.47,81.11,73.43,908.24
260,Polybutylene Adipate Terephthalate (PBAT),15.38,34.11,1.21,67.02,209.43,70.06,81.9,1190.84
261,Mycelium-based Material,61.23,68.32,1.2,71.9,336.68,72.78,49.91,796.42
262,Nano-cellulose Composite,94.43,73.94,1.14,66.83,481.27,59.65,79.25,1061.19
263,Seaweed/Kelp-based Polymer,19.18,92.99,1.01,56.31,146.98,88.47,59.87,1033.67
264,Seaweed/Kelp-based Polymer,52.67,87.28,1.05,97.12,255.38,81.75,88.72,1140.27
265,Polybutylene Adipate Terephthalate (PBAT),84.45,106.01,1.03,78.56,83.07,70.88,86.08,923.06
266,Blended Starch,72.36,25.14,1.09,89.92,804.02,62.06,46.37,413.1
267,Recycled LDPE,68.49,51.71,1.11,83.77,630.58,81.38,44.5,498.09
268,Coconut Coir Composite,68.97,49.99,0.99,76.93,661.59,89.86,80.81,984.68
269,Polyhydroxyvalerate (PHV),38.61,35.83,1.17,56.76,845.39,68.51,69.43,720.82
270,Polyhydroxyvalerate (PHV),32.77,50.94,1.27,83.03,118.17,55.38,69.89,451.31
271,Gelatin,78.43,53.12,1.0,59.88,145.9,64.02,83.17,856.67
272,Gelatin,78.5,75.52,1.39,72.18,57.1,85.45,90.14,1106.54
273,Cork Composite,83.54,90.49,0.99,82.38,184.68,99.5,48.25,557.69
274,Recycled LDPE,87.63,60.65,1.27,89.66,501.61,54.81,69.78,796.24
275,Nano-cellulose Composite,52.05,96.38,1.24,85.04,237.05,68.22,88.37,781.5
276,Jute Fiber Composite,51.18,55.91,0.96,84.4,833.37,57.04,91.35,326.97
277,Chitosan,77.45,51.06,1.35,59.58,612.15,68.69,51.54,290.24
278,Alginate,64.32,77.55,1.15,68.94,976.48,72.79,39.08,1089.43
279,Seaweed/Kelp-based Polymer,68.93,22.91,0.96,54.54,619.0,96.38,47.83,1133.54
280,Cellulose Acetate,77.23,28.83,1.04,86.68,886.18,57.89,96.29,1104.24
281,Starch-based Polymer,85.57,64.54,1.05,97.75,962.74,89.79,63.45,596.65
282,Polyhydroxyvalerate (PHV),36.7,119.97,1.01,65.05,797.39,72.32,60.46,487.62
283,Cork Composite,40.03,96.59,1.19,56.67,776.63,91.36,32.89,1142.17
284,Chitosan,15.1,29.72,1.13,75.09,276.33,77.71,35.47,1082.8
285,Recycled LDPE,57.98,109.77,1.01,93.19,523.6,56.0,77.47,1019.82
286,Gelatin,9.96,97.73,1.2,78.72,214.28,97.54,72.11,534.19
287,Blended Starch,48.0,84.92,1.31,54.72,195.62,57.99,71.14,838.74
288,PLA (Polylactic Acid),54.82,107.02,1.33,98.78,255.27,81.57,39.5,950.42
289,Blended Starch,32.15,63.08,1.13,91.86,308.41,94.4,55.94,776.15
290,Poly(3-hydroxybutyrate) (PHB),59.09,43.8,1.38,58.75,849.45,57.85,87.24,802.0
291,Cellulose Acetate,9.48,74.47,0.99,96.29,1019.66,79.57,43.89,956.69
292,Recycled PET (rPET),10.09,78.36,1.11,73.91,118.39,91.95,92.02,966.83
293,Cork Composite,79.6,77.25,1.15,70.17,531.26,99.37,40.26,439.95
294,Cellulose Acetate,38.67,80.08,1.11,74.4,968.47,87.37,43.5,590.67
295,Polyhydroxyvalerate (PHV),18.03,120.58,1.02,92.14,459.55,66.95,64.49,981.18
