Category,Weight_kg,Volumetric_Weight_kg,L_cm,W_cm,H_cm,Fragility,Moisture_Sens,Shipping_Mode,Distance_km,Packaging_Used,Cost_USD,CO2_Emission_kg,Material_ID
Clothing,1.9,3.42,50,38,9,3,True,Road,484,Kraft Paper Mailer,1.97,0.828,550.0
Home Decor,1.79,1.44,15,15,32,10,False,Road,284,Mushroom Pkg (Mycelium),2.72,0.254,601.0
Electronics,0.27,0.02,14,7,1,8,True,Air,1771,Mushroom Pkg (Mycelium),1.71,1.195,601.0
Electronics,2.19,0.24,32,19,2,7,True,Air,935,PLA Bioplastic,2.28,5.119,575.0
Clothing,1.25,4.13,53,39,10,2,True,Road,157,Kraft Paper Mailer,2.05,0.324,550.0
Clothing,0.28,0.19,26,18,2,1,False,Road,119,Recycled PET Box,0.31,0.017,320.0
Electronics,0.24,0.0,15,6,0,9,True,Air,1772,Mushroom Pkg (Mycelium),1.9,1.063,601.0
Home Decor,1.74,1.25,14,14,32,10,False,Air,2524,Mushroom Pkg (Mycelium),2.7,10.979,601.0
Home Decor,2.79,1.09,15,13,28,10,False,Air,2544,Mushroom Pkg (Mycelium),3.12,17.744,601.0
Home Decor,1.51,1.35,15,15,30,9,False,Road,583,Mushroom Pkg (Mycelium),2.4,0.44,601.0
Home Decor,2.87,1.35,15,15,30,9,False,Air,2886,Mushroom Pkg (Mycelium),2.95,20.707,601.0
Clothing,0.87,1.61,32,21,12,5,False,Air,1835,Kraft Paper Mailer,1.64,7.386,550.0
Home Decor,1.63,1.34,15,14,32,10,False,Air,1422,Mushroom Pkg (Mycelium),2.65,5.795,601.0
Clothing,1.29,3.47,47,41,9,4,True,Road,412,Bubble Wrap (LDPE),2.19,0.715,34.0
Clothing,1.05,1.19,30,18,11,5,False,Air,1629,Kraft Paper Mailer,1.48,4.846,550.0
Clothing,1.36,4.21,49,43,10,4,True,Air,1004,Kraft Paper Mailer,2.48,10.567,550.0
Furniture,13.93,28.43,54,56,47,4,False,Road,131,Wood Crate,12.17,1.862,405.0
Clothing,1.15,1.46,29,21,12,3,False,Air,1017,Kraft Paper Mailer,1.18,3.712,550.0
Electronics,17.12,8.32,128,65,5,10,True,Road,2035,Mushroom Pkg (Mycelium),8.85,17.42,601.0
Beauty,0.47,0.04,9,5,4,8,True,Road,454,Mushroom Pkg (Mycelium),1.79,0.107,601.0
Furniture,42.93,243.1,183,82,81,6,False,Road,1264,Wood Crate,98.44,153.639,405.0
Clothing,0.23,0.08,22,18,1,2,False,Air,1526,Kraft Paper Mailer,0.49,0.877,550.0
Clothing,0.87,1.01,28,18,10,3,False,Road,604,Kraft Paper Mailer,1.0,0.305,550.0
Clothing,1.47,3.76,51,41,9,2,True,Air,1727,Kraft Paper Mailer,1.9,16.234,550.0
Furniture,77.46,253.97,185,88,78,5,False,Road,1545,Wood Crate,102.59,196.192,405.0
Beauty,0.43,0.03,9,4,4,9,True,Air,1759,Mushroom Pkg (Mycelium),1.97,1.891,601.0
Beauty,0.24,0.04,10,4,5,10,True,Road,505,Mushroom Pkg (Mycelium),2.1,0.061,601.0
Furniture,17.29,6.17,98,63,5,9,False,Road,284,Mushroom Pkg (Mycelium),8.72,2.455,601.0
Electronics,0.1,0.0,4,4,1,5,True,Air,2408,Honeycomb Paper,1.04,0.602,602.0
Clothing,0.99,1.38,32,18,12,4,False,Road,685,Kraft Paper Mailer,1.35,0.473,550.0
Electronics,18.04,6.99,118,74,4,9,True,Road,981,Mushroom Pkg (Mycelium),9.02,8.849,601.0
Electronics,2.27,0.1,27,18,1,7,True,Air,1375,Honeycomb Paper,2.31,7.803,602.0
Electronics,0.13,0.0,4,5,0,4,True,Air,2654,Corrugated Cardboard,0.85,0.863,114.0
Beauty,0.47,0.05,10,5,5,8,True,Air,1251,Styrofoam (EPS),1.79,1.47,105.0
Home Decor,1.51,1.35,15,15,30,9,False,Road,108,Mushroom Pkg (Mycelium),2.4,0.082,601.0
Home Decor,1.57,1.16,13,14,32,9,False,Air,1967,Mushroom Pkg (Mycelium),2.43,7.72,601.0
Electronics,2.36,0.25,31,20,2,8,True,Air,1663,Mushroom Pkg (Mycelium),2.54,9.812,601.0
Beauty,0.85,0.2,20,7,7,4,True,Air,944,PLA Bioplastic,1.14,2.006,575.0
Electronics,0.12,0.0,4,5,0,4,True,Air,1422,Mushroom Pkg (Mycelium),0.85,0.427,601.0
Clothing,1.06,4.02,49,41,10,2,True,Road,765,Kraft Paper Mailer,2.01,1.538,550.0
Beauty,0.36,0.04,9,5,5,9,True,Air,1851,Mushroom Pkg (Mycelium),1.94,1.666,601.0
Electronics,23.21,6.5,116,70,4,10,True,Road,2663,Mushroom Pkg (Mycelium),11.28,30.904,601.0
Clothing,0.84,1.23,27,19,12,3,False,Road,255,Kraft Paper Mailer,1.09,0.157,550.0
Electronics,2.01,0.23,29,20,2,7,True,Road,151,Honeycomb Paper,2.2,0.152,602.0
Electronics,2.07,0.22,28,20,2,8,True,Air,1000,Mushroom Pkg (Mycelium),2.43,5.175,601.0
Clothing,0.21,0.21,27,19,2,2,False,Air,2971,Kraft Paper Mailer,0.48,1.56,550.0
Clothing,1.98,4.04,47,43,10,3,True,Air,2231,Kraft Paper Mailer,2.22,22.533,550.0
Electronics,20.3,6.54,112,73,4,10,True,Road,2632,Mushroom Pkg (Mycelium),10.12,26.715,601.0
Electronics,2.34,0.19,27,18,2,7,True,Road,432,Honeycomb Paper,2.34,0.505,602.0
Electronics,20.75,8.18,109,75,5,9,True,Road,2146,Mushroom Pkg (Mycelium),10.1,22.265,601.0
Electronics,1.66,0.23,30,19,2,9,True,Road,234,Mushroom Pkg (Mycelium),2.46,0.194,601.0
Clothing,0.25,0.17,22,19,2,2,False,Air,2703,Kraft Paper Mailer,0.5,1.689,550.0
Furniture,58.74,299.97,218,86,80,6,False,Road,1423,Wood Crate,121.19,213.429,405.0
Clothing,1.08,1.66,32,20,13,3,False,Air,2151,Kraft Paper Mailer,1.26,8.927,550.0
Electronics,0.24,0.02,14,6,1,9,True,Road,126,Mushroom Pkg (Mycelium),1.9,0.015,601.0
Electronics,19.13,6.3,125,63,4,9,True,Road,1962,Mushroom Pkg (Mycelium),9.45,18.767,601.0
Furniture,14.67,32.88,55,61,49,4,False,Road,1393,Wood Crate,13.95,22.901,405.0
Beauty,0.91,0.21,19,8,7,3,True,Air,1430,PLA Bioplastic,0.96,3.253,575.0
Electronics,0.25,0.02,13,6,1,8,True,Air,1478,Recycled PET Box,1.7,0.924,320.0
Beauty,0.32,0.03,9,4,4,10,True,Air,868,Mushroom Pkg (Mycelium),2.13,0.694,601.0
Clothing,1.21,3.85,52,37,10,2,True,Air,2125,Kraft Paper Mailer,1.94,20.453,550.0
Furniture,11.43,33.87,63,56,48,5,False,Road,1420,Wood Crate,14.55,24.048,405.0
Electronics,0.14,0.0,4,4,0,6,True,Air,1343,Honeycomb Paper,1.26,0.47,602.0
Beauty,0.23,0.05,10,5,5,8,True,Road,248,Mushroom Pkg (Mycelium),1.69,0.029,601.0
Home Decor,2.77,1.12,16,13,27,10,False,Road,672,Mushroom Pkg (Mycelium),3.11,0.931,601.0
Clothing,0.8,1.15,29,18,11,3,False,Air,905,Kraft Paper Mailer,1.06,2.602,550.0
Electronics,2.46,0.12,28,21,1,9,True,Air,1034,Mushroom Pkg (Mycelium),2.78,6.359,601.0
Electronics,1.8,0.11,31,18,1,9,True,Air,2507,Recycled PET Box,2.52,11.282,320.0
Electronics,2.16,0.11,29,19,1,9,True,Road,286,Mushroom Pkg (Mycelium),2.66,0.309,601.0
Clothing,1.43,4.26,52,41,10,4,True,Air,2997,Kraft Paper Mailer,2.5,31.918,550.0
Furniture,49.35,304.1,209,97,75,5,False,Road,1213,Wood Crate,122.64,184.437,405.0
Clothing,0.29,0.19,23,21,2,1,False,Air,1755,Kraft Paper Mailer,0.32,1.272,550.0
Furniture,15.51,5.51,102,54,5,9,False,Road,179,Mushroom Pkg (Mycelium),8.0,1.388,601.0
Home Decor,1.09,1.3,14,15,31,10,False,Road,564,Mushroom Pkg (Mycelium),2.52,0.367,601.0
Beauty,0.21,0.04,9,4,5,9,True,Road,329,Mushroom Pkg (Mycelium),1.88,0.035,601.0
Beauty,0.74,0.2,20,7,7,3,True,Air,1590,PLA Bioplastic,0.9,2.941,575.0
Electronics,1.84,0.21,27,19,2,9,True,Road,148,Mushroom Pkg (Mycelium),2.54,0.136,601.0
Beauty,0.47,0.03,9,4,4,10,True,Road,644,Mushroom Pkg (Mycelium),2.19,0.151,601.0
Electronics,0.16,0.0,5,5,0,4,True,Air,2951,Corrugated Cardboard,0.86,1.18,114.0
Electronics,0.13,0.0,5,4,0,4,True,Air,1041,Corrugated Cardboard,0.85,0.338,114.0
Clothing,1.63,4.47,52,43,10,3,True,Air,2459,Bubble Wrap (LDPE),2.39,27.479,34.0
Electronics,0.18,0.0,4,5,1,4,True,Air,1737,Corrugated Cardboard,0.87,0.782,114.0
Furniture,75.43,249.63,206,83,73,8,False,Road,383,Wood Crate,101.45,47.804,405.0
Clothing,1.7,4.3,50,43,10,4,True,Road,557,Kraft Paper Mailer,2.52,1.198,550.0
Furniture,15.95,5.02,98,64,4,10,False,Road,2102,Mushroom Pkg (Mycelium),8.38,16.763,601.0
Furniture,11.58,31.8,59,55,49,4,False,Road,1080,Wood Crate,13.52,17.172,405.0
Home Decor,2.9,1.38,16,16,27,10,False,Road,691,Mushroom Pkg (Mycelium),3.16,1.002,601.0
Electronics,2.22,0.1,27,18,1,8,True,Air,2423,Mushroom Pkg (Mycelium),2.49,13.448,601.0
Electronics,1.78,0.23,32,18,2,8,True,Air,959,Mushroom Pkg (Mycelium),2.31,4.268,601.0
Electronics,0.17,0.0,5,5,0,5,True,Air,2971,PLA Bioplastic,1.07,1.263,575.0
Electronics,0.31,0.02,13,7,1,9,True,Air,1684,Mushroom Pkg (Mycelium),1.92,1.305,601.0
Clothing,1.15,1.23,28,20,11,3,False,Air,2683,Kraft Paper Mailer,1.09,8.25,550.0
Clothing,0.29,0.18,24,19,2,1,False,Air,2332,Kraft Paper Mailer,0.32,1.691,550.0
Clothing,1.16,1.17,28,19,11,3,False,Air,1258,Kraft Paper Mailer,1.07,3.68,550.0
Electronics,0.11,0.0,5,5,0,5,True,Road,206,Honeycomb Paper,1.04,0.011,602.0
Clothing,0.2,0.18,22,21,2,1,False,Road,578,Kraft Paper Mailer,0.28,0.058,550.0
Electronics,15.93,7.37,110,67,5,9,True,Road,1662,Mushroom Pkg (Mycelium),8.17,13.238,601.0
Clothing,1.01,3.82,53,40,9,3,True,Air,2156,Kraft Paper Mailer,2.13,20.59,550.0
Home Decor,1.54,0.95,13,13,28,9,False,Road,486,Mushroom Pkg (Mycelium),2.42,0.374,601.0
Clothing,0.27,0.09,23,20,1,1,False,Road,764,Kraft Paper Mailer,0.31,0.103,550.0
Electronics,0.2,0.0,4,5,0,5,True,Air,968,Honeycomb Paper,1.08,0.484,602.0
Clothing,0.24,0.09,24,18,1,2,False,Road,689,Kraft Paper Mailer,0.5,0.083,550.0
Home Decor,2.36,0.98,13,14,27,9,False,Air,1138,Mushroom Pkg (Mycelium),2.74,6.714,601.0
Clothing,0.83,1.46,29,21,12,4,False,Air,1344,Kraft Paper Mailer,1.38,4.906,550.0
Electronics,21.93,8.42,122,69,5,10,True,Road,323,Mushroom Pkg (Mycelium),10.77,3.542,601.0
Beauty,0.41,0.05,10,5,5,8,True,Air,2152,Mushroom Pkg (Mycelium),1.76,2.206,601.0
Electronics,1.72,0.23,30,19,2,8,True,Road,153,Mushroom Pkg (Mycelium),2.29,0.132,601.0
Clothing,1.38,3.7,49,42,9,2,True,Air,1884,Kraft Paper Mailer,1.88,17.427,550.0
Beauty,0.72,0.19,19,7,7,4,True,Road,539,PLA Bioplastic,1.09,0.194,575.0
Home Decor,2.41,1.26,14,15,30,10,False,Air,2387,Mushroom Pkg (Mycelium),2.96,14.382,601.0
Clothing,1.14,1.25,29,18,12,5,False,Air,2963,Kraft Paper Mailer,1.5,9.259,550.0
Furniture,16.97,5.55,94,59,5,10,False,Road,2374,Mushroom Pkg (Mycelium),8.79,20.143,601.0
Furniture,10.44,42.03,61,65,53,6,False,Road,269,Wood Crate,18.01,5.653,405.0
Electronics,18.73,6.6,127,65,4,10,True,Road,1357,Mushroom Pkg (Mycelium),9.49,12.708,601.0
Beauty,0.28,0.04,9,5,5,9,True,Road,293,Mushroom Pkg (Mycelium),1.91,0.041,601.0
Clothing,1.03,1.53,31,19,13,4,False,Air,2107,Kraft Paper Mailer,1.41,8.059,550.0
Clothing,0.26,0.21,25,21,2,1,False,Air,2185,Styrofoam (EPS),0.3,1.42,105.0
Clothing,0.25,0.21,26,20,2,2,False,Air,2969,Kraft Paper Mailer,0.5,1.856,550.0
Clothing,0.15,0.21,25,21,2,2,False,Air,1993,Kraft Paper Mailer,0.48,1.046,550.0
Electronics,1.77,0.12,31,19,1,9,True,Air,2008,Mushroom Pkg (Mycelium),2.51,8.885,601.0
Beauty,0.56,0.18,18,7,7,5,True,Air,2275,Wood Crate,1.22,3.185,405.0
Electronics,0.15,0.0,5,4,1,6,True,Road,494,Honeycomb Paper,1.26,0.037,602.0
Clothing,1.67,3.58,51,39,9,3,True,Air,2925,Kraft Paper Mailer,2.03,26.179,550.0
Home Decor,1.32,1.13,14,15,27,10,False,Air,1716,Mushroom Pkg (Mycelium),2.53,5.663,601.0
Furniture,17.12,4.7,105,56,4,10,False,Road,1878,Mushroom Pkg (Mycelium),8.85,16.076,601.0
Clothing,0.99,1.37,30,19,12,5,False,Air,1056,Kraft Paper Mailer,1.55,3.617,550.0
Furniture,63.86,238.46,184,90,72,6,False,Road,974,Wood Crate,96.58,116.13,405.0
Electronics,24.96,6.53,115,71,4,10,True,Road,68,Mushroom Pkg (Mycelium),11.98,0.849,601.0
Beauty,0.85,0.26,20,8,8,5,True,Air,2935,PLA Bioplastic,1.34,6.237,575.0
Clothing,0.18,0.1,23,21,1,1,False,Air,1436,Kraft Paper Mailer,0.27,0.646,550.0
Clothing,0.99,1.13,27,19,11,3,False,Air,2407,Kraft Paper Mailer,1.05,6.8,550.0
Furniture,13.03,35.9,55,64,51,5,False,Road,2965,Wood Crate,15.36,53.222,405.0
Furniture,13.74,37.58,60,58,54,5,False,Road,981,Wood Crate,16.03,18.433,405.0
Clothing,0.16,0.2,25,20,2,1,False,Air,1205,Kraft Paper Mailer,0.28,0.603,550.0
Furniture,40.51,269.36,200,91,74,8,False,Road,398,Wood Crate,109.34,53.603,405.0
Electronics,17.29,6.09,119,64,4,9,True,Road,1960,Mushroom Pkg (Mycelium),8.72,16.944,601.0
Electronics,2.2,0.12,31,19,1,8,True,Air,1293,Mushroom Pkg (Mycelium),2.48,7.112,601.0
Beauty,0.24,0.03,9,4,4,10,True,Air,2672,Mushroom Pkg (Mycelium),2.1,1.603,601.0
Electronics,0.18,0.0,5,4,0,6,True,Road,317,Styrofoam (EPS),1.27,0.029,105.0
Electronics,0.25,0.02,14,6,1,7,True,Air,1502,Honeycomb Paper,1.5,0.939,602.0
Beauty,0.32,0.04,9,5,4,8,True,Air,869,Mushroom Pkg (Mycelium),1.73,0.695,601.0
Clothing,1.34,4.0,54,37,10,4,True,Air,2010,Wood Crate,2.4,20.1,405.0
Furniture,47.16,270.12,181,91,82,5,False,Road,2511,Wood Crate,109.05,339.136,405.0
Beauty,0.27,0.04,10,4,5,9,True,Air,1292,Mushroom Pkg (Mycelium),1.91,0.872,601.0
Furniture,18.38,4.54,93,61,4,10,False,Road,1894,Mushroom Pkg (Mycelium),9.35,17.406,601.0
Home Decor,1.49,1.05,13,13,31,9,False,Air,2278,Mushroom Pkg (Mycelium),2.4,8.486,601.0
Beauty,0.51,0.24,21,8,7,3,True,Air,1093,PLA Bioplastic,0.8,1.394,575.0
Clothing,0.9,1.3,27,20,12,4,False,Air,1434,Kraft Paper Mailer,1.32,4.66,550.0
Electronics,0.27,0.02,15,6,1,9,True,Air,2050,Mushroom Pkg (Mycelium),1.91,1.384,601.0
Furniture,14.32,39.97,61,63,52,5,False,Road,2302,Wood Crate,16.99,46.005,405.0
Home Decor,2.77,1.09,15,13,28,10,False,Air,2322,Mushroom Pkg (Mycelium),3.11,16.08,601.0
Furniture,18.0,4.61,96,60,4,9,False,Road,1671,Mushroom Pkg (Mycelium),9.0,15.039,601.0
Clothing,0.89,1.51,30,21,12,4,False,Air,2611,Kraft Paper Mailer,1.4,9.857,550.0
Beauty,0.48,0.04,10,5,4,9,True,Air,1212,Mushroom Pkg (Mycelium),1.99,1.454,601.0
Clothing,1.67,4.16,52,40,10,2,True,Air,1065,Kraft Paper Mailer,2.06,11.076,550.0
Furniture,77.28,298.2,209,82,87,8,False,Road,820,Wood Crate,120.88,122.262,405.0
Electronics,0.2,0.0,5,4,1,5,True,Air,1364,Honeycomb Paper,1.08,0.682,602.0
Clothing,1.52,4.26,52,41,10,3,True,Air,2655,Recycled PET Box,2.3,28.276,320.0
Furniture,42.17,308.46,212,97,75,5,False,Road,1795,Wood Crate,124.38,276.843,405.0
Clothing,1.71,4.21,49,43,10,4,True,Air,1349,Kraft Paper Mailer,2.48,14.198,550.0
Electronics,1.88,0.25,30,21,2,8,True,Air,1962,Mushroom Pkg (Mycelium),2.35,9.221,601.0
Electronics,0.25,0.0,13,6,0,9,True,Air,1007,Mushroom Pkg (Mycelium),1.9,0.629,601.0
Clothing,0.87,1.51,30,21,12,4,False,Air,2366,Kraft Paper Mailer,1.4,8.932,550.0
Beauty,0.58,0.2,18,7,8,5,True,Air,986,PLA Bioplastic,1.23,1.43,575.0
Furniture,14.43,38.23,60,59,54,4,False,Road,1811,Wood Crate,16.09,34.617,405.0
Furniture,13.15,6.17,95,65,5,10,False,Road,469,Mushroom Pkg (Mycelium),7.26,3.084,601.0
Electronics,0.22,0.0,16,7,0,8,True,Road,261,Mushroom Pkg (Mycelium),1.69,0.029,601.0
Electronics,1.71,0.11,31,18,1,7,True,Air,943,Honeycomb Paper,2.08,4.031,602.0
Beauty,0.24,0.03,9,4,4,9,True,Air,1833,Mushroom Pkg (Mycelium),1.9,1.1,601.0
Beauty,0.6,0.22,20,7,8,4,True,Air,2158,PLA Bioplastic,1.04,3.237,575.0
Clothing,1.04,1.36,31,20,11,3,False,Air,2742,Kraft Paper Mailer,1.14,9.323,550.0
Beauty,0.91,0.21,19,7,8,4,True,Air,997,PLA Bioplastic,1.16,2.268,575.0
Furniture,13.99,38.5,64,64,47,4,False,Road,2449,Wood Crate,16.2,47.143,405.0
Electronics,21.68,7.87,121,65,5,9,True,Road,2505,Mushroom Pkg (Mycelium),10.47,27.154,601.0
Electronics,2.06,0.11,28,19,1,7,True,Air,1540,Honeycomb Paper,2.22,7.931,602.0
Beauty,0.39,0.03,10,4,4,10,True,Road,694,Mushroom Pkg (Mycelium),2.16,0.135,601.0
Clothing,1.85,3.86,46,42,10,2,True,Air,989,Kraft Paper Mailer,1.94,9.544,550.0
Furniture,11.43,33.26,55,63,48,5,False,Road,432,Wood Crate,14.3,7.184,405.0
Home Decor,2.87,1.13,14,15,27,10,False,Air,1904,Mushroom Pkg (Mycelium),3.15,13.661,601.0
Electronics,0.29,0.0,15,7,0,8,True,Road,431,Bubble Wrap (LDPE),1.72,0.062,34.0
Clothing,1.23,3.65,52,39,9,4,True,Air,1659,Kraft Paper Mailer,2.26,15.138,550.0
Furniture,10.03,41.52,62,62,54,4,False,Road,89,Wood Crate,17.41,1.848,405.0
Beauty,0.51,0.18,18,7,7,3,True,Air,1182,PLA Bioplastic,0.8,1.507,575.0
Electronics,0.21,0.0,14,6,0,8,True,Air,910,Mushroom Pkg (Mycelium),1.68,0.478,601.0
Home Decor,2.6,1.4,15,15,31,10,False,Air,2868,Mushroom Pkg (Mycelium),3.04,18.642,601.0
Electronics,0.2,0.0,4,4,1,5,True,Air,1033,Honeycomb Paper,1.08,0.517,602.0
Beauty,0.79,0.21,21,7,7,3,True,Air,1290,PLA Bioplastic,0.92,2.548,575.0
Electronics,16.26,9.15,122,75,5,9,True,Road,2835,Mushroom Pkg (Mycelium),8.3,23.049,601.0
Clothing,1.18,1.25,27,21,11,5,False,Air,1379,Kraft Paper Mailer,1.5,4.309,550.0
Beauty,0.32,0.05,10,5,5,8,True,Air,1614,Mushroom Pkg (Mycelium),1.73,1.291,601.0
Beauty,0.34,0.04,10,5,4,8,True,Air,1565,Mushroom Pkg (Mycelium),1.74,1.33,601.0
Electronics,1.59,0.11,28,20,1,7,True,Air,1276,Honeycomb Paper,2.04,5.072,602.0
Electronics,15.43,8.84,130,68,5,10,True,Road,321,Mushroom Pkg (Mycelium),8.17,2.477,601.0
Beauty,0.43,0.03,10,4,4,8,True,Air,1645,Mushroom Pkg (Mycelium),1.77,1.768,601.0
Clothing,1.17,3.78,45,42,10,3,True,Air,963,Kraft Paper Mailer,2.11,9.1,550.0
Electronics,2.22,0.13,32,21,1,8,True,Road,617,Mushroom Pkg (Mycelium),2.49,0.685,601.0
Clothing,1.29,3.3,47,39,9,3,True,Air,1292,Kraft Paper Mailer,1.92,10.659,550.0
Furniture,19.33,4.68,90,65,4,10,False,Road,2413,Mushroom Pkg (Mycelium),9.73,23.322,601.0
Clothing,1.88,3.6,50,36,10,2,True,Road,529,Kraft Paper Mailer,1.84,0.952,550.0
Electronics,0.34,0.0,16,6,0,7,True,Air,1854,Honeycomb Paper,1.54,1.576,602.0
Beauty,0.85,0.26,20,8,8,5,True,Air,809,PLA Bioplastic,1.34,1.719,575.0
Furniture,12.88,31.72,56,59,48,4,False,Road,130,Wood Crate,13.49,2.062,405.0
Electronics,1.79,0.19,27,18,2,8,True,Air,1958,Mushroom Pkg (Mycelium),2.32,8.762,601.0
Furniture,14.26,5.66,101,56,5,10,False,Road,1216,Bubble Wrap (LDPE),7.7,8.67,34.0
Electronics,0.17,0.0,5,4,1,6,True,Air,2234,Honeycomb Paper,1.27,0.949,602.0
Electronics,0.13,0.0,5,4,0,4,True,Road,284,Corrugated Cardboard,0.85,0.018,114.0
Clothing,1.07,1.34,31,18,12,3,False,Air,2893,Kraft Paper Mailer,1.14,9.692,550.0
Electronics,0.17,0.0,4,5,1,5,True,Road,743,Honeycomb Paper,1.07,0.063,602.0
Clothing,0.27,0.19,25,19,2,2,False,Air,1197,Kraft Paper Mailer,0.51,0.808,550.0
Furniture,53.09,288.69,206,91,77,5,False,Road,1007,Wood Crate,116.48,145.355,405.0
Electronics,2.01,0.12,31,20,1,9,True,Air,840,Mushroom Pkg (Mycelium),2.6,4.221,601.0
Furniture,52.27,275.52,210,82,80,7,False,Road,536,Wood Crate,111.61,73.839,405.0
Furniture,14.1,37.08,65,62,46,6,False,Road,2123,Wood Crate,16.03,39.36,405.0
Furniture,13.04,37.4,63,56,53,4,False,Road,1632,Wood Crate,15.76,30.518,405.0
Furniture,44.99,281.67,213,87,76,5,False,Road,2474,Wood Crate,113.67,348.426,405.0
Electronics,19.86,6.99,115,76,4,9,True,Road,2139,Mushroom Pkg (Mycelium),9.74,21.24,601.0
Furniture,12.98,5.62,104,54,5,10,False,Road,2584,Mushroom Pkg (Mycelium),7.19,16.77,601.0
Furniture,11.51,28.73,56,57,45,5,False,Road,358,Wood Crate,12.49,5.143,405.0
Clothing,0.19,0.09,23,19,1,1,False,Air,2114,Bubble Wrap (LDPE),0.28,1.004,34.0
Electronics,19.13,6.22,111,70,4,9,True,Road,2054,Mushroom Pkg (Mycelium),9.45,19.647,601.0
Electronics,0.25,0.0,13,7,0,6,True,Air,1033,Honeycomb Paper,1.3,0.646,602.0
Home Decor,1.83,0.98,13,14,27,9,False,Road,344,Mushroom Pkg (Mycelium),2.53,0.315,601.0
Beauty,0.7,0.2,20,7,7,5,True,Air,2693,PLA Bioplastic,1.28,4.713,575.0
Home Decor,2.21,1.49,16,15,31,9,False,Air,1187,Mushroom Pkg (Mycelium),2.68,6.558,601.0
Electronics,0.12,0.0,5,4,0,6,True,Air,3000,Honeycomb Paper,1.25,0.9,602.0
Furniture,10.72,37.21,57,64,51,4,False,Road,2637,Wood Crate,15.68,49.061,405.0
