Material_Type,Tensile_Strength_MPa,Weight_Capacity_kg,Thickness_Micrometers,Thermal_Stability_C,Biodegradability_Score,Recyclability_Percentage,CO2_Emission_Score,Environmental_Impact_Score
Maleic Anhydride Grafted (MAG) Polymers,63.22,123.88,17.22,150.75,63.89,32.86,59.85,29.06
Mycelium-based Material,85.32,44.26,17.78,246.05,70.19,56.42,66.0,58.94
Polyhydroxyvalerate (PHV),48.59,85.05,185.22,161.5,57.77,97.42,97.44,66.32
PLA (Polylactic Acid),17.37,66.13,213.66,183.02,98.63,78.92,91.93,20.46
Polycaprolactone (PCL),69.92,27.91,74.46,203.9,79.76,90.33,90.01,80.57
Recycled HDPE,74.13,71.92,125.48,249.16,58.57,41.84,93.8,52.66
Gelatin,56.47,94.55,240.86,219.5,69.26,36.98,88.53,59.85
Cellulose Acetate,75.03,74.6,123.23,208.93,78.48,32.78,59.72,23.95
Alginate,50.5,112.5,46.92,195.1,77.81,96.99,77.86,36.05
Blended Starch,53.06,50.92,229.24,239.11,54.19,52.41,74.55,42.1
Alginate,44.63,29.52,131.36,203.97,97.66,63.25,68.45,60.18
PLA (Polylactic Acid),9.03,119.3,95.91,167.62,65.58,58.83,92.4,42.98
Recycled HDPE,16.33,60.34,37.9,175.95,53.27,81.67,75.46,59.86
Mycelium-based Material,9.56,81.27,122.69,214.97,56.13,53.08,56.96,46.83
Maleic Anhydride Grafted (MAG) Polymers,63.12,104.04,195.87,193.57,80.06,68.41,66.79,28.97
Seaweed/Kelp-based Polymer,34.61,54.65,183.54,242.8,59.04,99.7,64.67,86.38
Hemp Fiber Composite,51.8,96.03,131.7,191.36,54.48,62.2,94.85,77.8
Bagasse Fiber Composite,87.13,34.71,184.09,221.18,70.53,69.49,83.85,67.03
Recycled PP,28.85,51.17,97.43,239.82,82.08,66.17,79.87,60.38
Thermoplastic Starch (TPS),43.11,35.69,187.79,166.77,57.81,86.62,77.4,35.3
Recycled PET (rPET),73.67,106.07,35.15,203.11,67.38,50.15,83.98,78.28
Polybutylene Adipate Terephthalate (PBAT),27.04,43.92,61.82,204.0,72.34,43.59,88.77,76.23
Polybutylene Succinate (PBS),13.6,96.16,221.26,167.53,60.07,83.28,79.59,33.74
PLA (Polylactic Acid),32.43,120.01,84.01,229.34,76.54,60.26,97.17,63.77
Polycaprolactone (PCL),21.05,76.14,63.4,152.79,56.55,94.13,98.94,23.05
Seaweed/Kelp-based Polymer,89.09,77.43,35.92,186.89,54.71,75.8,99.79,43.84
Seaweed/Kelp-based Polymer,78.32,69.09,107.34,180.32,77.19,70.38,84.86,80.9
Polybutylene Succinate (PBS),62.86,54.82,30.74,180.03,64.28,36.79,96.91,44.45
PHA (Polyhydroxyalkanoates),83.93,70.63,131.79,150.68,57.03,81.67,72.73,45.42
Cork Composite,77.93,84.06,231.01,236.4,72.64,78.65,93.57,86.76
Recycled HDPE,23.3,124.52,199.98,174.64,95.97,75.52,95.84,42.68
Starch-based Polymer,85.8,119.43,24.56,212.83,86.9,50.22,95.61,30.82
Hemp Fiber Composite,54.53,111.44,85.44,211.58,91.24,96.38,92.25,89.89
PHA (Polyhydroxyalkanoates),78.26,114.29,59.1,167.05,93.92,53.87,72.82,58.61
Polylactic Acid (PLA) Blends,86.11,69.81,30.73,195.22,98.7,42.35,61.48,66.28
Coconut Coir Composite,34.93,89.83,40.53,178.05,88.75,99.13,69.5,35.32
Maleic Anhydride Grafted (MAG) Polymers,16.52,114.92,228.41,211.33,81.4,82.74,89.34,64.27
Cork Composite,26.96,61.9,87.87,200.93,69.86,60.21,64.87,39.05
Poly(3-hydroxybutyrate) (PHB),44.59,121.96,107.17,151.42,61.13,95.64,76.1,33.97
Coconut Coir Composite,79.2,64.31,129.14,177.79,85.12,38.2,80.1,23.08
Polycaprolactone (PCL),82.98,83.88,190.06,190.75,99.76,37.96,81.86,47.25
Cellulose Acetate,7.4,95.36,202.62,236.49,74.7,78.41,97.06,76.16
Recycled LDPE,52.0,120.78,241.48,231.28,86.87,44.1,84.5,86.83
Polylactic Acid (PLA) Blends,43.73,46.24,64.51,240.49,76.02,94.37,90.21,76.78
Natural Fiber Composite,26.44,99.19,85.75,209.41,73.02,89.14,80.85,63.62
Nano-cellulose Composite,17.39,75.4,88.55,181.45,71.99,52.83,92.38,81.94
Polyhydroxyvalerate (PHV),36.67,48.77,119.64,188.43,76.47,92.44,66.28,61.36
Coconut Coir Composite,90.26,102.41,204.74,177.14,69.93,34.92,63.81,75.33
Seaweed/Kelp-based Polymer,35.39,78.72,71.27,175.87,88.07,69.31,96.63,32.68
Cork Composite,52.71,90.2,198.99,221.35,94.03,95.62,85.96,79.92
Gelatin,69.02,54.51,62.95,223.15,94.44,90.17,84.96,59.75
Polylactic Acid (PLA) Blends,38.97,71.23,181.88,188.61,63.32,56.21,75.6,59.2
Starch-based Polymer,92.81,85.6,202.77,190.79,95.06,44.44,71.45,80.8
Jute Fiber Composite,91.99,63.16,215.64,209.45,68.72,46.32,79.65,70.37
Maleic Anhydride Grafted (MAG) Polymers,29.07,41.36,134.92,204.29,67.19,66.99,59.72,25.45
Hemp Fiber Composite,50.8,121.95,92.25,194.64,87.02,72.58,75.03,33.05
Seaweed/Kelp-based Polymer,33.42,74.42,196.51,165.34,66.97,34.23,75.06,61.29
Alginate,32.0,97.9,90.42,157.22,55.02,60.12,78.86,53.04
Recycled PET (rPET),10.05,63.81,49.8,195.79,70.25,88.47,83.27,34.18
Recycled HDPE,60.74,57.91,211.15,184.56,86.77,62.21,98.05,64.89
Seaweed/Kelp-based Polymer,51.28,63.4,111.64,163.15,68.03,43.5,84.07,64.97
Cellulose Acetate,11.34,63.62,149.15,243.76,82.4,96.93,94.67,54.23
Recycled PET (rPET),31.45,77.87,230.83,187.96,83.86,50.11,79.68,65.43
PLA (Polylactic Acid),87.19,77.79,46.91,221.01,87.35,86.29,82.91,88.47
Cork Composite,27.99,72.9,145.94,179.58,95.11,45.18,57.4,31.68
Polylactic Acid (PLA) Blends,19.61,34.64,146.31,155.74,73.05,60.78,60.3,55.59
Polybutylene Fumarate (PBF),50.11,72.79,217.54,239.1,60.41,65.35,80.75,74.13
Mycelium-based Material,94.04,38.27,95.2,235.38,67.65,66.04,72.32,72.8
Chitosan,28.21,33.73,109.29,153.7,73.03,67.12,90.79,59.83
Polycaprolactone (PCL),66.28,118.89,137.03,230.4,86.41,47.3,79.08,78.33
Recycled HDPE,74.21,84.29,54.29,247.34,53.12,67.08,94.61,88.67
Recycled LDPE,27.82,90.05,125.61,155.16,67.5,64.76,98.73,94.69
Chitosan,71.25,62.84,117.48,231.99,89.54,46.19,60.96,20.66
Jute Fiber Composite,39.34,116.39,61.39,224.46,84.37,99.2,72.28,44.53
Natural Fiber Composite,62.76,87.77,210.76,176.61,87.26,90.86,84.66,33.36
Jute Fiber Composite,62.87,101.63,116.29,220.79,91.06,92.36,68.19,37.95
Thermoplastic Starch (TPS),54.21,59.33,86.93,184.31,89.7,78.62,66.43,54.52
Natural Fiber Composite,14.77,121.78,45.64,178.04,84.9,42.87,91.47,83.11
Polyhydroxyvalerate (PHV),80.73,107.04,36.09,163.21,73.38,70.63,99.1,33.76
Nano-cellulose Composite,35.18,110.58,240.65,241.86,99.22,87.86,89.64,57.08
Thermoplastic Starch (TPS),23.29,38.59,248.86,195.04,79.53,34.63,78.18,81.18
Paper-based Composite,10.39,49.02,226.01,175.49,62.13,65.72,74.47,61.0
Cork Composite,59.09,50.57,122.78,173.03,66.41,58.94,78.92,32.52
Polyhydroxyvalerate (PHV),66.76,49.02,204.86,178.87,85.44,46.42,75.4,27.77
Starch-based Polymer,8.25,110.73,211.06,208.3,96.43,57.72,77.23,94.45
Poly(3-hydroxybutyrate) (PHB),52.12,23.78,85.46,215.89,60.99,98.88,63.52,78.42
Poly(3-hydroxybutyrate) (PHB),26.83,28.45,152.72,224.73,56.41,81.18,95.59,81.05
Alginate,63.9,49.33,239.85,166.5,94.37,52.37,88.76,70.76
PLA (Polylactic Acid),22.22,41.51,80.82,191.17,95.98,73.16,85.39,77.87
Recycled LDPE,67.95,44.89,170.78,150.92,65.63,48.77,97.71,64.74
Polybutylene Adipate Terephthalate (PBAT),41.02,104.66,170.7,158.43,70.42,73.54,67.23,79.87
Mycelium-based Material,89.71,79.87,121.38,175.98,83.86,92.94,57.92,92.29
Recycled LDPE,18.95,21.02,130.23,150.72,68.17,69.87,92.04,60.19
Polyhydroxyvalerate (PHV),36.97,65.74,122.25,163.84,94.17,81.87,99.93,58.51
Bagasse Fiber Composite,16.83,63.48,137.45,193.37,57.61,62.83,80.69,69.78
PLA (Polylactic Acid),88.64,32.44,49.96,188.25,54.3,67.64,56.89,91.47
Mycelium-based Material,84.45,91.8,201.77,213.94,62.4,79.27,89.95,46.73
Recycled PP,29.62,94.54,170.35,169.11,66.09,87.24,57.58,49.31
Polybutylene Adipate Terephthalate (PBAT),65.21,96.53,243.85,172.94,57.86,76.84,78.93,72.44
PLA (Polylactic Acid),79.13,97.33,72.73,190.59,55.62,98.47,66.91,52.39
Recycled PP,55.93,20.42,49.3,214.61,88.39,87.75,96.11,59.59
Recycled HDPE,53.67,121.13,95.5,244.4,60.3,84.85,74.87,85.44
Maleic Anhydride Grafted (MAG) Polymers,28.19,106.38,134.79,213.92,95.91,89.47,95.35,66.47
Maleic Anhydride Grafted (MAG) Polymers,15.02,115.86,63.18,150.19,69.98,51.12,67.9,85.26
Cork Composite,86.21,22.06,123.24,234.12,84.35,61.38,71.94,68.2
Polybutylene Fumarate (PBF),86.49,119.02,166.01,181.87,63.21,70.38,97.58,62.83
Seaweed/Kelp-based Polymer,62.83,105.92,28.2,175.29,63.92,63.44,63.42,50.14
Poly(3-hydroxybutyrate) (PHB),36.79,108.81,193.14,220.11,79.8,89.63,80.7,55.81
Recycled LDPE,37.7,30.26,235.83,223.75,79.13,33.84,71.99,47.19
Polyhydroxyvalerate (PHV),71.05,98.42,78.04,195.78,89.01,46.22,89.66,44.79
Natural Fiber Composite,86.2,121.77,197.41,204.33,88.5,91.96,60.12,39.87
Recycled PET (rPET),85.31,92.06,113.21,218.62,84.36,36.02,74.22,63.36
Nano-cellulose Composite,75.82,80.66,171.14,246.6,73.83,47.44,86.21,42.27
Recycled LDPE,63.62,120.26,189.61,216.46,94.81,55.89,72.84,68.29
PLA (Polylactic Acid),14.23,67.18,84.32,173.39,82.07,83.05,56.88,88.99
Starch-based Polymer,21.09,83.69,200.04,221.64,99.53,70.09,86.49,48.91
Maleic Anhydride Grafted (MAG) Polymers,86.33,70.71,39.7,225.64,91.42,96.91,77.25,68.22
Polybutylene Succinate (PBS),60.47,118.91,246.88,156.26,54.6,47.5,54.72,84.78
Maleic Anhydride Grafted (MAG) Polymers,7.59,28.44,94.2,153.3,67.73,91.3,82.26,46.93
Polylactic Acid (PLA) Blends,15.76,73.32,67.59,235.21,79.66,51.24,96.33,50.66
Poly(3-hydroxybutyrate) (PHB),65.52,92.95,47.58,155.73,86.77,48.69,59.28,93.5
Recycled PP,7.23,104.03,205.86,166.81,78.64,65.89,81.25,30.69
Chitosan,21.02,81.97,152.68,241.19,89.84,36.84,87.57,27.34
Nano-cellulose Composite,55.36,116.38,238.64,159.6,65.93,58.13,57.44,34.99
Polybutylene Fumarate (PBF),68.03,119.87,167.2,170.52,61.24,56.19,55.24,34.4
Starch-based Polymer,64.5,27.2,95.04,161.47,55.06,42.89,75.46,89.71
Coconut Coir Composite,26.63,62.9,211.56,210.82,79.73,90.53,90.44,37.17
Jute Fiber Composite,69.83,22.89,81.09,224.24,85.21,58.24,61.56,24.6
Poly(3-hydroxybutyrate) (PHB),27.78,55.19,83.35,234.9,67.99,98.77,92.52,68.44
Cellulose Acetate,35.59,77.1,21.65,173.47,81.65,93.18,84.27,52.94
Nano-cellulose Composite,72.87,116.58,74.23,159.44,54.98,45.25,69.41,46.65
Gelatin,64.29,109.8,76.44,239.33,57.22,66.35,77.82,50.78
Paper-based Composite,81.96,33.87,84.92,180.01,85.83,72.92,98.42,72.48
Recycled PET (rPET),65.0,30.23,101.63,230.18,69.98,87.69,64.11,59.28
Cork Composite,57.09,82.63,150.52,244.68,84.39,92.22,77.08,41.29
Jute Fiber Composite,15.07,76.6,65.85,151.76,92.01,74.43,82.8,77.93
Nano-cellulose Composite,39.33,48.54,164.64,211.13,93.0,34.39,60.52,91.99
Cork Composite,30.26,115.38,46.33,225.32,60.68,64.73,56.19,65.7
Maleic Anhydride Grafted (MAG) Polymers,28.38,118.33,233.76,210.64,75.6,92.17,54.82,26.21
Polylactic Acid (PLA) Blends,92.92,62.92,21.14,228.03,87.36,80.56,69.07,48.24
Poly(3-hydroxybutyrate) (PHB),41.58,114.42,228.43,239.73,89.26,91.17,57.59,51.71
Hemp Fiber Composite,85.75,60.95,143.59,164.55,89.77,77.84,91.01,26.87
Thermoplastic Starch (TPS),62.65,98.21,181.86,178.63,63.34,34.99,99.88,59.01
Thermoplastic Starch (TPS),77.14,70.66,85.11,167.05,61.65,97.82,57.01,25.52
PLA (Polylactic Acid),51.28,33.35,55.84,165.42,80.53,94.43,74.02,25.02
Starch-based Polymer,57.85,118.39,237.61,201.42,87.7,40.61,55.38,47.19
PHA (Polyhydroxyalkanoates),50.38,68.36,118.64,210.77,67.66,39.66,60.34,31.25
Paper-based Composite,24.06,97.96,127.92,193.84,57.47,68.66,68.99,30.72
Hemp Fiber Composite,70.74,59.18,246.63,233.83,86.55,83.48,72.23,45.74
Maleic Anhydride Grafted (MAG) Polymers,31.64,22.4,93.98,202.43,66.74,57.99,97.24,40.89
Poly(3-hydroxybutyrate) (PHB),8.93,31.03,38.55,191.39,60.4,41.27,72.33,67.66
Polycaprolactone (PCL),63.92,72.81,152.92,213.82,59.52,66.72,76.93,43.32
Hemp Fiber Composite,22.46,93.26,145.38,230.52,67.46,54.95,65.45,63.23
Hemp Fiber Composite,90.04,55.75,196.68,230.79,80.65,55.92,54.21,65.07
Polybutylene Fumarate (PBF),91.23,93.85,239.44,167.9,69.52,75.86,95.39,46.61
Mycelium-based Material,87.77,94.18,87.3,157.1,53.48,92.22,57.94,77.74
Nano-cellulose Composite,39.55,94.74,184.62,215.69,57.1,69.98,98.36,32.16
Thermoplastic Starch (TPS),8.15,72.42,117.11,186.64,66.3,78.76,60.19,67.25
Hemp Fiber Composite,88.96,117.01,199.19,221.32,83.84,76.88,81.9,34.44
Polybutylene Succinate (PBS),44.69,72.06,53.61,197.53,57.18,69.48,99.97,54.64
Chitosan,92.36,67.95,132.7,217.69,79.13,53.13,60.54,70.38
Alginate,92.09,41.46,33.14,173.83,58.19,57.69,73.62,91.73
Polybutylene Adipate Terephthalate (PBAT),82.3,52.9,146.88,199.57,62.55,53.47,89.94,34.41
Coconut Coir Composite,32.85,24.88,54.71,197.75,60.68,94.39,55.67,55.38
Cork Composite,40.87,87.3,240.61,159.02,55.69,88.21,85.79,70.66
Thermoplastic Starch (TPS),82.13,46.65,145.27,222.74,84.39,71.4,57.88,35.94
Alginate,34.84,52.53,139.4,236.31,74.51,94.03,65.03,32.36
Coconut Coir Composite,21.79,101.8,243.5,150.81,91.98,92.28,61.53,76.09
Cork Composite,56.07,54.96,132.13,208.08,57.2,95.08,95.76,87.09
Maleic Anhydride Grafted (MAG) Polymers,89.66,45.98,174.03,214.83,59.37,47.08,62.46,87.31
Coconut Coir Composite,68.4,38.26,25.97,231.11,67.06,80.79,56.05,44.05
Recycled PET (rPET),57.25,102.23,181.46,193.04,88.88,73.43,81.11,84.73
Polybutylene Adipate Terephthalate (PBAT),15.38,34.11,39.51,200.65,67.02,81.9,70.06,78.62
Mycelium-based Material,61.23,68.32,198.36,190.54,71.9,49.91,72.78,72.25
Nano-cellulose Composite,94.43,73.94,221.06,227.59,66.83,79.25,59.65,37.54
Seaweed/Kelp-based Polymer,19.18,92.99,89.13,181.55,56.31,59.87,88.47,25.15
Seaweed/Kelp-based Polymer,52.67,87.28,221.36,170.4,97.12,88.72,81.75,64.27
Polybutylene Adipate Terephthalate (PBAT),84.45,106.01,128.42,183.02,78.56,86.08,70.88,77.63
Blended Starch,72.36,25.14,149.32,217.66,89.92,46.37,62.06,33.63
Recycled LDPE,68.49,51.71,111.58,198.16,83.77,44.5,81.38,22.61
Coconut Coir Composite,68.97,49.99,126.99,226.84,76.93,80.81,89.86,67.23
Polyhydroxyvalerate (PHV),38.61,35.83,228.44,215.78,56.76,69.43,68.51,51.92
Polyhydroxyvalerate (PHV),32.77,50.94,237.61,177.52,83.03,69.89,55.38,70.03
Gelatin,78.43,53.12,119.78,185.92,59.88,83.17,64.02,87.12
Gelatin,78.5,75.52,135.87,195.95,72.18,90.14,85.45,35.12
Cork Composite,83.54,90.49,42.3,186.01,82.38,48.25,99.5,71.18
Recycled LDPE,87.63,60.65,91.52,202.77,89.66,69.78,54.81,41.76
Nano-cellulose Composite,52.05,96.38,135.61,236.78,85.04,88.37,68.22,52.1
Jute Fiber Composite,51.18,55.91,62.61,159.22,84.4,91.35,57.04,75.03
Chitosan,77.45,51.06,150.49,152.3,59.58,51.54,68.69,25.34
Alginate,64.32,77.55,176.04,209.27,68.94,39.08,72.79,36.48
Seaweed/Kelp-based Polymer,68.93,22.91,167.74,247.48,54.54,47.83,96.38,25.55
Cellulose Acetate,77.23,28.83,118.99,248.62,86.68,96.29,57.89,87.45
Starch-based Polymer,85.57,64.54,195.79,210.58,97.75,63.45,89.79,60.47
Polyhydroxyvalerate (PHV),36.7,119.97,90.09,239.13,65.05,60.46,72.32,85.07
Cork Composite,40.03,96.59,125.28,209.26,56.67,32.89,91.36,61.37
Chitosan,15.1,29.72,78.49,226.87,75.09,35.47,77.71,88.64
Recycled LDPE,57.98,109.77,156.85,205.74,93.19,77.47,56.0,36.95
Gelatin,9.96,97.73,118.57,222.11,78.72,72.11,97.54,57.31
Blended Starch,48.0,84.92,66.02,224.34,54.72,71.14,57.99,81.03
PLA (Polylactic Acid),54.82,107.02,87.42,172.55,98.78,39.5,81.57,37.5
Blended Starch,32.15,63.08,80.67,178.7,91.86,55.94,94.4,36.05
Poly(3-hydroxybutyrate) (PHB),59.09,43.8,229.06,234.81,58.75,87.24,57.85,88.75
Cellulose Acetate,9.48,74.47,137.66,240.46,96.29,43.89,79.57,71.01
Recycled PET (rPET),10.09,78.36,168.37,206.94,73.91,92.02,91.95,40.76
Cork Composite,79.6,77.25,234.66,183.44,70.17,40.26,99.37,66.34
Cellulose Acetate,38.67,80.08,57.82,237.58,74.4,43.5,87.37,89.01
Polyhydroxyvalerate (PHV),18.03,120.58,235.17,230.16,92.14,64.49,66.95,41.2
Polylactic Acid (PLA) Blends,53.01,115.68,141.81,182.9,83.83,96.28,86.24,62.41
Nano-cellulose Composite,74.95,112.88,216.21,152.69,55.31,54.41,86.52,43.97
Polybutylene Fumarate (PBF),25.89,105.03,54.48,195.23,97.99,76.76,86.26,42.75
Starch-based Polymer,61.92,120.03,79.14,181.49,59.52,72.03,93.33,77.36
PHA (Polyhydroxyalkanoates),14.34,30.81,60.63,232.01,87.91,42.17,58.2,43.87
Recycled PP,11.36,48.4,168.55,226.93,82.72,48.88,59.17,54.74
Nano-cellulose Composite,53.82,72.68,48.08,220.21,61.41,95.25,83.54,49.04
Paper-based Composite,54.64,109.8,201.24,187.31,60.61,44.57,97.89,82.32
Starch-based Polymer,63.21,73.75,73.85,163.95,93.84,79.26,75.54,21.87
Seaweed/Kelp-based Polymer,71.06,99.39,75.04,182.77,72.44,97.6,98.19,54.93
Nano-cellulose Composite,93.17,35.08,81.06,239.92,83.59,40.13,97.16,43.78
Maleic Anhydride Grafted (MAG) Polymers,52.49,47.06,190.4,234.88,76.44,59.14,95.55,72.13
PLA (Polylactic Acid),35.37,97.68,232.19,167.25,87.05,47.23,95.87,83.18
Paper-based Composite,77.18,37.8,228.26,249.14,75.26,47.07,95.34,55.76
Recycled PP,30.76,57.51,38.79,213.15,66.15,40.09,91.75,22.58
